county,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Arkansas,50,46,47,42,30,41,42,40,33,21,37,41,31,21,28,32,20,34
Ashley,44,41,40,45,30,43,24,41,36,30,32,26,23,17,20,18,17,18
Baxter,35,40,37,37,46,26,41,33,22,21,31,24,26,20,22,21,26,26
Benton,157,149,163,181,185,195,217,220,223,231,272,258,242,172,230,288,289,282
Boone,33,42,42,35,46,37,32,43,14,43,40,41,41,23,26,29,27,12
Bradley,23,28,20,23,33,25,20,27,13,9,9,16,12,12,11,14,10,13
Calhoun,11,8,13,6,5,11,4,8,3,7,8,4,12,5,6,5,4,4
Carroll,24,26,44,43,25,34,26,25,20,37,25,21,21,12,27,32,32,16
Chicot,51,27,19,34,24,30,20,23,21,19,19,19,16,9,13,15,19,22
Clark,87,75,85,71,51,66,61,66,62,40,57,37,43,28,48,55,50,49
Clay,24,25,20,13,18,18,10,6,5,9,4,7,9,10,8,8,10,14
Cleburne,35,28,22,37,36,31,20,23,22,20,29,21,20,23,24,21,16,21
Cleveland,15,5,12,12,12,16,10,7,9,12,14,10,3,7,2,7,3,14
Columbia,42,32,26,31,28,35,33,22,30,34,22,21,21,24,19,20,14,14
Conway,70,46,45,51,37,52,44,44,30,32,35,28,23,21,25,34,28,26
Craighead,234,195,202,190,181,190,89,76,102,81,103,69,73,50,59,151,171,176
Crawford,82,59,32,57,52,57,55,54,56,83,66,62,64,47,42,35,41,33
Crittenden,211,193,180,133,170,210,17,13,18,17,30,15,24,23,11,173,184,202
Cross,26,38,35,36,34,42,25,16,14,11,9,14,12,16,12,19,21,21
Dallas,24,20,22,24,27,14,9,18,10,21,16,12,15,9,4,9,14,6
Desha,40,26,30,34,34,44,35,25,31,32,31,29,17,33,17,23,23,30
Drew,42,38,36,52,46,56,38,46,51,28,48,28,32,17,34,38,23,27
Faulkner,247,248,233,244,236,216,246,208,229,173,222,218,219,215,197,239,234,223
