county,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Alameda,"7,531","6,764","10,800","7,164","6,823","5,986","5,580","4,658","4,764","2,597","2,474","2,766","2,961","2,712","2,303","2,150","1,897","1,451","1,343","1,313","1,377"
Alpine,3,3,2,2,1,3,0,0,0,1,1,1,?,?,?,?,?,?,?,?,?
Amador,51,45,45,39,46,52,43,57,38,42,38,42,39,42,30,?,35,51,26,20,?
Butte,806,804,725,743,695,670,629,672,705,644,692,725,776,802,927,910,889,896,790,779,510
Calaveras,73,85,66,82,69,71,69,48,64,49,59,54,37,38,45,39,32,35,38,27,?
Colusa,42,40,34,30,36,33,36,25,29,28,21,25,?,?,?,?,?,20,15,?,?
Contra Costa,"2,548","2,240","2,886","3,515","3,139","1,979","1,692","1,754","1,777","1,514","1,631","1,797","1,860","2,322","2,643","2,833","2,860","3,452","2,864","3,139","2,723"
Del Norte,77,64,61,65,50,47,63,55,55,52,50,41,?,40,?,32,31,33,20,13,?
El Dorado,284,284,299,234,238,209,189,197,218,212,209,229,230,210,221,199,186,159,149,141,40
Fresno,"4,284","4,240","4,243","4,805","4,053","3,734","3,298","3,807","3,747","1,623","1,701","1,870","1,983","2,006","2,234","2,632","3,076","2,675","2,693","2,542","2,181"
Glenn,99,102,76,75,58,66,55,54,60,47,57,44,52,47,39,48,47,39,29,35,?
Humboldt,467,460,435,417,479,437,414,504,422,424,585,590,617,625,647,699,694,669,641,551,228
Imperial,296,307,217,249,226,210,195,190,215,153,173,178,183,161,198,204,210,200,206,159,38
Inyo,21,28,38,31,38,18,24,33,25,27,20,28,?,?,?,?,?,?,15,?,?
Kern,"2,316","2,355","2,813","2,529","2,870","2,122","1,769","2,091","2,038",580,631,645,617,640,755,990,"1,306","1,473","1,737","1,502","1,305"
Kings,278,311,323,272,277,258,265,270,269,248,267,265,250,270,287,279,262,122,83,52,40
Lake,161,206,169,168,171,158,161,149,156,138,148,125,135,133,105,123,101,111,98,74,14
Lassen,63,56,46,63,52,36,32,39,38,34,41,41,34,31,?,?,?,26,20,25,?
Los Angeles,"31,174","27,883","32,701","33,819","36,309","23,588","22,237","27,572","30,797","14,472","15,572","15,645","15,828","15,445","17,158","19,385","21,680","21,362","21,967","22,056","19,166"
