county,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2018
Adams,41,70,406,851,791,"1,009","1,067",897,960,,,,745
Alamosa,16,22,17,23,35,30,30,32,35,,,,19
Arapahoe,59,69,497,813,"1,305","1,148",996,"1,229","1,256",,,,940
Archuleta,13,30,28,16,24,25,28,18,30,,,,22
Baca,0,0,0,4,7,0,4,0,0,,,,0
Bent,4,5,6,4,3,3,7,9,0,,,,1
Boulder,537,544,663,614,668,815,792,802,782,,,,367
Broomfield,x,x,37,49,92,79,71,78,54,,,,58
Chaffee,10,14,23,21,33,21,19,12,19,,,,21
Cheyenne,0,0,0,0,0,0,4,0,0,,,,1
Clear Creek,0,0,10,8,17,9,12,9,10,,,,7
Conejos,3,3,9,0,7,4,3,5,6,,,,6
Costilla,3,0,3,8,4,3,0,0,5,,,,1
Crowley,5,3,4,0,4,3,4,4,5,,,,4
Custer,0,0,4,4,0,0,3,6,0,,,,1
Delta,0,0,0,17,13,14,15,14,14,,,,30
Denver,99,106,"1,121","1,727","2,174","2,072","1,923","1,941","2,086",,,,"1,293"
Dolores,0,3,3,0,0,5,5,5,3,,,,1
Douglas,18,24,131,224,290,308,267,343,295,,,,200
Eagle,10,14,26,42,58,73,71,81,100,,,,82
El Paso,992,"1,240","1,230","1,306","1,411","1,455","1,295","1,478","1,484",,,,"1,215"
Elbert,3,0,22,9,9,19,12,11,13,,,,13
Fremont,43,45,50,56,58,55,43,58,47,,,,42
Garfield,0,0,20,35,60,62,89,93,127,,,,151
Gilpin,0,0,3,8,7,4,3,7,3,,,,13
Grand,4,0,25,34,29,35,29,30,25,,,,32
Gunnison,7,11,14,40,34,39,40,40,32,,,,27
Hinsdale,0,0,0,0,0,0,0,0,0,,,,0
Huerfano,8,12,10,7,7,8,10,5,8,,,,5
Jackson,0,0,3,0,3,0,0,0,0,,,,1
Jefferson,87,75,645,802,975,967,900,951,925,,,,653
Kiowa,0,0,0,0,3,0,0,0,0,,,,1
Kit Carson,0,0,7,5,6,5,7,4,5,,,,6
La Plata,153,136,150,138,158,146,158,175,166,,,,94
Lake,0,0,9,12,24,16,15,5,17,,,,10
Larimer,583,601,656,690,676,707,659,648,648,687,566,647,545
Las Animas,21,28,24,27,30,21,15,19,32,,,,14
Lincoln,3,,8,3,5,5,5,4,0,,,,0
Logan,14,18,17,23,24,19,14,14,17,,,,11
Mesa,3,4,6,57,75,71,89,74,103,,,,134
Mineral,0,0,0,0,0,3,0,0,0,,,,1
Moffat,6,5,9,17,22,23,25,29,24,,,,15
Montezuma,42,46,47,36,45,48,40,38,45,,,,26
Montrose,0,0,4,25,36,41,39,36,44,,,,17
Morgan,12,15,27,35,46,33,42,38,27,,,,33
Otero,26,30,23,30,37,25,31,37,31,,,,9
Ouray,0,0,3,4,3,3,5,5,0,,,,4
Park,0,3,16,19,16,9,15,12,21,,,,11
Phillips,0,0,0,0,0,4,0,3,3,,,,3
Pitkin,0,0,9,37,27,32,30,26,31,,,,38
Prowers,6,12,16,16,20,21,14,11,24,,,,6
Pueblo,161,226,234,282,297,284,240,291,319,,,,145
Rio Blanco,0,0,0,0,5,3,4,3,6,,,,1
Rio Grande,8,12,15,19,14,17,14,6,11,,,,9
Routt,45,26,47,68,88,79,69,70,64,,,,47
Saguache,4,0,8,8,5,12,4,7,10,,,,4
San Juan,10,0,3,6,5,8,6,6,4,,,,1
San Miguel,8,13,21,30,25,31,34,24,17,,,,19
Sedgwick,0,0,3,3,0,6,0,4,0,,,,1
Summit,12,12,56,67,67,87,65,77,73,,,,40
Teller,33,20,31,38,29,35,36,34,26,,,,12
Washington,3,0,0,0,0,4,0,10,0,,,,1
Weld,282,310,362,414,421,446,428,455,434,,,,428
Yuma,3,5,4,6,10,8,6,7,6,,,,1
COLORADO UNKNOWN,815,821,932,"1,015",27,24,"1,151",153,148,,,,278
COLORADO TOTAL,"4,215","4,633","7,757","9,852","10,364","10,541","11,002","10,483","10,680","11,598","11,210","10,474","7,916"
