county,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Alachua,"3,070","2,943","2,708","2,684","2,473","2,552","2,454","2,473","2,250","2,161","2,215","2,090","1,998","2,151","2,075","1,945","2,329","2,373","2,292","2,101","1,977","1,758","1,816","1,714","1,916","1,791","1,604","1,040"
Bay,28,57,96,82,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brevard,"1,886","1,799","1,325","1,300","1,418","1,467","1,363","1,221","1,087","1,115","1,243","1,135",910,937,885,534,0,2,2,1,0,3,1,1,0,0,0,0
Broward,"8,398","7,982","7,452","7,919","8,199","8,668","9,662","9,924","10,328","11,207","13,190","13,193","14,017","14,636","15,469","14,623","15,465","14,560","13,732","12,947","12,004","12,001","12,081","12,063","12,359","12,628","12,095","7,486"
Charlotte,0,1,1,228,174,207,245,217,274,262,275,246,265,298,342,355,352,277,224,208,174,197,170,145,188,173,143,0
Citrus,0,0,0,0,0,0,0,0,0,0,0,0,5,1,11,10,0,2,1,1,0,0,0,0,0,0,0,0
Collier,382,302,152,271,314,306,325,93,110,0,0,0,0,0,0,0,0,0,2,116,421,484,436,430,459,390,445,300
Desoto,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Duval,"5,820","6,079","6,012","5,973","5,451","4,671","5,363","6,264","6,368","6,269","7,069","5,200","7,812","7,989","8,391","8,021","8,529","8,437","7,987","7,294","7,116","6,876","6,547","6,445","6,268","5,824","5,694","3,714"
Escambia,"2,002","2,080","1,935","2,116","2,664","2,531","2,698","2,504","2,461","2,470","2,456","2,486","2,503","2,673","2,501","2,608","2,659","2,519","2,361","1,893","1,757","2,153","1,795","1,913","2,054","1,776","1,416",693
Highlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Hillsborough,"5,425","5,225","5,362","5,524","5,541","5,425","5,711","5,849","5,744","6,544","7,459","7,360","7,376","8,028","7,958","7,920","7,917","7,114","6,644","6,135","6,153","6,914","7,052","6,815","6,548","6,980","7,180","5,037"
Jackson,0,2,3,1,1,0,3,0,2,0,2,2,3,3,1,0,3,0,3,0,1,1,0,2,1,1,0,0
Lake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Lee,"1,874","2,131","1,937","1,725","1,748","1,674","1,879","2,021","2,099","2,063","2,228","2,187","2,308","2,404","2,640","2,629","3,002","2,843","2,512","2,869","1,929","1,906","1,898","2,008","1,986","2,065","1,788","1,345"
Leon,"4,128","3,220","2,858","3,063","3,018","2,886","2,787","2,639","2,537","2,682","2,492","2,303","2,098","1,713","2,041","2,292","2,408","2,513","2,227","2,284","2,377","2,155","2,331","2,025","1,413","1,665","1,758","1,049"
Manatee,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marion,0,0,0,2,0,1,0,2,168,573,528,530,524,489,518,564,"1,434",970,695,568,469,585,448,372,402,0,0,0
Martin,0,0,0,0,0,0,0,0,0,0,2,6,1,4,8,0,4,2,2,1,2,0,284,298,313,272,312,219
Miami Dade,"10,720","13,934","14,344","18,046","18,180","20,612","22,254","21,862","22,163","22,343","23,061","22,272","22,240","21,728","21,505","22,939","23,455","22,404","20,880","18,615","19,390","17,814","17,316","15,650","15,192","15,051","15,152","9,459"
Monroe,2,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Okaloosa,920,805,848,515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orange,"6,045","7,365","6,690","4,447","7,063","7,226","8,559","10,173","10,300","9,341","9,303","8,554","8,366","8,873","8,627","9,507","7,199","8,261","8,617","8,407","8,236","7,495","7,417","6,659","6,714","7,204","6,168","4,586"
Osceola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,85,661,"1,467",526
Palm Beach,"4,277","4,219","4,587","4,860","5,934","6,086","6,396","6,359","6,153","6,341","6,268","6,460","6,113","6,275","5,859","5,334","6,172","5,719","5,606","5,904","5,543","5,445","5,503","5,808","5,632","5,975","5,711","3,716"
Pinellas,"5,769","5,562","5,239","5,026","4,601","4,232","4,181","4,002","4,116","3,954","4,105","4,353","4,186","4,403","4,962","4,683","5,040","4,757","4,805","4,793","4,671","3,818","3,981","3,461","3,644","3,522","3,423","1,935"
Polk,"1,513","1,554","1,576","1,466","1,459","1,452","1,540","1,418","1,400","1,244","1,200","1,150","1,089","1,025","1,376","1,482","1,650","1,783","1,935","1,761","1,750","1,547","1,559","1,499","1,488","1,309",803,559
Saint Johns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Saint Lucie,863,973,932,"1,069",509,352,421,577,678,835,576,503,724,782,920,"1,047","1,152","1,140","1,029",815,752,743,681,661,618,579,624,414
Santa Rosa,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sarasota,"2,441","2,236","2,067","1,934","2,011","1,896","1,938","1,986","1,910","1,914","1,969","2,244","2,181","2,010","2,023","2,343","2,271","2,470","2,045","2,008","1,723","1,754","1,682","1,553","1,507","1,500","1,423",846
Seminole,320,389,535,579,0,0,0,0,74,735,919,"1,413","1,329","1,688","1,718","2,061","3,254","3,275","2,616","2,870","2,692","2,566","2,659","2,860","2,966","2,591","2,563","1,495"
Volusia,190,"2,396","2,621","1,237","2,568","2,505","2,261","2,108","2,113","1,918","2,003","1,902","1,916","1,885","1,880","1,616","1,280",533,490,334,375,393,404,345,354,66,1,0
FLORIDA UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,110,395,556,77,0,0,0,0,0
FLORIDA TOTAL,"66,073","71,254","69,285","70,069","73,394","74,749","80,040","81,692","82,335","83,971","88,563","85,589","87,964","89,995","91,710","92,513","95,575","91,954","86,757","82,038","79,908","77,166","76,138","72,727","72,107","72,023","69,770","44,419"
