county,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Appling,14,7,9,7,5,4,4,3,8,11,5,7,11,12,11,14,11,9,12,10,12,17,12,9,16
Atkinson,2,0,3,2,0,0,0,4,0,1,1,3,1,3,2,1,0,2,0,0,2,3,4,0,0
Bacon,1,1,4,3,1,0,2,5,1,3,4,1,0,5,2,0,7,8,3,5,7,8,4,5,4
Baker,4,5,2,1,3,0,1,3,2,3,2,3,4,2,3,2,0,1,1,0,0,1,2,1,1
Baldwin,219,212,184,165,158,169,169,165,161,180,164,135,214,156,173,122,151,131,145,139,101,122,102,121,112
Banks,18,15,9,18,10,15,15,17,17,15,9,11,13,9,13,18,20,18,14,9,12,12,10,15,17
Barrow,91,94,103,111,107,104,128,122,122,127,141,171,136,150,176,139,134,156,127,102,108,128,120,100,114
Bartow,194,164,195,206,176,193,138,155,150,151,163,152,145,158,195,188,202,174,153,151,157,138,146,163,144
Ben Hill,28,25,23,22,14,23,11,15,15,17,21,18,17,14,10,6,8,12,7,12,10,15,22,15,18
Berrien,9,2,5,1,2,4,4,3,1,5,4,4,1,3,3,0,4,3,2,1,2,8,4,5,7
Bibb,774,684,650,627,555,598,572,577,573,626,543,590,594,609,644,605,646,560,565,584,482,481,558,463,478
Bleckley,25,22,16,23,16,17,15,9,14,11,13,13,15,15,23,20,18,20,24,16,17,22,16,22,6
Brantley,3,0,4,1,3,1,0,2,3,1,1,0,1,3,2,1,2,3,1,1,3,3,1,3,2
Brooks,2,2,1,4,2,2,4,1,1,4,3,1,1,1,0,0,3,2,0,1,3,1,1,0,3
Bryan,41,52,51,51,45,47,42,30,45,58,58,75,69,71,54,61,67,63,81,59,69,60,59,73,73
Bulloch,232,195,234,237,221,210,221,203,201,231,206,199,254,245,209,224,218,212,220,183,199,228,224,192,209
Burke,52,50,70,80,61,71,63,74,66,72,74,63,98,95,70,51,57,45,61,55,59,62,76,59,49
Butts,50,49,45,53,38,44,53,46,50,60,33,48,43,47,63,57,81,44,55,45,46,38,52,55,44
Calhoun,11,10,7,10,7,1,11,11,15,12,11,9,10,12,7,5,5,5,4,5,8,3,11,6,9
Camden,2,8,6,3,2,13,2,3,1,2,3,1,4,5,3,4,1,3,6,4,3,6,8,4,5
Candler,18,16,11,9,17,17,18,17,13,10,14,15,12,12,9,7,9,10,16,15,14,9,15,8,9
Carroll,280,284,282,247,259,267,217,250,249,257,250,228,213,312,339,300,294,288,253,263,253,277,258,259,268
Catoosa,83,76,64,55,45,73,49,56,41,49,45,28,67,65,52,79,69,68,39,48,41,25,31,35,33
Charlton,1,1,0,0,0,1,2,2,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0
Chatham,"1,060","1,073",980,916,874,808,803,766,763,955,"1,033","1,021","1,128","1,147","1,121","1,022","1,136","1,098","1,166","1,133","1,065","1,105","1,065","1,097","1,078"
Chattahoochee,77,57,40,60,59,80,56,51,46,51,34,23,26,12,7,7,9,6,11,6,6,7,7,7,4
Chattooga,45,33,41,42,22,27,31,32,34,35,25,24,29,23,31,34,24,26,23,12,11,19,21,22,28
Cherokee,336,304,316,328,302,342,285,313,367,348,341,358,508,359,482,440,453,412,348,326,291,286,333,342,259
Clarke,589,656,616,548,435,478,523,528,503,451,427,368,392,411,403,302,369,313,366,340,332,309,355,305,319
Clay,7,7,8,10,7,38,6,7,10,7,6,11,8,7,9,3,7,3,7,1,3,5,9,4,3
Clayton,"1,500","1,492","1,592","1,563","1,428","1,387","1,480","1,400","1,700","1,586","1,523","1,648","1,520","1,504","1,608","1,562","1,521","1,245","1,151","1,217","1,122","1,114","1,388","1,188","1,299"
Clinch,2,0,0,0,0,2,7,0,1,3,1,1,1,2,3,0,1,1,2,0,0,1,3,0,1
Cobb,"3,211","3,212","3,190","3,231","2,864","3,040","2,926","2,902","2,820","2,671","2,501","2,153","2,040","2,615","2,798","2,506","2,649","2,668","2,596","2,503","2,468","2,459","2,413","2,268","2,339"
Coffee,10,32,21,13,17,18,11,8,12,8,8,26,16,10,9,10,11,12,17,7,8,11,15,16,26
Colquitt,18,22,18,23,8,25,10,8,8,12,7,9,10,6,15,6,9,14,10,9,11,12,12,11,13
Columbia,237,202,225,219,203,210,226,209,216,265,287,280,273,291,281,215,227,240,191,171,163,194,261,234,251
Cook,8,4,4,3,5,2,3,4,2,1,7,4,1,3,3,1,1,2,4,0,1,1,2,3,10
Coweta,210,220,190,227,193,189,187,170,188,217,200,187,212,226,269,260,240,241,205,226,202,192,211,203,197
Crawford,35,18,22,16,12,25,22,21,9,19,33,16,13,24,11,15,14,7,5,11,5,7,10,3,7
Crisp,41,25,30,40,40,41,41,36,28,32,37,28,29,35,42,39,39,25,41,31,30,41,43,36,49
Dade,11,16,17,14,8,0,9,9,7,8,4,3,6,8,6,19,15,15,8,6,9,6,12,2,7
Dawson,30,23,35,33,29,36,34,36,33,29,32,32,39,37,25,22,21,22,23,26,22,23,24,23,30
Decatur,11,8,4,8,3,11,8,10,12,8,8,4,9,8,7,3,4,8,3,1,3,3,6,7,4
DeKalb,"5,779","5,466","5,654","5,651","5,016","5,167","4,907","4,982","4,849","4,603","4,367","4,325","3,731","3,905","4,430","4,208","4,479","4,354","3,865","3,879","3,719","3,818","4,199","3,850","3,804"
Dodge,27,30,29,33,29,22,27,23,22,227,23,24,31,32,31,18,29,20,24,26,18,25,18,23,35
Dooly,26,29,26,30,31,22,24,40,25,30,24,23,35,19,21,26,17,17,35,14,13,13,19,25,19
Dougherty,379,362,345,347,276,298,201,272,234,289,197,131,202,190,251,196,212,184,157,138,159,139,235,179,203
Douglas,374,357,347,351,309,345,367,352,389,392,437,346,390,472,546,537,549,519,474,471,449,504,517,460,465
Early,12,22,10,14,9,9,12,10,10,12,4,9,9,5,11,11,7,12,6,7,9,3,12,12,11
Echols,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
Effingham,56,70,73,60,60,54,56,64,69,85,85,94,90,109,92,77,77,85,99,76,87,93,82,76,95
Elbert,60,59,44,48,51,24,46,32,37,39,40,29,37,28,27,23,24,23,31,30,33,25,23,22,31
Emanuel,55,46,43,40,42,54,41,35,45,53,47,56,59,62,57,50,52,53,59,70,66,41,56,49,56
Evans,15,13,15,24,12,18,12,14,16,27,20,15,18,16,9,14,14,21,19,14,9,18,26,22,16
Fannin,25,28,26,22,23,29,19,30,14,15,13,8,12,22,20,20,14,10,8,10,8,14,13,24,19
Fayette,197,177,176,156,170,191,160,171,178,209,188,224,186,216,215,224,214,191,182,192,163,171,204,174,175
Floyd,242,218,224,214,186,200,203,196,179,164,189,170,245,187,174,181,146,151,165,155,147,132,138,123,121
Forsyth,173,158,196,173,188,175,173,195,203,183,174,213,186,219,227,240,199,185,195,173,182,185,248,209,250
Franklin,30,24,41,42,28,18,36,34,28,22,29,24,25,13,16,23,14,19,20,24,22,18,14,19,21
Fulton,"7,064","6,867","6,686","6,615","5,741","5,858","5,519","5,398","5,501","5,056","4,288","4,475","4,111","4,605","5,900","5,736","6,249","5,948","5,139","5,305","5,251","5,078","5,635","5,258","6,063"
Gilmer,29,22,25,34,19,24,27,21,30,17,20,31,22,20,17,24,16,14,15,8,16,17,27,14,19
Glascock,6,7,6,5,4,2,9,8,3,8,3,3,4,3,2,3,4,3,7,4,4,6,3,1,3
Glynn,47,55,51,29,31,30,18,18,11,18,39,25,48,35,41,40,51,58,46,42,42,33,37,48,44
Gordon,86,81,95,86,81,91,83,77,73,83,79,87,71,64,63,68,59,73,76,63,52,52,57,60,61
Grady,5,7,7,7,2,2,4,4,7,5,4,4,2,1,7,1,0,0,0,1,2,1,2,1,2
Greene,33,38,29,34,38,39,34,33,39,34,28,34,30,33,25,22,37,30,36,30,36,29,31,27,25
Gwinnett,"2,134","2,112","2,292","2,330","2,284","2,388","2,451","2,929","3,255","3,175","3,089","3,178","2,892","3,244","3,214","3,098","3,082","2,963","2,993","2,896","2,757","2,832","3,008","2,879","2,895"
Habersham,47,59,68,49,53,56,59,58,50,48,62,35,38,30,30,42,43,38,40,31,43,34,37,38,36
Hall,304,317,353,309,311,333,323,323,336,346,308,325,322,323,296,287,297,303,277,273,255,262,281,270,262
Hancock,31,37,21,48,26,31,36,33,36,43,39,39,49,53,30,30,38,30,37,36,22,34,26,24,20
Haralson,34,45,37,52,48,30,40,44,35,45,41,27,27,29,33,33,29,27,29,34,22,14,26,26,32
Harris,57,59,56,63,41,52,47,58,58,63,54,28,46,44,26,38,33,36,29,16,14,24,29,30,29
Hart,42,41,29,33,44,9,31,34,25,34,20,13,23,10,7,18,14,15,21,25,26,25,33,21,29
Heard,10,17,22,18,17,19,11,18,14,13,14,25,16,9,13,15,7,16,10,5,8,9,13,13,7
Henry,271,280,282,262,311,376,378,392,500,579,623,661,660,730,884,803,837,756,737,690,646,660,833,783,759
Houston,354,339,327,324,273,313,291,304,314,309,339,291,309,347,333,306,356,321,308,315,234,259,311,287,286
Irwin,8,3,8,5,11,7,1,4,2,7,10,6,1,7,4,4,1,4,3,2,7,4,7,2,10
Jackson,78,78,77,70,69,81,66,74,76,95,90,103,80,77,95,89,74,96,76,91,91,86,90,88,81
Jasper,29,23,26,42,24,21,29,34,29,35,17,24,25,21,33,26,15,18,29,25,16,15,24,23,21
Jeff Davis,0,7,10,6,7,5,8,7,10,6,9,12,8,6,8,6,8,6,13,6,6,9,9,7,12
Jefferson,59,54,58,57,62,61,57,51,65,55,57,56,62,72,71,45,56,46,68,56,50,65,74,75,57
Jenkins,14,15,15,8,8,14,12,16,10,14,14,15,17,16,14,10,12,8,13,6,11,13,12,8,3
Johnson,13,13,12,10,13,14,19,9,14,17,11,16,12,12,12,10,9,12,8,6,14,21,20,19,17
Jones,54,51,42,50,48,46,44,48,38,51,54,57,49,52,35,28,27,32,34,25,19,19,25,18,15
Lamar,32,30,43,42,31,32,32,35,26,23,27,36,31,35,47,43,46,30,37,27,21,17,27,25,24
Lanier,2,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,1,3,1
Laurens,103,98,93,84,79,74,73,64,71,83,68,82,80,73,93,50,92,69,87,89,68,74,123,77,110
Lee,30,48,38,27,43,28,34,52,33,34,28,35,35,26,37,36,28,37,26,20,24,22,33,24,22
Liberty,265,266,248,245,241,229,244,202,198,249,294,246,314,277,268,296,252,296,249,225,189,204,192,296,239
Lincoln,24,17,26,22,25,23,15,19,22,21,17,17,30,19,15,19,17,16,13,16,24,21,16,23,20
Long,18,19,9,20,20,10,15,15,17,16,23,16,22,12,17,15,17,17,20,23,29,17,16,13,21
Lowndes,42,42,39,42,31,28,16,17,26,14,30,31,24,19,21,31,42,21,26,18,22,23,43,36,48
Lumpkin,38,34,39,55,44,40,38,53,43,26,36,39,34,33,30,27,28,15,34,33,24,24,22,26,28
Macon,43,34,44,40,35,46,39,42,37,36,38,48,39,32,30,31,23,24,28,22,22,18,34,25,25
Madison,55,66,54,45,46,41,46,46,50,54,64,48,54,44,24,29,25,14,29,28,31,27,27,24,25
Marion,11,11,16,18,12,10,12,11,17,20,19,9,13,14,15,20,8,7,11,9,6,5,11,9,10
McDuffie,56,62,58,60,57,54,61,68,70,62,82,61,72,73,67,62,55,54,83,66,60,72,74,65,60
McIntosh,13,22,10,10,11,9,11,12,5,9,10,9,7,14,7,14,5,17,11,10,12,9,8,8,6
Meriwether,67,86,66,46,59,53,53,62,58,57,36,40,44,36,62,49,49,44,30,27,24,28,46,30,33
Miller,5,5,1,1,2,1,5,0,2,4,4,2,5,3,2,3,2,2,4,2,5,0,2,1,0
Mitchell,12,14,14,21,12,10,6,16,13,17,9,8,7,12,21,15,16,5,2,7,6,4,14,10,10
Monroe,53,55,66,52,59,55,60,60,57,57,61,80,38,59,45,46,40,45,35,44,27,30,34,32,36
Montgomery,12,12,16,11,8,7,15,11,11,10,9,6,7,6,6,13,5,14,11,10,8,5,11,4,10
Morgan,33,55,49,65,48,48,34,51,34,50,40,36,26,51,30,34,40,25,45,20,32,32,40,26,25
Murray,61,52,49,42,52,35,26,42,35,34,32,32,21,27,29,19,23,31,24,29,17,20,35,25,25
Muscogee,924,855,833,834,821,803,707,"1,089",792,"1,001",752,475,846,785,900,863,866,705,564,415,498,477,693,663,658
Newton,201,167,183,215,182,165,209,215,232,275,282,298,312,335,400,378,358,344,328,312,290,304,378,308,362
Oconee,43,50,60,41,31,34,32,29,36,35,50,46,38,46,46,45,47,28,34,43,37,29,29,29,21
Oglethorpe,26,28,18,23,23,10,20,22,10,15,14,35,15,25,8,9,14,5,14,13,8,12,13,11,7
Paulding,163,142,127,128,138,136,152,167,201,185,197,255,210,293,243,248,238,233,205,220,224,216,209,217,195
Peach,107,94,110,102,94,99,84,107,83,91,83,67,80,86,98,81,90,91,88,87,85,70,75,59,75
Pickens,31,37,43,40,33,30,27,30,38,40,32,24,28,25,37,28,23,17,19,22,12,20,19,27,24
Pierce,2,4,3,2,2,1,4,4,4,1,3,4,0,1,1,4,1,4,4,1,2,1,2,0,3
Pike,24,18,23,22,29,21,20,20,27,23,23,31,20,22,33,22,13,25,23,24,20,16,32,24,17
Polk,80,77,76,70,78,94,76,77,71,79,75,55,75,78,80,67,66,71,59,65,72,43,62,56,70
Pulaski,21,21,17,18,21,21,16,14,20,15,14,20,12,17,17,9,10,12,15,8,12,15,17,12,15
Putnam,40,40,59,43,50,52,35,51,42,44,52,74,44,47,45,36,35,53,51,33,37,35,37,36,36
