county,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Ada,676,528,620,527,584,604,547,579,569,500,468,526,571,586,703,775,840,862,837,786,735,729,668,649,640,656,603
Adams,7,6,4,1,4,2,0,2,3,1,3,2,3,1,2,5,1,4,7,0,2,3,4,2,5,3,3
Bannock,111,97,104,88,82,71,41,63,53,44,40,46,40,63,58,57,97,74,120,111,88,84,81,63,72,101,79
Bear Lake,5,3,3,0,3,1,2,1,1,1,2,1,2,1,0,3,0,1,1,3,2,1,3,0,0,1,2
Benewah,17,15,10,17,17,19,11,16,14,19,11,13,11,13,12,8,15,15,17,11,12,4,6,4,5,7,3
Bingham,23,20,17,17,19,15,16,12,9,10,11,11,10,12,21,10,23,18,30,25,46,33,31,22,15,22,22
Blaine,70,49,54,49,39,59,53,40,33,41,42,35,51,61,54,41,46,43,47,39,42,41,34,56,33,32,39
Boise,1,7,10,10,5,5,3,7,7,2,4,4,1,0,3,8,3,7,7,9,8,2,8,8,5,8,3
Bonner,83,55,68,60,55,73,57,61,56,79,73,68,57,55,62,59,64,59,35,55,38,40,33,29,32,40,34
Bonneville,74,74,58,63,44,41,39,27,35,38,36,45,38,33,40,38,62,59,88,75,65,60,68,59,58,67,60
Boundary,16,7,18,15,12,7,9,13,9,14,7,7,10,9,14,8,7,6,13,7,6,5,8,5,5,4,3
Butte,5,2,5,0,0,1,1,3,0,0,0,1,2,1,1,0,1,0,1,0,1,1,1,3,1,1,1
Camas,3,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,1,0,1,1,0
Canyon,161,156,178,157,133,139,125,162,135,129,127,131,160,150,161,214,248,267,336,264,271,264,253,234,217,230,232
Caribou,2,2,2,5,3,1,2,2,5,3,1,1,3,1,1,0,3,4,4,3,3,1,3,1,3,2,1
Cassia,32,27,21,13,6,8,8,6,4,6,7,0,6,7,9,9,11,14,17,18,17,14,16,23,10,13,13
Clark,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1
Clearwater,18,18,11,9,7,14,9,10,10,9,7,10,7,7,8,2,5,7,7,4,7,3,6,5,7,3,4
Custer,8,5,2,3,6,4,2,4,5,3,2,4,4,3,3,1,2,4,6,3,1,2,5,2,4,4,1
Elmore,44,28,26,22,24,22,24,24,32,20,17,22,21,23,25,31,46,34,37,43,39,45,31,25,35,30,47
Franklin,2,7,4,6,1,6,5,4,7,0,4,0,3,3,5,3,2,3,3,4,1,6,4,3,2,6,6
Fremont,8,7,4,3,1,1,1,0,5,5,2,2,2,2,5,3,4,4,5,1,5,2,5,4,2,1,6
Gem,20,16,18,19,6,13,10,7,7,6,4,11,8,6,9,15,11,18,14,13,9,13,12,9,15,13,14
Gooding,12,14,10,6,4,10,5,2,8,8,2,7,7,7,5,10,18,19,31,23,13,8,10,12,9,9,15
Idaho,16,17,15,15,19,10,15,12,6,9,11,9,12,5,5,6,9,10,8,8,8,6,4,5,6,7,6
Jefferson,9,10,5,3,5,3,5,2,3,4,5,3,2,2,4,5,4,3,9,12,8,6,9,7,3,9,11
Jerome,24,24,21,17,10,13,7,7,6,6,6,8,9,13,14,14,18,21,27,15,26,24,21,28,21,22,17
Kootenai,245,275,242,275,303,265,274,275,251,309,299,281,295,260,313,277,265,266,262,248,192,195,163,184,197,166,190
Latah,114,122,121,84,95,106,87,84,85,75,73,83,100,73,79,66,76,59,56,59,64,43,57,54,50,38,52
Lemhi,15,2,1,2,2,3,2,10,1,2,1,6,10,6,6,11,9,9,5,5,5,11,2,3,2,3,6
Lewis,8,4,9,8,5,4,6,6,4,3,6,5,6,7,4,7,6,5,4,2,3,1,0,2,4,5,1
Lincoln,6,2,3,4,2,2,3,0,0,3,0,0,1,6,4,4,5,3,2,6,4,8,2,4,4,6,3
Madison,7,8,6,6,3,2,3,1,2,2,3,3,0,3,3,2,2,3,5,3,6,5,5,2,6,5,5
Minidoka,30,24,21,8,12,8,6,9,5,5,5,7,10,9,6,5,15,9,14,20,13,21,24,15,7,21,17
Nez Perce,101,90,98,80,84,86,80,81,73,66,73,51,62,80,65,77,74,52,63,53,78,37,35,43,39,42,52
Oneida,2,0,1,1,0,1,4,1,0,0,0,2,1,2,1,1,2,0,1,1,2,2,1,1,0,2,1
Owyhee,9,5,5,5,4,6,5,7,5,5,1,3,4,8,7,3,6,10,10,12,7,7,4,8,3,3,5
Payette,20,13,18,16,13,14,8,16,9,9,13,5,12,14,10,22,24,18,28,31,18,26,22,20,24,18,21
Power,17,7,11,3,5,6,5,3,0,3,3,8,1,0,4,4,4,5,4,5,10,4,4,5,8,9,5
Shoshone,41,38,26,25,23,32,22,29,18,26,18,22,22,20,22,19,13,19,19,12,20,20,19,20,13,9,11
Teton,1,4,1,0,2,1,4,5,0,2,2,4,2,2,4,5,7,6,7,10,6,1,0,3,5,5,2
Twin Falls,106,81,80,50,38,40,29,31,28,30,27,34,40,44,58,58,87,87,134,105,105,114,110,116,103,107,112
Valley,22,11,10,14,15,17,17,7,9,9,13,6,10,16,13,26,20,18,13,13,12,18,11,10,9,8,12
Washington,10,4,6,5,9,5,2,4,2,3,1,5,4,4,3,6,4,7,13,6,5,6,10,3,6,9,9
IDAHO TOTAL,"2,201","1,886","1,949","1,711","1,706","1,740","1,555","1,635","1,514","1,509","1,430","1,493","1,620","1,618","1,827","1,919","2,160","2,132","2,348","2,123","2,005","1,916","1,794","1,751","1,686","1,749","1,730"
