county,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Adams,123,98,112,115,81,59,?,63,57,67,58,69,58,61,61,?,?,59,?,?,?,?,?,56
Alexander,?,?,?,51,?,?,?,?,58,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Bond,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Boone,119,91,93,81,91,93,68,91,78,91,82,78,82,77,97,84,73,?,?,56,?,?,?,53
Brown,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Bureau,57,66,60,61,?,?,?,55,?,?,54,60,?,?,?,?,?,?,?,?,?,?,?,?
Calhoun,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Carroll,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Cass,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Champaign,424,660,533,537,534,568,521,437,332,450,470,425,456,468,468,287,292,181,158,206,241,111,234,125
Christian,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Clark,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Clay,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Clinton,?,57,59,69,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Coles,92,117,132,125,114,99,102,95,65,82,69,58,63,57,?,?,?,?,56,64,61,?,52,51
Cook,"31,162","32,882","30,913","30,271","26,685","25,472","24,714","24,739","21,969","23,462","22,179","22,691","22,296","25,529","25,196","23,840","24,008","24,899","23,896","21,511","22,892","21,747","21,288","23,189"
Crawford,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Cumberland,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
DeKalb,209,220,170,192,190,153,184,192,171,167,148,160,198,207,270,241,268,253,265,211,219,167,150,219
DeWitt,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Douglas,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
DuPage,"3,242","2,074","1,217","1,311","1,434","1,808","2,156","1,989","2,064","2,032","1,851","1,831","1,963","1,941","2,155","2,030","1,894","1,989","1,786","1,677","1,599","1,504","1,311","1,572"
Edgar,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Edwards,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Effingham,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Fayette,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Ford,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Franklin,63,56,55,58,84,52,?,?,?,72,?,51,51,51,?,?,?,?,?,?,?,?,?,?
Fulton,78,63,72,53,?,?,?,55,?,?,?,?,?,51,?,?,?,?,?,?,?,?,?,?
Gallatin,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Greene,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Grundy,?,72,72,?,?,?,?,?,?,?,?,?,?,?,51,?,?,62,64,57,64,61,64,102
Hamilton,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Hancock,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Hardin,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Henderson,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Henry,76,71,54,63,?,52,?,?,51,?,?,?,?,?,?,?,?,?,?,?,?,?,?,56
Iroquois,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Jackson,162,181,220,183,156,122,88,111,128,126,120,92,97,168,132,135,119,111,110,96,91,80,82,128
Jasper,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Jefferson,88,68,69,83,?,?,?,57,?,78,108,?,57,?,?,?,?,?,?,?,?,?,?,?
Jersey,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Jo Daviess,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Johnson,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Kane,480,712,432,396,549,541,597,632,612,661,733,778,832,"1,145","1,156","1,157","1,025","1,295","1,036","1,008",937,815,775,994
Kankakee,110,196,148,141,156,119,127,125,115,85,93,109,109,114,123,97,139,147,163,144,116,132,152,211
