county,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Adams,14,21,21,24,19,26,14,9,11,15,17,11,11,8,?,10,8,15,9,10,10
Allen,682,722,678,705,650,632,557,559,567,543,534,502,446,335,318,398,330,326,289,301,319
Bartholomew,110,91,91,104,82,96,91,93,101,97,102,87,87,88,121,56,81,92,89,92,70
Benton,9,5,5,6,5,13,7,5,7,11,9,5,9,6,7,6,12,7,4,6,4
Blackford,12,8,17,13,15,17,11,13,12,8,7,11,9,6,6,8,9,4,9,9,6
Boone,75,79,68,73,58,44,65,62,55,66,65,60,54,37,36,39,41,49,53,56,55
Brown,22,14,23,22,16,14,16,20,21,13,15,19,14,16,11,10,8,10,13,12,8
Carroll,16,13,17,15,11,13,20,13,11,10,17,9,16,14,11,16,14,4,12,18,12
Cass,51,49,54,47,43,35,33,59,26,39,44,32,37,39,30,38,20,28,29,28,45
Clark,8,15,25,41,39,37,22,30,25,29,23,24,24,32,20,22,20,28,34,47,44
Clay,31,24,31,22,24,19,14,27,28,17,25,23,16,18,20,21,14,21,21,20,21
Clinton,54,47,38,44,34,32,35,47,38,31,30,35,20,41,22,25,23,22,38,35,32
Crawford,?,?,?,7,?,?,7,?,?,?,?,?,?,?,?,?,2,3,8,4,4
Daviess,20,13,19,28,16,12,18,12,11,17,23,11,8,11,11,10,15,9,11,18,13
Dearborn,?,?,?,?,?,?,?,?,0,?,?,?,?,8,7,?,7,7,2,2,5
Decatur,22,17,18,13,9,19,13,20,26,25,17,18,13,18,20,13,17,14,13,11,17
DeKalb,44,35,43,32,35,35,33,23,20,37,36,33,28,13,16,19,19,18,12,11,11
Delaware,273,248,231,210,181,189,162,190,149,174,194,170,157,161,148,160,127,134,104,122,121
Dubois,6,8,10,10,11,13,12,23,19,13,13,18,22,13,18,16,20,17,16,15,20
Elkhart,251,245,213,178,180,136,154,165,204,166,159,140,132,152,130,137,157,169,92,83,87
Fayette,18,19,16,15,19,19,11,17,24,16,18,17,14,12,15,14,19,9,16,11,13
Floyd,?,5,16,37,23,25,14,15,16,16,16,13,13,13,16,11,10,15,27,29,22
Fountain,15,9,12,14,6,?,10,7,7,8,6,10,?,5,6,8,12,7,6,7,10
Franklin,10,?,?,?,6,?,5,?,7,6,5,10,6,7,6,?,3,10,1,6,4
Fulton,18,28,16,18,15,15,17,14,14,14,7,12,9,10,8,11,16,3,7,9,5
Gibson,16,19,18,24,17,13,15,8,10,17,13,16,19,17,11,15,20,10,13,18,18
Grant,94,121,106,106,77,98,80,74,73,64,81,78,62,57,66,48,51,50,35,49,61
Greene,40,35,43,53,36,35,36,34,30,30,18,30,15,21,14,28,16,12,10,16,25
Hamilton,267,287,285,290,286,327,304,351,310,365,439,372,357,317,305,269,293,269,272,291,312
Hancock,73,81,89,76,90,93,79,87,93,100,104,87,83,93,63,82,62,43,59,68,57
Harrison,0,?,6,7,6,13,6,6,8,6,?,9,?,?,8,?,9,7,10,5,7
Hendricks,152,144,162,144,145,151,157,172,196,175,182,208,180,162,187,143,164,143,125,164,163
Henry,60,72,54,65,44,55,43,52,36,63,42,55,51,28,26,37,33,33,30,32,37
Howard,126,138,123,143,100,110,92,83,103,105,114,99,109,92,71,67,94,87,86,96,81
Huntington,37,39,33,32,36,29,32,22,25,25,27,31,24,20,23,19,13,18,13,8,24
Jackson,32,40,37,26,33,34,37,32,33,34,32,38,37,34,25,32,18,16,36,27,34
Jasper,41,34,37,36,26,49,47,44,45,43,31,47,49,32,41,28,31,27,33,38,33
