county,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Allen,21,20,25,35,24,23,24,8,30,24,19,14,13,14,10,13,16,18,30,23,25,19,24,23,21,24,32,14,14,15,15,9,14,7,8,5,6,8,7,8,5,6,7
Anderson,12,16,7,19,17,11,14,9,7,11,6,13,6,7,9,5,66,7,7,10,11,4,14,9,8,9,7,4,5,5,2,8,7,2,5,4,5,1,2,3,2,5,4
Atchison,41,13,31,44,47,36,40,46,32,30,17,26,28,22,30,33,32,23,33,28,29,28,31,30,16,24,20,30,24,25,35,27,25,29,16,17,14,21,18,16,9,15,8
Barber,4,6,6,3,5,10,11,7,8,2,1,4,5,1,5,1,6,3,7,4,3,2,8,7,1,4,5,9,7,3,3,4,2,2,1,1,1,1,6,4,6,3,7
Barton,59,59,55,85,75,63,48,48,42,42,38,19,24,25,23,33,38,47,55,72,69,46,55,47,52,39,47,37,32,34,36,33,44,37,21,24,13,18,19,22,23,17,17
Bourbon,22,32,24,35,34,29,31,28,21,24,21,27,22,26,26,29,29,14,31,18,22,23,21,23,19,23,26,16,13,16,17,15,14,16,9,15,8,13,8,5,6,18,11
Brown,18,18,22,12,24,16,14,15,6,12,9,10,10,8,10,18,9,12,12,7,11,16,10,22,17,15,14,10,17,12,7,12,11,9,6,6,7,4,3,4,6,5,5
Butler,67,72,102,104,70,62,49,46,46,35,29,31,26,18,41,39,97,112,121,121,112,115,95,73,110,101,100,83,85,71,106,71,78,59,53,47,52,46,51,47,38,46,58
Chase,6,7,9,5,2,3,0,0,3,4,2,1,1,0,2,3,7,5,5,0,3,4,3,2,2,2,3,3,4,5,1,1,3,0,3,0,1,0,0,2,1,0,0
Chautauqua,5,7,4,8,6,1,6,6,7,4,2,5,1,0,1,1,1,4,1,8,5,2,3,3,4,1,1,2,4,0,2,2,2,0,0,0,1,0,1,0,1,0,1
Cherokee,18,10,5,18,8,11,25,24,30,26,22,23,25,22,27,19,22,12,14,15,23,15,19,20,16,17,20,16,19,9,9,2,9,9,6,6,14,9,12,8,6,3,7
Cheyenne,0,0,0,0,0,0,1,1,2,0,0,0,0,1,0,0,0,1,1,1,2,0,2,1,0,0,1,2,1,2,1,1,0,1,0,1,0,0,0,0,2,0,0
Clark,1,5,5,0,1,1,1,1,2,3,1,2,0,2,2,0,1,0,3,4,0,4,6,1,3,1,2,1,1,0,2,2,2,0,0,0,1,0,2,0,0,0,2
Clay,7,7,17,16,12,7,7,4,2,11,3,7,9,4,7,2,4,7,10,9,12,10,12,12,12,9,10,5,5,8,12,13,11,6,10,8,5,3,3,9,4,1,8
Cloud,12,9,19,18,16,15,13,4,9,3,5,5,7,3,6,5,16,11,22,15,5,11,9,5,9,8,9,8,8,10,8,4,3,6,6,5,4,6,6,7,4,4,7
