county,2000,2001,2002,2003,2004,2005
Allegany,26,29,24,26,5,5
Anne Arundel,"1,035","1,248","1,159",945,841,879
Baltimore,"1,953","2,234","1,452",859,"1,166","1,057"
Baltimore City,"3,082","3,760","2,414","1,555","1,963","1,804"
Calvert,65,60,67,58,62,48
Caroline,0,0,0,0,0,0
Carroll,131,138,107,142,58,53
Cecil,47,53,32,24,27,32
Charles,190,174,244,242,222,278
Dorchester,0,0,1,0,0,0
Frederick,163,123,212,344,90,105
Garrett,0,0,0,0,0,0
Harford,464,444,339,132,154,174
Howard,292,381,221,223,230,233
Kent,42,48,94,79,80,121
Montgomery,978,690,941,"1,155",989,"1,111"
Prince George's,"2,572","2,319","2,640","3,090","2,545","2,935"
Queen Anne's,0,0,0,0,0,0
Saint Mary's,221,206,192,169,172,165
Somerset,0,0,0,0,0,0
Talbot,130,191,164,156,133,136
Washington,18,21,22,23,2,0
Wicomico,0,0,0,0,0,0
Worcester,107,171,140,99,75,62
MARYLAND,"11,516","12,701","11,645","9,321","8,814","9,198"
