county,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Alcona,10,15,10,17,9,7,7,12,10,10,5,9,3,8,8,6,10,7,10,7,5,6,9,6,14,7,7,12
Alger,5,5,8,5,6,11,12,10,5,3,7,8,3,5,7,3,7,3,2,3,0,1,2,4,5,4,3,4
Allegan,174,162,129,120,122,105,118,124,147,136,187,179,183,158,131,123,111,122,99,96,106,93,90,89,89,91,100,98
Alpena,50,50,35,36,38,35,27,31,32,32,27,29,32,23,29,24,30,19,25,29,20,23,19,27,18,27,24,24
Antrim,21,31,13,14,17,19,10,18,29,18,30,22,27,21,17,31,23,31,26,21,18,20,18,20,21,10,14,23
Arenac,22,30,26,28,22,14,30,22,18,16,24,22,28,25,25,25,18,19,11,25,16,15,10,11,13,11,13,15
Baraga,3,3,3,3,6,3,4,4,7,10,6,4,5,0,6,2,3,2,1,2,2,1,0,1,0,5,5,4
Barry,70,83,81,65,43,48,51,61,66,68,57,69,45,46,48,67,55,47,57,35,37,37,39,51,47,43,40,33
Bay,301,294,269,245,194,224,196,202,206,194,231,198,211,191,194,202,190,163,195,153,157,144,144,110,126,135,131,126
Benzie,16,18,22,21,23,23,10,21,16,14,9,19,16,12,20,25,11,19,14,14,17,7,21,13,12,4,13,9
Berrien,589,570,502,464,447,443,401,384,387,379,370,339,340,344,277,300,321,297,283,261,263,209,175,180,169,185,163,181
Branch,68,69,60,67,64,70,70,65,80,68,57,55,68,80,55,52,57,42,37,36,53,37,38,39,37,33,32,37
Calhoun,513,490,444,430,406,399,433,408,375,332,347,365,387,323,340,341,340,360,289,283,298,251,246,283,266,246,230,226
Cass,115,121,107,107,92,86,94,85,71,70,69,61,60,65,46,67,73,55,71,56,52,44,29,38,43,42,42,44
Charlevoix,46,36,29,27,30,29,30,34,42,39,47,40,44,30,38,23,28,23,25,15,28,26,28,18,27,19,22,31
Cheboygan,23,33,25,29,22,25,15,15,22,15,26,33,31,27,25,23,24,31,17,19,16,23,20,18,23,19,21,25
Chippewa,55,75,64,47,45,45,47,44,36,56,49,30,45,45,45,27,30,41,26,38,27,29,40,29,50,26,39,40
Clare,43,51,51,37,41,39,36,43,28,36,41,55,47,39,36,43,43,40,25,28,36,35,26,24,28,28,35,33
Clinton,123,92,107,90,95,98,103,63,69,62,71,64,83,71,79,89,72,80,86,63,33,18,21,33,52,36,59,78
Crawford,23,23,22,15,13,15,15,6,13,15,21,7,17,15,16,15,12,7,8,8,10,13,8,7,11,10,16,9
Delta,6,9,8,11,8,9,8,10,19,11,14,11,12,14,10,7,8,6,12,1,6,6,2,8,10,13,30,27
Dickinson,2,2,5,3,2,2,3,3,6,5,4,3,5,4,4,2,1,0,2,0,2,1,1,8,1,10,11,10
Eaton,290,228,226,240,210,210,199,191,165,191,188,185,218,140,198,192,242,190,181,181,105,62,77,122,139,205,185,227
Emmet,66,51,51,33,45,45,32,38,42,53,58,39,42,58,43,35,44,43,32,29,28,42,40,27,40,30,26,39
Genesee,"1,928","1,876","1,808","1,692","1,712","1,630","1,526","1,588","1,395","1,793","2,108","1,808","1,911","1,759","1,600","1,566","1,407","1,355","1,520","1,394","1,320","1,361","1,318","1,339","1,301","1,272","1,358","1,351"
Gladwin,44,48,32,29,27,22,27,37,29,23,37,26,36,40,35,32,25,33,27,18,14,21,27,18,15,11,17,16
Gogebic,0,0,0,1,1,0,0,0,3,1,0,5,0,0,3,1,0,0,0,0,0,0,0,1,1,2,1,4
Grand Traverse,162,131,116,114,105,103,123,129,144,117,176,170,150,159,140,138,148,148,129,132,132,129,123,135,111,153,144,121
Gratiot,76,88,74,70,64,69,53,62,51,51,55,59,52,57,54,54,46,53,42,35,32,25,28,34,26,43,33,33
Hillsdale,66,67,61,68,61,62,77,63,55,57,42,46,68,45,54,44,47,38,45,33,27,37,35,31,36,27,39,31
Houghton,21,6,15,15,17,18,14,31,16,21,17,17,16,19,8,14,9,7,5,3,2,1,4,13,5,12,17,22
Huron,43,43,44,33,40,30,26,24,37,32,36,30,30,36,32,28,28,25,24,26,29,20,30,25,21,23,24,27
Ingham,"1,693","1,558","1,477","1,401","1,373","1,466","1,452","1,369","1,234","1,263","1,153","1,101","1,145",696,971,"1,093","1,010",926,854,771,558,398,409,518,590,542,707,639
Ionia,88,76,83,63,72,66,80,61,52,80,83,75,75,75,93,100,67,79,67,60,44,52,35,48,53,50,68,60
Iosco,52,46,48,36,25,35,30,34,35,34,39,35,30,40,33,29,20,25,23,17,28,20,32,26,21,14,21,18
Iron,1,3,2,2,1,2,2,3,3,2,4,6,5,2,0,3,1,0,0,0,0,0,0,3,0,3,7,8
Isabella,172,174,161,148,151,134,154,135,149,135,149,118,159,120,149,123,161,124,109,110,93,96,98,110,98,87,96,105
Jackson,413,427,395,400,401,429,402,383,373,351,321,326,380,320,328,333,293,340,305,287,260,278,258,318,275,267,249,280
Kalamazoo,"1,155","1,217","1,098","1,026","1,015",963,962,981,968,927,889,930,911,857,844,844,778,826,746,710,714,687,654,666,668,601,604,665
Kalkaska,22,11,20,9,10,13,12,15,20,15,17,21,27,17,20,13,14,13,11,10,14,12,11,12,7,13,18,5
Kent,996,857,924,704,642,780,806,"1,122","1,286","1,175","1,594","1,552","1,594","1,469","1,437","1,534","1,540","1,491","1,335","1,142",980,"1,178","1,154","1,239","1,181","1,211","1,241","1,308"
Keweenaw,2,0,0,3,2,1,0,0,0,1,1,1,2,1,0,0,2,0,1,1,0,1,0,0,0,1,2,0
Lake,12,9,9,14,8,12,11,5,8,14,13,10,17,12,9,8,11,14,9,7,4,8,7,8,3,4,8,7
Lapeer,163,195,153,141,194,176,177,166,121,150,175,127,155,112,127,118,97,92,102,118,86,92,103,127,101,107,109,107
Leelanau,24,30,21,18,16,15,23,19,21,25,23,23,20,17,27,25,17,21,27,18,16,13,20,14,11,14,16,24
Lenawee,113,126,111,128,127,139,126,135,121,130,148,135,134,132,127,114,113,142,84,107,97,102,112,125,129,97,138,132
Livingston,298,308,288,290,306,275,257,270,267,287,246,237,317,268,291,232,253,237,212,223,209,220,267,230,269,219,206,184
Luce,7,6,13,5,6,6,3,8,8,7,3,4,5,7,2,4,4,2,3,2,5,4,2,3,0,2,6,10
Mackinac,25,17,18,12,13,24,18,23,22,20,24,19,31,16,14,15,14,15,20,12,12,14,21,14,12,14,12,11
Macomb,"2,823","2,910","2,981","2,648","2,475","2,312","2,225","2,161","1,935","1,797","1,730","1,964","2,061","1,841","1,833","2,111","2,068","2,017","1,651","1,818","1,991","2,027","2,567","2,720","2,785","2,707","2,736","2,702"
Manistee,23,26,22,17,23,16,18,28,21,31,30,36,29,35,25,31,27,24,27,24,22,16,15,12,16,23,26,16
Marquette,90,87,57,68,65,52,40,62,67,74,58,54,64,73,62,75,39,37,30,19,24,35,23,46,44,73,64,88
Mason,34,44,30,27,28,23,34,28,48,48,47,33,42,32,30,29,40,34,25,18,35,25,25,15,26,25,30,22
Mecosta,110,94,82,63,66,46,62,70,49,84,76,56,68,66,70,56,53,52,49,53,49,32,43,46,64,47,50,39
Menominee,1,0,1,3,0,0,1,1,2,3,1,1,2,1,2,0,0,1,2,0,0,0,0,1,1,6,7,9
Midland,135,152,138,127,115,120,95,93,101,93,128,92,124,127,110,105,86,82,104,103,64,82,60,95,61,75,75,89
Missaukee,10,17,17,15,13,15,11,13,10,16,13,9,18,11,15,20,15,20,13,20,10,6,9,15,15,9,12,17
Monroe,255,214,216,260,252,266,219,137,158,154,243,262,227,207,186,181,157,168,124,187,184,194,200,215,188,191,169,184
Montcalm,77,80,58,76,76,68,57,70,75,100,102,78,92,102,78,85,68,82,86,63,42,54,40,59,46,55,44,54
Montmorency,8,12,14,12,15,14,8,12,4,10,15,14,6,10,12,9,12,6,6,7,7,4,7,4,8,6,13,14
Muskegon,286,418,444,369,323,362,362,403,411,486,477,452,446,503,478,423,338,255,220,156,166,177,302,269,300,302,295,318
Newaygo,43,50,38,29,33,21,26,33,35,40,68,52,67,62,49,51,40,32,38,33,24,24,29,30,27,24,26,32
Oakland,"2,937","3,298","3,683","3,651","3,911","3,750","3,787","2,996","2,175","2,785","2,741","2,629","2,758","2,756","2,457","2,227","1,860","2,374","2,218","2,660","2,762","2,658","3,347","3,552","3,520","3,361","3,320","3,249"
Oceana,25,31,27,20,15,11,35,25,24,27,28,28,33,31,26,21,29,23,23,8,15,16,15,19,17,25,27,15
Ogemaw,17,30,35,30,11,13,22,19,18,19,24,28,23,31,21,22,22,11,17,25,23,18,23,21,16,14,16,16
Ontonagon,0,8,2,3,2,2,0,1,0,1,3,4,0,2,2,0,0,0,0,0,0,0,0,1,2,1,3,1
Osceola,27,34,19,18,14,20,16,32,21,30,26,31,35,18,28,20,23,31,20,19,20,16,17,27,20,22,14,12
Oscoda,6,9,7,5,6,7,4,5,6,8,10,7,10,3,6,6,7,13,12,6,1,8,8,3,6,4,4,4
Otsego,37,27,34,23,19,25,36,24,33,21,42,34,42,25,52,24,28,29,27,25,22,29,26,22,23,38,21,30
Ottawa,224,241,217,195,202,177,238,268,290,279,319,327,329,325,337,315,306,290,256,199,208,233,259,264,256,201,299,251
Presque Isle,21,17,10,10,10,10,13,4,10,9,16,11,8,11,9,6,6,11,10,10,13,7,6,7,10,8,9,9
Roscommon,33,36,36,29,34,28,39,31,36,26,29,39,42,25,27,29,28,30,23,36,23,22,25,19,23,22,16,22
Saginaw,753,878,725,662,672,668,626,583,558,640,677,628,660,694,583,551,599,562,565,475,490,434,487,478,494,511,482,467
Saint Clair,313,429,502,530,503,473,453,462,444,391,336,363,315,333,322,298,275,276,224,270,254,223,271,255,270,276,247,225
Saint Joseph,154,135,134,126,105,120,95,115,123,97,96,100,100,85,80,84,76,69,76,82,69,56,59,59,62,67,54,57
Sanilac,31,45,65,59,48,53,55,62,67,45,62,51,39,36,44,48,45,40,31,37,26,24,27,33,54,27,34,47
Schoolcraft,11,6,1,5,2,1,4,7,5,2,4,4,5,3,2,5,7,4,3,2,2,2,5,4,3,5,7,6
Shiawassee,181,128,150,121,124,137,118,109,92,121,120,115,132,109,100,107,110,101,99,78,80,74,71,55,60,71,79,73
Tuscola,85,114,98,80,78,61,85,86,79,66,90,82,78,81,66,76,79,65,56,77,46,60,45,46,46,56,46,43
Van Buren,227,231,207,180,144,169,164,152,166,194,173,187,162,143,156,138,138,135,129,133,108,104,76,101,97,84,78,90
Washtenaw,"1,866","1,599","1,407","1,527","1,489","1,438","1,493","1,301","1,287","1,171","1,083","1,168","1,323","1,168","1,098","1,113","1,088",965,990,"1,054","1,041",994,990,940,875,834,779,785
Wayne,"12,004","11,858","13,542","12,192","10,450","9,927","9,587","9,076","8,673","8,568","8,984","10,494","9,963","8,486","7,990","8,404","8,420","9,618","7,368","8,383","8,961","9,084","10,453","10,616","10,336","10,101","10,218","9,990"
Wexford,56,36,51,25,34,29,33,38,38,36,52,51,45,49,43,45,57,48,43,31,26,32,24,38,41,37,24,33
MICHIGAN UNKNOWN,6,6,11,17,5,5,13,21,18,11,7,18,14,8,2,1,2,6,5,4,7,17,7,11,8,12,31,22
MICHIGAN TOTAL,"33,119","33,160","34,329","31,798","29,751","28,913","28,386","27,085","25,388","26,027","27,208","28,229","28,584","25,512","24,496","24,905","24,006","25,164","21,804","22,754","22,826","22,699","25,412","26,321","25,995","25,348","25,757","25,554"
