county,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aitkin,14,?,25,23,21,14,19,13,24,22,8,12,15,13,?,17,13,15,14,9,6,11,9,7
Anoka,835,?,970,808,837,840,832,790,826,828,858,917,834,819,783,758,651,614,517,592,541,553,619,580
Becker,?,?,11,10,12,8,6,10,?,8,?,10,6,8,?,?,7,?,?,9,?,?,8,?
Beltrami,48,?,61,52,34,52,42,56,50,47,33,42,42,37,59,52,37,48,33,39,39,36,27,38
Benton,59,?,110,75,38,51,62,71,67,67,68,61,53,68,55,52,53,44,44,54,63,68,89,73
Big Stone,?,?,0,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Blue Earth,131,?,151,120,131,115,123,107,135,128,139,131,154,139,113,133,117,134,137,125,134,101,114,101
Brown,19,?,22,26,28,23,17,15,28,21,22,27,18,32,29,22,23,16,14,15,18,17,13,14
Carlton,48,?,64,51,57,55,62,62,62,52,51,49,60,55,47,32,38,42,41,39,40,36,38,29
Carver,114,?,139,130,102,110,128,106,135,133,96,154,120,122,123,111,107,86,88,67,87,91,87,88
Cass,34,?,30,32,22,36,27,31,34,37,29,33,23,23,26,28,32,27,21,25,26,21,19,22
Chippewa,22,?,29,23,14,46,10,17,15,14,19,11,17,?,8,6,7,13,6,?,9,9,?,?
Chisago,88,?,93,84,76,76,108,77,85,71,79,73,73,84,77,63,52,50,62,47,53,45,55,62
Clay,13,?,17,24,7,7,9,17,17,11,6,11,7,7,?,6,?,15,16,6,17,10,13,?
Clearwater,?,?,2,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Cook,11,?,3,7,10,6,9,9,13,8,13,12,7,7,7,8,6,7,?,?,8,7,6,?
Cottonwood,?,?,3,7,11,6,?,10,6,?,?,6,10,9,?,?,?,7,?,10,8,?,8,?
Crow Wing,78,?,90,84,93,94,98,90,98,105,90,100,97,81,76,78,63,59,47,61,57,71,53,60
Dakota,962,?,"1,003","1,008",963,892,"1,034",996,"1,049","1,020",986,"1,050",988,966,910,844,802,722,607,689,757,719,818,712
Dodge,18,?,12,20,22,19,22,17,20,29,17,25,27,20,22,19,22,15,16,12,12,18,13,18
Douglas,25,?,19,25,18,56,21,14,22,18,14,22,23,18,17,16,17,17,13,13,19,19,10,17
Faribault,14,?,9,11,8,18,18,11,12,12,10,16,8,9,15,9,7,6,11,9,9,12,8,17
Fillmore,18,?,12,17,14,18,17,18,18,10,20,28,17,18,15,14,18,12,9,16,12,20,23,15
Freeborn,30,?,49,49,43,53,51,40,40,36,37,35,42,40,42,35,31,33,30,20,23,29,25,30
Goodhue,72,?,58,66,48,61,69,80,64,67,65,63,63,55,72,60,53,44,46,47,45,42,45,40
Grant,?,?,2,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Hennepin,"5,132",?,"5,110","5,290","5,252","5,376","5,371","5,233","5,101","4,964","4,765","4,801","4,857","4,379","4,286","3,989","3,827","3,740","3,472","3,496","3,312","3,350","3,416","3,309"
Houston,8,?,12,9,9,17,15,15,10,14,9,15,6,20,10,12,7,11,10,9,12,10,12,8
Hubbard,?,?,4,4,7,?,7,8,6,?,?,7,8,?,?,?,?,?,?,?,6,6,?,7
Isanti,63,?,40,44,59,62,61,40,61,64,61,70,52,57,48,41,51,52,31,48,41,47,39,42
Itasca,51,?,59,58,29,37,45,33,36,33,37,53,47,36,48,39,37,44,35,31,29,29,34,34
Jackson,?,?,5,8,?,10,?,?,?,?,?,8,9,7,?,6,11,?,6,?,7,8,?,6
Kanabec,14,?,24,18,15,22,14,21,15,23,10,21,25,12,17,13,10,?,15,8,10,10,11,10
Kandiyohi,47,?,47,47,52,52,69,46,42,46,48,39,49,43,46,43,35,48,42,33,41,36,34,36
Kittson,?,?,1,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Koochiching,22,?,22,19,11,16,13,18,22,16,10,14,13,21,12,15,10,11,10,8,7,8,12,6
Lac Qui Parle,?,?,3,3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Lake,18,?,22,18,12,19,15,13,16,15,17,11,10,11,16,10,10,13,8,12,10,11,7,8
Lake of the Woods,?,?,2,3,?,?,7,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Le Sueur,25,?,44,42,26,34,33,32,29,24,34,42,31,43,30,12,29,25,22,25,27,22,19,25
Lincoln,?,?,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Lyon,18,?,9,27,17,13,14,21,22,16,22,22,16,19,17,25,23,19,19,17,10,18,26,20
Mahnomen,?,?,2,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Marshall,?,?,1,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Martin,15,?,18,21,10,20,11,19,12,18,18,17,18,19,16,14,11,15,18,14,14,15,19,10
McLeod,48,?,44,45,42,34,38,32,54,38,42,40,35,37,29,34,36,31,26,26,23,31,26,29
Meeker,23,?,31,28,27,26,14,16,14,17,16,14,19,16,21,20,14,14,10,12,20,9,18,8
Mille Lacs,33,?,26,33,27,24,39,29,31,35,39,50,30,33,37,36,28,27,29,31,23,36,26,35
Morrison,31,?,15,33,33,33,29,22,21,22,23,20,23,23,18,25,21,25,13,22,19,27,14,13
Mower,33,?,38,46,49,49,63,62,49,63,50,61,37,63,51,50,52,49,41,51,47,50,38,46
Murray,?,?,0,4,?,?,?,?,?,?,6,?,?,?,?,?,?,?,?,?,6,?,?,6
Nicollet,37,?,21,39,40,34,43,52,53,40,60,70,47,56,54,37,43,22,31,36,37,45,39,41
Nobles,7,?,1,10,11,?,?,6,8,8,?,6,?,6,11,12,?,?,?,8,8,7,?,8
Norman,?,?,0,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Olmsted,197,?,192,213,258,233,268,250,205,295,261,281,273,268,251,243,241,219,178,168,185,217,208,194
Otter Tail,10,?,14,10,11,6,?,12,14,10,9,8,19,11,?,10,?,7,10,7,?,12,?,9
Pennington,?,?,0,2,?,?,?,?,?,?,?,?,?,6,7,?,?,9,?,?,?,?,?,?
Pine,32,?,36,36,29,30,42,43,33,36,34,48,31,35,42,34,21,26,29,31,29,27,24,17
Pipestone,?,?,2,4,?,?,?,?,?,6,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Polk,13,?,7,15,?,33,9,7,?,7,?,?,6,9,?,?,?,?,7,?,?,?,?,?
Pope,12,?,6,6,?,9,8,?,8,?,6,?,?,?,?,?,?,6,?,6,?,?,6,?
Ramsey,"2,231",?,"2,379","2,382","2,532","2,456","2,405","2,279","2,290","2,195","2,017","2,228","2,218","2,031","1,930","1,693","1,714","1,729","1,709","1,681","1,627","1,624","1,572","1,597"
Red Lake,?,?,2,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Redwood,9,?,16,6,11,7,13,10,12,14,12,16,11,7,15,14,9,7,6,6,8,9,10,8
Renville,8,?,11,10,13,16,8,15,17,14,12,13,14,14,13,9,7,14,10,9,9,10,9,9
Rice,113,?,57,82,100,72,81,101,110,79,94,83,96,92,87,85,69,71,74,73,51,67,56,67
Rock,?,?,2,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Roseau,?,?,1,5,?,?,?,?,?,?,?,6,?,?,?,?,?,?,?,?,?,?,?,?
Saint Louis,453,?,443,385,422,407,428,436,379,388,375,414,391,397,413,311,325,321,278,282,265,259,275,235
Scott,163,?,190,167,188,181,211,196,256,242,280,279,300,269,219,216,234,207,210,211,167,165,192,172
Sherburne,96,?,93,110,96,120,127,114,115,153,117,136,141,109,126,105,114,107,76,99,82,91,90,89
Sibley,12,?,11,12,21,11,11,11,6,9,17,6,10,11,12,11,12,13,9,7,7,14,9,?
Stearns,257,?,184,177,229,220,226,221,251,256,230,229,256,221,196,226,210,200,200,176,181,197,210,209
Steele,29,?,34,37,46,47,57,45,51,48,33,42,53,46,44,42,40,26,41,28,31,36,31,29
Stevens,11,?,6,4,7,?,?,6,6,6,?,7,5,?,?,?,?,?,?,?,6,?,?,9
Swift,?,?,8,7,6,6,13,?,9,10,7,7,7,10,9,7,7,?,?,6,?,?,10,10
Todd,19,?,13,11,11,12,7,19,15,9,9,10,13,11,13,?,12,10,17,10,6,9,10,13
Traverse,?,?,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,7,?
Wabasha,29,?,14,20,25,30,29,22,32,30,24,27,30,16,28,28,31,20,19,17,14,20,14,17
Wadena,?,?,0,5,?,?,?,?,?,?,6,?,?,?,?,?,?,?,6,6,?,?,?,7
Waseca,28,?,30,24,29,31,38,23,20,20,30,30,17,14,11,22,14,10,17,12,9,18,21,16
Washington,409,?,463,460,398,452,465,468,473,449,501,519,509,484,434,447,407,335,278,330,314,331,346,324
Watonwan,10,?,10,9,9,11,10,9,10,7,10,12,10,18,7,9,6,9,12,7,13,6,8,15
Wilkin,?,?,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Winona,72,?,56,78,63,70,60,61,61,61,62,47,80,61,51,45,57,46,62,51,41,46,38,33
