county,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Adams,92,84,95,98,68,71,48,47,43,56,71,78,92,57,36,30,55,83,64,59,60,57,65,71,55,61,48,59,53,40,41,43,55,51,69,61,81,70,81
Alcorn,83,92,82,75,82,56,67,64,64,87,73,61,70,52,50,55,50,3,5,2,5,4,13,9,7,5,28,49,41,35,32,37,40,39,34,12,18,17,14
Amite,16,26,14,11,9,10,9,11,15,8,11,13,12,10,11,3,7,6,14,13,11,12,17,11,10,16,12,3,9,4,3,9,4,9,8,8,10,13,12
Attala,27,35,32,23,37,34,25,32,33,26,34,29,28,26,24,27,31,27,35,40,40,31,33,38,38,34,31,25,36,41,32,23,19,28,30,29,33,21,19
Benton,13,12,12,13,9,14,9,7,5,9,14,11,12,9,21,6,9,0,1,1,0,0,3,1,0,0,14,13,12,13,8,12,5,9,4,11,10,4,10
Bolivar,110,106,100,105,103,104,95,126,120,135,127,140,146,126,92,108,116,50,39,33,52,31,25,23,27,17,114,110,134,135,112,116,89,87,68,57,64,73,57
Calhoun,24,14,16,21,21,11,18,25,15,23,22,23,20,14,12,8,16,7,5,9,1,6,5,3,4,4,22,24,14,18,14,11,11,8,5,9,8,18,18
Carroll,17,15,17,21,14,9,7,8,12,21,21,30,19,23,12,8,13,19,12,13,15,17,10,13,12,11,16,15,15,16,18,6,7,10,6,5,12,6,7
Chickasaw,40,35,39,37,28,24,15,41,42,30,37,29,27,26,26,21,22,14,12,22,21,10,14,18,18,15,44,29,38,34,36,34,38,32,25,16,27,19,18
Choctaw,15,7,4,11,12,8,4,8,15,8,10,17,11,8,10,11,3,12,10,12,9,6,5,8,9,5,3,4,13,9,6,5,8,7,11,1,4,4,10
Claiborne,40,41,41,43,33,28,24,28,47,36,41,46,37,33,30,30,26,44,32,39,50,31,36,35,33,25,44,31,16,26,24,20,18,22,27,15,23,27,25
Clarke,33,29,25,33,12,26,25,20,29,30,26,35,36,26,27,32,34,28,37,34,25,25,32,22,20,24,28,33,26,30,17,9,23,8,21,18,19,19,15
Clay,31,42,43,35,23,24,10,43,38,39,42,53,53,42,42,51,51,39,46,48,61,58,45,44,41,37,37,50,43,37,28,37,41,25,33,30,47,46,39
Coahoma,67,57,54,68,57,71,74,84,77,66,89,84,78,64,71,57,93,15,7,12,13,2,0,3,5,2,90,81,95,88,80,62,73,75,55,43,39,42,60
Copiah,45,58,47,56,46,56,49,47,61,54,50,69,56,75,64,49,70,44,66,60,69,57,71,78,71,58,77,72,72,52,54,57,52,54,53,38,49,57,52
Covington,23,27,13,13,20,25,15,19,20,19,23,24,33,24,18,18,20,23,36,24,41,40,24,27,23,20,18,22,37,18,18,10,14,18,17,22,14,19,16
