county,"1,975","1,976","1,977","1,978","1,979","1,980","1,981","1,982","1,983","1,984","1,985","1,986","1,987","1,988","1,989","1,990","1,991","1,992","1,993","1,994","1,995","1,996","1,997","1,998",1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Adair,8,29,22,15,32,43,46,55,53,35,28,20,15,24,29,34,40,21,37,29,29,24,29,30,13,18,14,28,26,19,14,22,22,22,21,20,11,17,14,8,10,8,6,12
Andrew,0,13,13,13,19,24,26,14,13,17,21,15,11,15,13,11,17,17,16,18,12,17,23,19,16,24,13,20,14,12,22,19,14,17,12,10,17,7,21,6,13,11,9,15
Atchison,0,6,12,15,9,8,4,9,8,7,1,4,3,5,6,1,1,0,3,2,1,3,2,1,1,0,1,1,1,0,1,3,2,4,2,1,2,0,2,1,4,4,4,2
Audrain,12,23,18,24,27,51,41,41,37,43,37,38,26,35,39,37,32,33,21,22,22,24,22,39,26,20,15,22,19,24,23,18,20,22,21,20,19,14,15,12,17,14,9,8
Barry,14,19,20,21,33,37,49,32,45,51,37,41,25,40,35,36,36,39,39,44,35,26,28,38,30,24,21,24,23,21,10,12,6,7,3,3,6,6,11,7,11,6,6,12
Barton,0,3,14,10,17,19,11,10,14,9,12,14,6,12,11,11,13,10,10,13,15,10,13,10,10,9,8,6,5,4,5,4,6,5,4,4,4,4,6,2,6,0,2,2
Bates,1,22,25,20,24,39,27,29,19,17,14,20,10,25,15,15,25,19,13,24,22,22,18,11,16,15,10,11,12,12,6,12,15,19,22,19,15,13,8,18,5,12,9,15
Benton,0,8,11,15,18,22,14,20,18,18,22,7,14,10,12,17,17,17,17,17,15,20,13,18,20,19,14,15,22,13,15,11,14,17,8,12,9,11,7,2,3,5,4,6
Bollinger,2,4,3,6,9,10,9,9,10,4,9,12,10,8,4,11,10,4,10,9,6,9,2,3,4,4,7,1,6,0,4,2,6,0,1,4,4,1,1,2,0,1,1,1
Boone,636,438,415,508,617,640,693,769,700,678,672,572,575,558,609,596,562,550,485,451,437,468,420,413,348,316,325,351,357,353,357,393,402,417,395,363,324,298,309,277,260,236,248,219
Buchanan,4,232,229,180,338,337,329,288,274,265,223,222,139,194,202,213,191,241,194,202,188,193,156,163,210,152,178,179,158,174,159,147,140,141,151,120,118,125,111,133,92,96,107,107
Butler,21,55,52,109,95,87,84,91,91,91,74,74,60,64,77,58,69,50,35,45,47,42,29,33,33,24,31,26,21,24,21,26,20,22,26,14,21,21,23,19,9,18,10,13
Caldwell,2,7,11,7,18,11,18,9,20,11,10,9,10,12,10,9,7,6,8,10,16,3,9,4,11,6,5,6,7,10,2,6,7,8,4,9,10,13,5,6,4,7,6,4
Callaway,31,57,61,57,73,104,94,106,103,82,79,63,67,65,83,82,95,66,53,49,66,66,59,49,52,39,48,55,63,43,49,61,53,60,61,46,41,27,35,31,34,29,26,30
Camden,17,13,27,33,37,64,58,72,61,52,52,50,54,55,47,59,59,66,50,54,48,45,41,58,41,35,36,40,41,41,49,33,46,27,40,32,37,34,24,27,29,26,22,23
Cape Girardeau,89,130,158,170,193,240,247,251,237,218,227,212,172,162,192,150,143,106,106,83,96,75,76,75,65,61,56,61,58,72,74,67,69,53,68,71,49,48,45,53,53,44,43,37
Carroll,0,9,12,11,18,21,18,15,15,17,12,4,8,12,19,12,13,12,11,12,11,8,9,9,7,9,8,11,9,13,3,4,5,3,6,5,5,1,6,3,5,6,2,6
Carter,1,3,4,7,7,4,9,6,9,5,9,6,4,9,10,6,3,3,4,2,3,2,4,4,2,4,3,2,3,3,2,2,1,1,2,1,1,0,0,3,0,3,3,3
Cass,4,121,134,104,172,191,153,156,157,145,149,138,122,158,143,155,165,159,186,156,141,156,160,133,136,137,180,173,165,142,169,190,170,179,210,169,182,139,120,116,107,88,108,99
Cedar,3,9,11,9,24,21,15,11,12,19,9,23,10,17,16,20,15,14,15,7,10,6,9,8,11,8,6,7,2,9,6,6,8,2,3,7,2,4,3,6,6,2,6,3
Chariton,3,10,7,11,6,13,13,13,9,10,14,8,4,4,5,8,6,9,6,12,4,7,8,6,8,3,1,1,1,4,7,3,7,2,2,3,3,3,4,6,4,3,2,3
Christian,25,28,30,37,63,53,53,57,65,60,58,52,63,92,83,78,87,83,84,82,88,96,84,85,83,96,95,90,86,68,76,54,62,69,61,68,62,54,55,55,39,49,45,46
Clark,0,0,0,0,0,9,14,20,13,1,0,0,0,0,0,0,0,1,0,2,1,0,1,0,0,0,1,2,0,1,0,0,0,0,0,4,3,3,0,2,3,1,1,4
Clay,33,300,327,285,552,502,513,388,380,326,316,317,258,235,292,495,454,493,483,469,350,474,487,410,455,446,459,409,488,445,439,499,440,541,580,532,526,478,439,450,322,348,346,334
Clinton,4,28,39,26,42,47,33,26,24,27,32,31,24,27,36,31,28,36,34,32,27,25,35,31,20,24,24,26,34,20,36,37,31,32,18,14,18,19,20,20,22,13,22,25
Cole,55,112,82,114,166,178,180,173,164,182,151,152,131,148,172,186,171,169,158,138,128,131,126,155,117,97,118,120,147,125,107,140,104,150,135,117,90,108,94,95,66,84,66,52
Cooper,8,17,20,20,25,30,25,22,30,24,24,20,28,21,31,26,30,29,23,23,11,17,14,15,20,15,13,19,24,18,14,29,14,17,23,22,14,17,12,5,12,7,12,11
Crawford,15,18,19,26,23,30,36,32,21,31,25,21,15,29,30,23,25,22,20,26,23,17,15,21,7,12,14,19,18,5,5,10,6,3,8,4,12,15,9,6,10,6,5,6
Dade,5,8,7,5,10,9,17,8,15,9,11,16,7,8,10,13,5,11,12,5,12,4,4,11,7,9,7,8,8,3,1,5,1,3,7,1,6,2,1,0,0,0,2,6
Dallas,6,13,18,10,18,19,18,11,17,22,27,18,12,18,10,19,10,15,22,20,14,18,9,14,20,16,16,8,5,9,6,13,10,5,4,4,7,7,9,7,5,7,6,9
Daviess,0,12,12,8,17,10,13,7,11,8,8,7,5,3,7,14,5,4,8,4,12,4,5,7,3,1,4,4,5,7,4,8,1,5,5,5,3,3,3,3,4,7,5,4
DeKalb,0,6,13,8,22,13,18,10,14,11,10,5,4,9,4,12,9,9,11,4,8,6,5,11,9,5,1,7,7,9,1,13,15,17,8,10,3,3,8,5,4,3,2,0
