county,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Beaverhead,26,33,25,28,29,24,23,33,33,27,16,14,19,24,25,19,25,26,19,27,24,23,19,17,12,23,14,13,8
Big Horn,32,34,44,25,31,32,26,18,25,19,21,24,26,26,22,26,25,16,29,16,27,17,29,21,26,26,22,16,21
Blaine,15,7,15,15,12,11,10,7,5,12,12,7,9,7,9,11,11,7,6,6,13,11,11,6,4,11,2,8,10
Broadwater,3,3,8,3,8,5,5,10,6,11,13,16,10,8,5,6,4,5,6,6,4,6,9,6,9,2,3,5,8
Carbon,23,27,29,30,30,23,23,25,22,20,22,25,17,20,26,11,15,20,15,20,6,13,21,20,17,13,14,12,15
Carter,0,0,1,1,2,2,1,0,2,2,2,1,0,1,0,1,1,0,0,2,0,0,0,3,0,0,0,1,1
Cascade,304,306,305,310,267,270,234,201,217,248,203,193,178,208,169,202,197,191,172,158,150,140,168,184,150,147,163,145,127
Chouteau,6,7,10,13,16,10,17,13,10,8,6,7,5,3,6,5,9,2,6,5,5,3,2,2,2,1,1,1,4
Custer,37,38,37,42,41,27,33,24,23,30,19,35,25,33,25,23,29,25,18,22,16,15,16,17,19,20,15,17,14
Daniels,3,9,5,2,2,1,3,1,2,1,1,2,2,1,1,2,1,1,4,2,0,2,0,1,0,0,0,0,3
Dawson,37,46,45,41,23,18,20,18,16,23,15,12,11,9,6,11,9,8,11,10,8,12,12,10,4,3,11,12,6
Deer Lodge,11,9,20,21,18,14,10,14,25,18,19,30,21,19,19,15,22,16,18,22,15,16,15,14,16,14,14,13,9
Fallon,2,4,2,2,5,2,4,2,2,2,4,3,2,3,4,3,3,2,4,1,2,0,3,3,2,2,0,1,2
Fergus,38,33,39,31,23,26,20,28,26,24,15,17,17,14,16,9,12,11,11,8,8,8,11,14,6,10,5,11,10
Flathead,275,240,267,258,240,259,221,233,222,254,239,219,236,225,234,220,213,226,212,196,223,207,216,224,186,177,206,222,190
Gallatin,274,325,250,199,263,204,177,159,206,205,167,187,260,268,282,287,278,214,236,196,179,197,187,216,188,220,220,210,216
Garfield,2,7,3,0,4,3,3,4,2,0,2,1,2,1,1,3,1,2,1,0,1,0,1,0,2,1,0,0,0
Glacier,54,41,40,50,50,42,28,33,35,43,42,38,40,27,25,27,31,53,32,42,32,30,28,41,43,27,34,31,43
Golden Valley,4,3,5,3,1,3,0,1,0,0,1,1,1,2,0,1,0,0,1,0,0,2,0,1,0,0,0,1,0
Granite,9,11,9,4,7,8,4,5,6,9,2,6,5,4,4,2,3,4,6,5,3,4,2,2,3,3,2,2,3
Hill,46,65,68,69,44,39,30,38,33,24,32,38,31,37,32,36,32,29,34,24,34,30,23,24,22,23,21,19,23
Jefferson,11,10,12,15,9,16,10,13,19,25,11,12,13,13,5,12,18,12,10,16,9,13,10,13,14,8,15,14,5
Judith Basin,6,16,2,5,7,7,6,1,3,5,3,3,1,4,0,2,1,1,1,1,1,2,1,5,0,1,0,0,0
Lake,72,71,62,43,48,48,41,37,65,48,51,45,42,50,45,60,50,45,64,63,62,71,48,48,60,46,40,61,54
Lewis and Clark,202,127,127,107,118,138,120,120,164,148,159,143,135,137,161,140,151,154,120,143,133,110,123,135,119,111,152,133,125
Liberty,3,2,3,2,5,9,3,2,2,2,1,3,0,4,3,0,1,0,2,1,1,0,0,1,0,1,2,0,1
Lincoln,55,38,44,40,34,33,25,11,44,45,38,35,34,29,33,29,37,28,23,26,17,24,16,20,17,21,11,18,22
Madison,22,13,12,10,11,13,4,8,2,10,20,11,18,10,15,12,19,10,10,17,14,10,11,12,8,12,7,7,13
McCone,0,3,6,4,2,4,6,3,4,6,1,2,2,3,4,2,2,4,3,0,1,1,1,0,0,1,0,0,1
Meagher,8,5,3,2,6,3,2,3,2,1,4,2,2,4,10,6,1,4,4,4,2,3,4,4,1,3,3,0,3
Mineral,10,11,8,12,12,4,4,10,7,12,2,12,9,9,6,6,11,4,6,7,10,5,10,9,13,3,7,1,5
Missoula,540,549,525,474,461,448,398,315,468,439,434,436,350,368,323,378,383,333,342,346,368,403,375,354,396,379,371,357,385
Musselshell,7,7,11,12,11,8,9,9,5,9,5,11,11,6,5,9,5,10,9,15,6,10,9,4,4,4,6,3,4
Park,38,43,42,37,45,48,26,37,27,34,20,29,31,55,36,33,35,34,35,32,26,26,29,28,27,34,20,21,29
Petroleum,0,1,0,0,1,0,0,0,1,1,0,1,1,3,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0
Phillips,8,10,14,18,12,9,4,5,8,1,10,13,4,8,10,10,5,3,9,2,4,5,1,6,3,3,1,0,3
Pondera,15,16,14,19,7,4,13,5,12,5,4,14,8,9,2,6,8,12,3,5,2,5,3,2,5,6,7,4,1
Powder River,0,6,3,5,3,4,3,4,3,4,2,3,2,0,4,1,9,0,1,4,0,1,2,0,0,2,3,0,1
Powell,12,22,13,5,10,15,14,9,11,15,10,19,10,10,13,7,8,15,14,10,10,6,6,12,5,10,7,7,7
Prairie,3,0,3,3,2,1,1,4,1,2,2,2,0,0,2,2,0,0,0,1,0,0,1,1,2,2,0,0,1
Ravalli,54,56,58,70,50,55,49,44,65,59,54,56,41,49,50,56,64,58,54,69,60,56,59,41,49,50,58,55,35
Richland,48,57,45,31,33,28,10,24,25,22,16,20,13,16,10,11,5,5,8,7,11,7,5,14,8,8,3,5,17
Roosevelt,41,46,35,45,33,27,25,25,24,30,19,36,25,26,17,19,20,32,20,18,17,30,16,23,27,15,9,15,12
Rosebud,33,42,51,42,36,37,30,22,31,22,23,32,16,20,13,15,13,17,18,10,18,16,16,18,17,12,8,14,18
Sanders,16,16,15,14,12,16,13,10,18,11,14,17,9,12,17,8,12,8,19,12,8,15,14,11,13,15,10,12,14
Sheridan,8,14,10,8,8,4,6,6,2,3,3,5,4,3,6,4,4,2,2,2,0,2,0,1,2,0,2,2,5
Silver Bow,89,92,77,80,66,86,68,55,120,121,123,94,111,80,101,74,86,69,81,80,95,58,64,70,65,71,49,63,49
Stillwater,14,13,16,16,16,13,14,9,13,13,10,13,12,16,14,12,9,12,11,10,16,12,11,14,11,9,6,3,8
Sweet Grass,10,14,8,10,12,6,5,5,5,8,2,5,5,3,6,5,13,11,3,6,6,8,2,6,8,2,2,6,8
Teton,16,10,10,13,8,10,4,8,7,11,6,9,8,5,3,9,4,6,6,9,3,6,5,4,2,1,2,4,3
Toole,18,21,16,15,14,12,10,6,6,9,4,7,5,6,7,8,8,2,8,1,1,9,2,5,3,5,4,3,5
Treasure,2,3,5,2,2,2,2,2,0,3,3,1,2,1,4,0,3,1,0,0,0,0,2,3,1,0,0,0,1
Valley,42,28,26,25,11,21,15,14,15,17,12,11,9,14,8,17,7,11,10,9,13,8,7,7,6,5,4,4,7
Wheatland,10,7,4,4,8,3,3,0,6,5,4,1,8,4,4,7,8,2,0,2,4,0,2,3,3,1,1,1,0
Wibaux,0,4,5,0,1,0,1,1,0,4,2,3,0,0,1,0,2,1,0,3,4,1,0,0,0,0,1,1,2
Yellowstone,513,584,545,552,482,470,457,456,485,438,431,420,383,358,330,400,365,344,375,396,374,363,331,352,366,341,374,347,385
MONTANA UNKNOWN,0,0,8,7,0,2,0,0,0,2,20,15,28,14,43,15,28,37,19,23,17,12,20,9,14,25,45,15,4
MONTANA TOTAL,"3,127","3,205","3,065","2,894","2,712","2,627","2,293","2,150","2,588","2,570","2,376","2,417","2,269","2,289","2,223","2,297","2,316","2,145","2,131","2,118","2,063","2,034","1,979","2,061","1,981","1,930","1,977","1,916","1,946"
