county,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Adams,?,?,?,0,0,?,0,0,0,0,0,0,0,24,21,17,14,15,22
Antelope,?,?,?,0,0,?,0,0,0,0,0,0,0,?,?,?,?,?,?
Arthur,?,?,?,0,0,?,0,0,0,0,0,0,0,?,?,?,?,?,?
Banner,?,?,?,0,0,?,0,0,0,0,0,0,0,?,?,?,?,?,?
Blaine,?,?,?,0,0,?,0,0,0,0,0,0,0,?,?,?,?,?,?
Boone,?,?,?,0,0,?,0,0,0,0,0,0,0,?,?,?,?,?,?
Box Butte,?,?,?,0,0,?,0,0,0,0,0,0,0,?,?,?,?,?,?
Boyd,?,?,?,0,0,?,0,0,0,0,0,0,0,?,?,?,?,?,?
Brown,?,?,?,0,0,?,0,0,0,0,0,0,0,?,?,?,?,?,?
Buffalo,?,?,?,0,0,?,0,0,0,0,0,0,0,34,45,38,32,30,28
Burt,?,?,?,0,0,?,0,0,0,0,0,0,0,?,?,?,?,?,?
Butler,?,?,?,0,0,?,0,0,0,0,0,0,0,?,?,?,?,?,?
Cass,?,?,?,0,0,?,0,0,0,0,0,0,0,13,17,14,15,22,16
Cedar,?,?,?,0,0,?,0,0,0,0,0,0,0,?,?,?,?,?,?
Chase,?,?,?,0,0,?,0,0,0,0,0,0,0,?,?,?,?,?,?
Cherry,?,?,?,0,0,?,0,0,0,0,0,0,0,?,?,?,?,6,?
Cheyenne,?,?,?,0,0,?,0,0,0,0,0,0,0,?,?,?,?,?,?
Clay,?,?,?,0,0,?,0,0,0,0,0,0,0,6,5,?,?,?,?
Colfax,?,?,?,0,0,?,0,0,0,0,0,0,0,10,14,6,7,?,5
Cuming,?,?,?,0,0,?,0,0,0,0,0,0,0,?,?,6,?,?,?
Custer,?,?,?,0,0,?,0,0,0,0,0,0,0,?,?,?,7,?,?
Dakota,?,?,?,0,0,?,0,0,0,0,0,0,0,?,11,11,?,15,14
Dawes,?,?,?,0,0,?,0,0,0,0,0,0,0,?,?,?,?,?,?
Dawson,?,?,?,0,0,?,0,0,0,0,0,0,0,16,17,16,12,16,18
Deuel,?,?,?,0,0,?,0,0,0,0,0,0,0,?,?,?,?,?,?
Dixon,?,?,?,0,0,?,0,0,0,0,0,0,0,?,5,?,?,?,?
Dodge,?,?,?,0,0,?,0,0,0,0,0,0,0,15,21,17,15,24,24
Douglas,20,20,1,0,0,8,3,2,0,1,21,64,112,912,973,843,823,825,860
Dundy,?,?,?,0,0,?,0,0,0,0,0,0,0,?,?,?,?,?,?
Fillmore,?,?,?,0,0,?,0,0,0,0,0,0,0,?,?,?,?,5,5
Franklin,?,?,?,0,0,?,0,0,0,0,0,0,0,5,?,?,?,?,?
Frontier,?,?,?,0,0,?,0,0,0,0,0,0,0,?,?,?,?,?,?
Furnas,?,?,?,0,0,?,0,0,0,0,0,0,0,?,?,?,?,?,?
Gage,?,?,?,0,0,?,0,0,0,0,0,0,0,16,13,14,7,7,7
Garden,?,?,?,0,0,?,0,0,0,0,0,0,0,?,?,?,?,?,?
Garfield,?,?,?,0,0,?,0,0,0,0,0,0,0,?,?,?,?,?,?
Gosper,?,?,?,0,0,?,0,0,0,0,0,0,0,?,?,?,?,?,?
Grant,?,?,?,0,0,?,0,0,0,0,0,0,0,?,?,?,?,?,?
Greeley,?,?,?,0,0,?,0,0,0,0,0,0,0,?,?,?,?,?,?
Hall,?,?,?,0,0,?,0,0,0,0,0,0,0,68,59,56,61,61,70
Hamilton,?,?,?,0,0,?,0,0,0,0,0,0,0,6,5,?,?,?,5
Harlan,?,?,?,0,0,?,0,0,0,0,0,0,0,?,?,?,?,?,?
Hayes,?,?,?,0,0,?,0,0,0,0,0,0,0,?,?,?,?,?,?
Hitchcock,?,?,?,0,0,?,0,0,0,0,0,0,0,?,?,?,?,?,?
Holt,?,?,?,0,0,?,0,0,0,0,0,0,0,?,?,?,?,?,?
Hooker,?,?,?,0,0,?,0,0,0,0,0,0,0,?,?,?,?,?,?
Howard,?,?,?,0,0,?,0,0,0,0,0,0,0,5,?,?,?,?,?
Jefferson,?,?,?,0,0,?,0,0,0,0,0,0,0,?,?,?,?,?,?
Johnson,?,?,?,0,0,?,0,0,0,0,0,0,0,?,5,?,?,?,?
Kearney,?,?,?,0,0,?,0,0,0,0,0,0,0,?,6,?,?,?,?
Keith,?,?,?,0,0,?,0,0,0,0,0,0,0,?,?,?,?,?,?
Keya Paha,?,?,?,0,0,?,0,0,0,0,0,0,0,?,?,?,?,?,?
Kimball,?,?,?,0,0,?,0,0,0,0,0,0,0,?,?,?,?,?,?
Knox,?,?,?,0,0,?,0,0,0,0,0,0,0,?,?,8,?,?,?
Lancaster,4,2,1,0,2,0,3,4,2,0,70,6,133,465,421,381,357,335,384
Lincoln,?,?,?,0,0,?,0,0,0,0,0,0,0,19,11,7,8,9,8
Logan,?,?,?,0,0,?,0,0,0,0,0,0,0,?,?,?,?,?,?
Loup,?,?,?,0,0,?,0,0,0,0,0,0,0,?,?,?,?,?,?
Madison,?,?,?,0,0,?,0,0,0,0,0,0,0,26,19,14,19,20,19
McPherson,?,?,?,0,0,?,0,0,0,0,0,0,0,?,?,?,?,?,?
Merrick,?,?,?,0,0,?,0,0,0,0,0,0,0,?,?,?,?,?,?
Morrill,?,?,?,0,0,?,0,0,0,0,0,0,0,?,?,?,?,?,?
Nance,?,?,?,0,0,?,0,0,0,0,0,0,0,?,?,?,?,?,?
