county,reported 1999,est. (median) 1999,est. (range) 1999
Bernalillo,562,"2,910","2,597-3,698"
Catron,1,5,3-15
Chaves,25,105,84-149
Cibola,14,65,50-98
Colfax,9,45,25-75
Curry,12,55,41-85
DeBaca,1,3,2-10
Dona Ana,11,50,38-79
Eddy,10,45,34-72
Grant,6,25,17-43
Guadalupe,1,6,3-20
Harding,0,0,0-0
Hidalgo,0,2,0-10
Lea,9,40,30-65
Lincoln,5,30,22-58
Los Alamos,6,30,23-58
Luna,1,6,2-16
McKinley,23,110,83-150
Mora,4,16,10-29
Otero,5,35,21-56
Quay,6,25,17-46
Rio Arriba,25,120,97-172
Roosevelt,6,25,16-39
San Juan,12,65,49-101
San Miguel,20,85,67-124
Sandoval,64,360,306-481
Santa Fe,79,430,370-571
Sierra,6,35,19-56
Socorro,8,40,29-66
Taos,10,60,42-90
Torrance,13,65,49-97
Union,1,5,3-17
Valencia,41,200,164-271
NEW MEXICO UNKNOWN,"4,104",N/A,
NEW MEXICO TOTAL,"5,098","5,098",
