county,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Adams,0,1,0,0,1,0,2,0,1,1,1,0,1,0,0,0,1,3,2,0,2,2,0,1,0,1,0,1,0,0,1,1,1,1,1,0
Barnes,21,22,23,20,27,18,10,28,22,17,18,20,12,11,13,14,9,17,13,14,15,10,11,6,5,13,15,18,10,1,12,11,8,7,17,8
Benson,11,20,19,10,8,9,10,9,3,8,6,6,3,4,3,4,4,11,6,4,12,6,10,7,5,7,11,12,14,5,4,5,7,5,5,5
Billings,0,1,1,1,1,0,0,0,3,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,1,1,0,0,0,0
Bottineau,17,15,9,14,11,8,5,7,7,8,2,5,6,6,5,5,7,5,2,6,0,5,2,3,4,3,1,4,4,5,1,3,4,5,3,3
Bowman,0,4,0,2,1,5,1,2,3,0,1,3,1,0,1,0,0,0,1,1,0,1,2,0,0,1,0,1,2,1,2,3,0,1,0,1
Burke,4,7,2,1,6,5,1,2,0,2,0,1,0,0,0,0,0,1,0,1,1,0,1,1,2,1,2,2,1,4,0,1,3,0,1,1
Burleigh,148,163,140,135,130,121,96,121,112,108,98,108,107,104,107,97,118,74,80,85,98,84,98,86,71,111,90,99,95,115,99,84,91,95,93,97
Cass,358,371,377,349,300,339,340,305,274,284,268,279,264,274,235,233,278,255,225,274,252,284,289,251,284,311,283,275,278,298,271,282,277,318,291,301
Cavalier,12,9,8,8,4,8,0,3,2,2,1,4,2,1,3,2,1,3,1,1,1,1,2,1,2,0,0,2,2,0,2,0,2,0,1,3
Dickey,6,3,6,5,9,6,7,4,7,4,3,1,6,4,5,5,5,3,2,4,3,4,2,4,6,4,2,3,4,2,1,1,1,0,0,2
Divide,1,2,1,2,1,2,4,1,3,0,0,2,2,1,0,0,2,0,1,1,1,1,1,1,0,1,0,1,2,2,5,2,2,1,1,0
Dunn,6,7,4,2,5,5,2,2,4,2,0,3,3,3,0,2,0,2,1,0,1,1,2,2,0,0,3,2,5,3,3,3,3,2,2,1
Eddy,3,5,2,2,3,4,0,2,0,3,2,0,1,1,0,2,1,0,3,5,4,2,2,2,2,2,2,4,0,1,1,1,1,1,2,0
Emmons,2,4,3,5,3,5,8,2,4,3,2,2,1,1,0,3,0,0,1,0,1,0,0,0,1,0,3,3,1,1,1,2,1,0,0,1
Foster,5,8,4,6,3,7,5,4,2,3,3,4,4,4,3,4,7,3,1,2,3,2,4,5,1,1,1,1,0,1,0,5,4,2,2,3
Golden Valley,2,2,4,1,0,3,3,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,2,0,2,0,0,0,0,0,0
Grand Forks,306,304,298,273,268,227,194,201,200,183,164,146,166,136,120,154,137,129,120,105,110,133,149,125,124,136,113,118,100,111,99,95,106,107,89,85
Grant,2,5,2,1,2,0,1,2,0,0,1,0,0,3,1,1,0,2,1,3,0,2,0,2,0,0,1,0,2,1,0,2,3,1,2,0
Griggs,3,3,1,0,2,2,2,3,0,2,3,5,1,2,4,4,2,2,0,0,3,0,1,3,1,4,3,1,2,1,0,0,3,0,0,0
Hettinger,0,1,1,0,1,1,1,1,0,1,1,3,2,0,2,0,0,0,1,1,1,0,2,1,2,0,1,0,1,0,2,2,0,0,3,0
Kidder,2,4,4,2,5,2,3,1,3,0,1,2,3,1,1,2,0,0,1,2,0,0,2,0,1,0,0,1,2,0,0,0,0,0,1,0
Lamoure,2,3,3,3,3,2,9,2,1,5,4,1,5,1,0,4,1,1,7,2,2,3,5,1,2,1,0,2,0,1,1,1,1,2,1,2
Logan,2,0,2,0,0,2,1,0,0,2,2,2,4,1,1,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,1
McHenry,1,6,2,3,6,2,6,1,0,3,5,5,4,2,4,6,3,4,2,6,4,3,2,0,0,6,3,3,3,4,3,1,3,3,4,5
McIntosh,4,2,2,5,2,2,2,0,1,7,0,1,3,1,0,1,0,1,1,3,2,1,4,1,3,0,1,0,3,1,2,0,1,1,0,0
McKenzie,7,8,5,9,7,6,5,2,0,4,1,0,3,1,0,3,4,1,1,2,2,5,7,9,7,5,5,9,6,8,8,9,18,14,21,12
McLean,11,10,6,8,7,8,12,8,5,4,11,3,6,9,2,8,7,7,3,7,6,2,2,2,2,4,4,9,7,5,7,7,4,5,8,8
Mercer,16,19,15,7,6,7,8,10,5,4,2,4,8,5,3,7,5,0,4,4,3,3,3,2,5,9,3,4,9,11,6,11,5,5,5,7
Morton,28,40,33,26,36,33,24,24,23,30,30,24,28,26,29,25,30,36,25,20,35,22,36,24,23,40,28,27,28,27,21,33,27,40,33,39
Mountrail,11,16,7,7,15,9,6,13,10,12,10,8,9,12,6,10,8,10,7,10,9,8,11,10,12,10,12,15,17,18,13,22,10,10,11,22
Nelson,7,5,9,8,2,2,5,1,3,5,2,3,3,2,1,3,2,3,1,4,4,6,6,3,4,2,2,2,0,1,1,0,0,1,0,0
Oliver,4,1,4,3,1,1,0,1,1,1,1,0,1,0,1,2,1,1,0,0,0,1,0,0,0,2,2,3,3,2,3,3,0,1,0,0
Pembina,19,10,13,13,13,14,12,10,3,6,7,12,3,5,3,6,6,8,3,3,3,7,8,5,5,4,0,5,2,2,5,1,3,1,5,4
Pierce,7,10,7,5,8,4,5,4,2,3,5,3,5,4,3,5,2,4,2,2,2,0,3,2,3,4,7,2,4,4,4,2,1,1,2,0
Ramsey,32,38,39,31,38,27,24,19,23,18,17,21,10,19,14,22,16,15,12,14,18,19,12,11,7,13,16,19,22,15,10,17,11,17,9,12
Ransom,5,9,7,8,7,7,5,3,5,9,6,3,3,6,9,3,6,8,2,2,5,4,5,4,5,3,2,7,6,4,2,2,6,2,4,2
Renville,0,2,3,4,2,0,5,1,1,2,3,3,3,3,6,0,2,1,3,1,1,1,0,0,0,0,1,1,2,3,2,0,0,2,2,0
Richland,48,39,36,32,33,25,24,25,22,20,16,22,22,21,22,23,21,16,19,18,23,16,15,12,13,28,12,16,7,8,10,17,12,6,11,13
Rolette,22,18,9,22,19,9,11,13,16,10,12,17,15,10,15,14,12,18,18,15,15,15,21,18,6,17,19,15,12,16,15,13,9,15,18,13
Sargent,3,3,8,6,11,3,4,0,2,4,3,2,5,2,2,1,4,4,3,3,2,5,2,2,1,3,1,3,3,2,2,1,2,2,2,1
Sheridan,2,0,1,2,1,1,2,4,1,0,1,0,0,1,0,0,0,0,0,1,1,2,0,1,0,0,0,2,1,1,1,0,0,1,0,0
Sioux,2,3,5,6,12,7,3,5,4,3,6,3,9,7,7,4,6,7,5,4,8,15,16,5,8,7,11,8,9,4,4,5,3,3,7,5
Slope,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Stark,20,24,31,33,35,37,32,35,27,29,11,18,21,19,27,14,17,16,16,18,19,18,29,28,18,23,21,33,23,33,31,50,34,39,32,31
Steele,5,0,2,1,3,4,2,0,1,2,1,2,2,2,0,2,1,2,0,1,0,0,1,1,0,0,1,1,0,1,1,0,0,2,0,0
Stutsman,51,60,47,42,46,44,41,25,28,31,34,28,28,23,21,26,37,27,31,19,20,16,14,25,26,24,20,25,17,10,20,24,16,18,15,14
Towner,4,9,5,7,10,6,7,1,4,4,2,2,2,1,0,2,2,4,5,1,1,5,1,1,6,1,0,1,1,2,1,0,0,1,1,0
Traill,10,18,10,11,9,22,14,12,11,10,8,17,13,4,5,7,4,8,6,2,10,9,9,9,8,4,8,7,4,5,3,3,4,7,8,5
Walsh,25,28,29,23,23,29,17,12,17,20,21,16,9,15,16,7,13,11,6,8,11,13,13,11,6,7,5,13,9,11,6,7,10,4,7,5
Ward,132,131,139,133,145,125,102,114,103,117,103,104,97,87,109,93,84,92,84,75,84,94,94,69,90,85,85,83,90,128,80,107,86,93,90,92
Wells,8,15,14,15,9,4,6,4,1,4,2,2,7,1,3,3,0,1,0,3,3,1,5,2,4,2,1,1,4,2,0,4,4,2,4,1
Williams,35,38,50,41,40,23,16,15,14,15,8,15,13,16,12,12,16,13,14,19,21,14,15,18,16,15,30,21,26,33,23,37,34,42,40,35
NORTH DAKOTA TOTAL,"1,432","1,526","1,452","1,353","1,340","1,242","1,105","1,065",986,"1,017",910,935,928,862,824,847,883,829,743,778,823,848,919,777,795,918,831,888,843,917,791,881,822,886,854,841
