county,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Adams,22,23,47,33,41,36,36,28,24,22,16,15,18,15,22,28,14,16,20,22,17,11,18,15,10,11,17,13
Allen,175,156,187,187,206,202,207,184,176,165,153,166,159,190,206,153,121,129,173,191,146,142,90,78,98,93,105,98
Ashland,57,59,82,49,68,55,57,70,74,69,67,47,64,57,61,48,52,45,53,47,42,42,34,54,44,42,31,33
Ashtabula,415,360,382,332,356,384,264,233,195,222,228,228,214,216,187,208,185,149,200,175,157,149,147,129,108,110,116,121
Athens,88,69,183,141,142,135,196,149,163,131,113,119,121,123,111,100,112,101,112,109,83,89,79,66,82,74,77,44
Auglaize,51,57,51,62,59,51,61,52,51,54,47,39,47,37,34,42,32,36,28,28,28,22,32,23,24,25,19,24
Belmont,20,14,45,39,27,22,39,38,26,41,25,24,30,29,40,28,27,12,13,18,7,18,14,10,14,13,6,11
Brown,29,42,58,58,55,55,71,71,75,71,63,67,46,44,55,41,48,42,36,37,32,28,38,34,33,22,27,15
Butler,476,646,907,950,952,951,901,859,854,769,796,773,771,843,816,775,720,754,707,690,559,624,580,527,528,454,515,504
Carroll,27,34,29,39,21,36,33,35,36,40,38,35,32,34,23,25,35,32,34,23,28,24,21,25,24,20,15,25
Champaign,51,41,69,67,68,71,70,72,61,74,58,45,52,63,55,57,48,49,45,44,33,29,34,34,38,30,19,30
Clark,333,287,377,384,357,395,349,346,319,357,342,300,331,279,282,263,219,245,198,232,202,191,182,152,166,149,143,167
Clermont,116,201,282,315,292,263,408,405,429,395,385,344,326,326,317,293,289,321,293,258,233,269,233,213,195,202,201,176
Clinton,61,57,89,82,88,80,65,62,75,74,76,74,60,45,49,46,48,62,63,40,40,30,31,32,34,36,32,32
Columbiana,156,200,99,189,191,188,179,172,178,189,202,220,162,179,188,135,157,125,124,100,86,73,83,62,67,44,60,46
Coshocton,26,14,66,50,45,19,31,42,36,34,26,35,43,32,37,28,35,20,31,19,20,17,25,24,16,23,20,16
Crawford,30,24,63,62,38,56,66,78,70,74,58,58,45,55,48,42,33,41,46,32,33,30,32,32,35,34,47,37
Cuyahoga,"11,584","9,069","8,682","7,968","8,232","8,098","8,732","8,717","8,790","8,906","8,644","8,466","7,889","7,565","7,412","7,252","6,986","7,056","6,794","6,598","5,828","5,663","5,499","5,185","4,895","4,921","4,721","4,518"
Darke,66,59,61,68,49,83,67,51,54,44,45,61,47,47,32,48,44,36,28,32,27,36,21,22,25,25,24,25
Defiance,83,37,78,58,49,68,45,69,32,43,35,37,37,37,23,48,26,28,38,34,33,29,16,14,11,14,19,18
Delaware,56,17,97,102,131,139,149,149,117,178,130,142,169,171,207,188,174,135,140,144,164,155,145,141,149,132,149,118
Erie,281,248,271,210,176,233,213,201,216,220,227,209,183,170,209,147,160,139,157,161,101,151,161,96,111,123,131,121
Fairfield,99,35,159,133,147,115,194,186,193,184,179,185,184,204,208,184,205,155,157,163,149,163,144,136,141,149,118,136
Fayette,20,13,28,28,40,56,46,45,36,44,49,27,43,41,48,33,32,29,32,37,26,34,33,25,19,20,23,22
Franklin,"2,184",795,"2,870","3,493","3,385","3,395","4,276","4,143","4,056","4,764","4,645","4,290","4,684","4,678","4,601","4,683","4,381","3,526","3,604","3,448","3,529","3,771","3,448","3,376","3,333","3,158","3,258","3,056"
Fulton,129,89,92,69,86,78,56,62,75,48,52,43,36,41,49,42,39,41,28,35,42,35,23,11,18,27,28,21
Gallia,15,7,19,17,8,11,24,18,19,19,15,15,12,17,9,18,17,5,16,6,10,5,7,8,7,9,6,9
Geauga,131,144,129,140,123,126,137,144,148,161,135,152,121,139,128,131,113,106,104,94,89,89,92,69,63,69,78,75
