county,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Baker,52,41,31,20,6,7,11,7,10,13,7,13,10,14,4,6,6,13,6,2,6,3,3,8,7,5,3,4,4,5,4
Benton,302,278,305,251,269,249,256,257,245,207,193,211,202,127,153,129,156,146,144,124,149,187,145,130,127,112,92,89,101,115,111
Clackamas,"1,026","1,003","1,133",949,"1,034","1,051","1,076","1,107","1,194","1,114","1,111","1,147","1,137","1,064",978,933,936,926,926,895,768,752,726,706,611,643,596,654,721,677,572
Clatsop,125,141,139,135,123,145,138,132,128,112,96,100,90,88,86,81,72,81,88,70,78,83,62,57,61,67,61,76,67,64,42
Columbia,115,112,140,125,118,131,131,135,118,120,124,123,120,97,83,91,102,124,92,86,90,85,87,81,91,67,74,81,83,78,56
Coos,212,167,184,142,159,148,151,145,164,123,109,131,134,97,109,83,81,154,91,37,94,106,90,87,84,54,78,67,60,78,95
Crook,32,37,49,59,32,44,45,33,37,41,29,25,25,23,30,24,28,37,23,19,24,24,15,17,19,20,22,30,22,29,29
Curry,51,44,49,24,36,34,36,23,42,41,26,33,32,21,36,24,22,44,31,5,13,14,18,24,21,15,16,27,19,23,25
Deschutes,312,312,357,308,297,338,378,358,336,349,343,351,352,284,349,403,402,457,444,359,354,287,341,282,304,305,313,365,371,394,398
Douglas,260,237,244,217,216,232,250,200,241,187,214,201,205,174,191,140,117,127,138,59,175,181,160,149,130,109,122,129,93,129,147
Gilliam,3,5,5,1,2,1,3,1,4,2,8,2,3,4,2,5,3,3,1,2,0,1,1,0,2,2,0,0,1,1,1
Grant,16,11,13,14,14,9,7,9,13,9,9,6,6,4,5,4,5,5,5,2,5,4,6,5,6,6,5,5,2,2,0
Harney,16,12,17,12,10,16,14,9,11,8,7,11,14,10,10,7,6,11,6,6,9,4,8,8,4,5,5,6,11,10,6
Hood River,53,58,55,62,52,50,51,43,47,53,46,47,47,50,45,41,40,49,42,41,41,34,38,29,24,25,19,38,27,29,42
Jackson,566,588,539,330,331,336,286,269,458,492,483,482,512,462,500,514,446,555,536,439,448,520,458,386,356,336,400,371,314,403,420
Jefferson,49,36,59,41,48,65,48,53,50,40,38,36,33,44,38,41,31,42,38,37,37,29,36,25,29,34,30,39,41,22,37
Josephine,243,259,218,112,112,95,88,104,122,136,132,124,144,136,147,142,118,177,145,117,112,136,167,133,151,117,113,159,117,174,162
Klamath,219,171,186,187,195,154,150,149,143,153,158,136,128,139,123,115,119,100,86,96,82,99,113,96,88,64,72,72,62,95,94
Lake,12,14,14,10,9,10,10,6,8,9,10,7,5,3,6,7,9,9,6,4,3,4,12,5,6,7,8,14,4,6,7
Lane,"1,174","1,085","1,080",983,"1,089","1,236","1,291","1,250","1,348","1,212","1,244","1,163","1,159","1,107","1,063",797,621,699,837,517,920,929,838,791,737,692,709,710,620,742,759
Lincoln,141,147,181,142,150,129,132,149,137,150,147,118,123,108,120,103,98,106,98,83,97,92,76,90,81,55,83,62,68,74,69
Linn,261,246,227,260,266,232,264,258,239,241,212,226,224,196,203,167,163,204,181,153,174,183,162,165,141,122,134,164,158,138,160
Malheur,30,31,4,3,7,6,3,7,8,12,9,6,10,5,12,1,5,10,9,2,7,5,6,5,8,10,12,10,13,13,14
