county,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Abbeville,74,48,56,81,63,64,45,59,44,49,57,32,49,32,32,35,43,33,36,32,28,32,31,25,29,38,27,34,33
Aiken,462,469,445,436,347,387,319,323,160,316,369,369,406,391,349,370,438,413,440,348,233,199,190,189,220,410,359,387,373
Allendale,38,39,53,35,37,35,35,29,11,27,31,29,37,47,31,41,37,35,34,26,29,22,14,13,15,32,26,17,18
Anderson,462,394,328,393,404,425,426,415,447,427,374,361,371,360,355,369,371,347,336,282,300,298,253,250,265,297,328,303,291
Bamberg,77,81,78,60,53,38,54,48,41,39,40,41,48,30,30,42,70,50,25,30,39,27,21,30,23,31,39,36,46
Barnwell,77,64,66,77,50,59,46,57,53,40,49,50,62,44,58,60,78,52,54,42,33,47,45,59,35,79,71,65,68
Beaufort,486,494,476,415,389,382,343,404,264,351,420,394,421,456,409,418,503,459,494,389,414,320,240,160,290,358,301,375,367
Berkeley,525,512,553,588,476,416,422,476,398,459,411,406,427,440,400,446,457,480,459,474,443,441,421,426,433,475,480,509,563
Calhoun,49,46,35,40,39,38,37,32,26,21,33,19,37,39,32,37,43,35,17,41,32,32,17,22,25,26,21,20,26
Charleston,"2,064","1,884","1,868","1,766","1,568","1,402","1,457","1,318","1,237","1,270","1,221","1,254","1,314","1,435","1,386","1,304","1,346","1,393","1,187","1,185","1,105","1,049","1,041",946,988,"1,019","1,010",951,877
Cherokee,149,153,121,104,149,91,119,99,97,103,72,83,101,127,96,100,124,120,74,102,85,86,77,74,75,107,77,94,91
Chester,122,132,111,101,126,64,80,86,54,88,59,79,92,87,66,98,121,103,86,103,96,55,79,73,56,100,86,87,93
Chesterfield,76,70,76,55,84,55,73,48,49,60,45,45,60,64,51,85,102,94,54,96,97,73,75,58,62,104,74,76,76
Clarendon,96,100,66,86,62,45,49,62,55,50,48,50,78,62,62,43,60,67,48,63,59,53,29,39,42,61,56,56,55
