county,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aurora,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?
Beadle,12,12,17,?,12,12,15,?,13,11,16,12,?,11,?,?,?,?,?
Bennett,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?
Bon Homme,?,?,?,?,?,0,0,0,?,?,?,?,?,?,?,?,?,?,?
Brookings,31,40,25,36,26,31,37,29,27,31,41,22,27,21,33,27,16,26,14
Brown,18,20,17,15,20,14,?,14,24,14,20,15,15,15,?,10,?,15,?
Brule,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Buffalo,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?
Butte,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Campbell,?,?,?,?,?,0,0,0,0,0,0,?,?,?,?,?,?,?,?
Charles Mix,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Clark,?,?,?,?,?,?,?,?,0,0,?,?,?,?,?,?,?,?,?
Clay,17,18,20,14,11,20,13,10,?,?,12,?,?,10,17,?,14,?,11
Codington,26,20,12,18,15,16,?,15,21,17,16,13,17,10,?,12,?,10,?
Corson,?,?,?,?,?,0,0,0,?,0,0,?,?,?,?,?,?,?,?
Custer,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?
Davison,11,10,26,18,13,20,20,10,22,17,17,17,?,19,?,18,16,10,?
Day,?,?,?,?,?,0,?,?,?,?,0,?,?,?,?,?,?,?,?
Deuel,?,?,?,?,?,?,?,0,?,?,0,?,?,?,?,?,?,?,?
Dewey,?,?,?,?,?,?,?,?,?,?,?,?,10,?,?,?,?,?,?
Douglas,?,?,?,?,?,0,?,0,0,?,0,?,?,?,?,?,?,?,?
Edmunds,?,?,?,?,?,?,?,0,?,0,0,?,?,?,?,?,?,?,?
Fall River,?,?,?,?,?,?,?,?,0,0,?,?,?,?,?,?,?,?,?
Faulk,?,?,?,?,?,0,0,0,0,?,0,?,?,?,?,?,?,?,?
Grant,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?
Gregory,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?
Haakon,?,?,?,?,?,?,0,0,0,0,?,?,?,?,?,?,?,?,?
Hamlin,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?
Hand,?,?,?,?,?,?,0,?,?,0,?,?,?,?,?,?,?,?,?
Hanson,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?
Harding,?,?,?,?,?,0,0,0,0,?,0,?,?,?,?,?,?,?,?
Hughes,14,12,13,?,11,?,12,?,11,?,13,?,11,11,16,?,?,?,?
Hutchinson,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Hyde,?,?,?,?,?,0,0,0,?,0,?,?,?,?,?,?,?,?,?
Jackson,?,?,?,?,?,?,?,?,0,?,0,?,?,?,?,?,?,?,?
Jerauld,?,?,?,?,?,0,?,0,0,?,?,?,?,?,?,?,?,?,?
Jones,?,?,?,?,?,0,0,?,0,0,?,?,?,?,?,?,?,?,?
Kingsbury,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?
Lake,?,16,?,?,?,?,?,?,?,?,12,?,?,?,?,?,?,?,?
Lawrence,16,12,11,13,10,14,11,19,?,?,11,?,?,?,?,?,?,?,?
Lincoln,21,28,36,29,30,42,31,27,56,31,31,17,15,18,14,16,10,29,19
Lyman,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Marshall,?,?,?,?,?,?,?,0,?,0,?,?,?,?,?,?,?,?,?
McCook,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
McPherson,?,?,?,?,?,?,0,0,0,?,0,?,?,?,?,?,?,?,?
Meade,18,16,11,10,15,13,17,?,10,?,10,?,?,?,?,?,?,?,?
Mellette,?,?,?,?,?,0,0,?,0,?,0,?,?,?,?,?,?,?,?
Miner,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Minnehaha,260,286,260,279,259,253,273,277,286,292,241,226,255,258,251,204,237,218,154
Moody,11,14,?,?,?,?,10,?,?,?,?,?,?,?,?,?,?,?,?
Pennington,117,107,91,97,116,69,57,79,88,73,66,36,59,39,21,?,21,18,?
Perkins,?,?,?,?,?,0,0,0,0,?,?,?,?,?,?,?,?,?,?
Potter,?,?,?,?,?,?,?,0,0,?,0,?,?,?,?,?,?,?,?
Roberts,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?
Sanborn,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Shannon/Oglala Lakota,?,?,?,?,?,10,?,?,?,?,?,?,?,?,?,?,?,?,?
Spink,?,?,?,?,?,?,0,?,0,?,?,?,?,?,?,?,?,?,?
Stanley,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
