county,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Anderson,120,218,304,324,208,110,92,91,81,73,83,77,68,66,82,83,83,55,54,39,55,38,45,24
Andrews,10,13,9,24,25,24,18,21,19,16,15,13,16,22,20,17,21,18,11,17,14,12,8,10
Angelina,142,170,142,154,136,94,104,117,102,95,115,111,116,146,140,151,139,146,154,144,116,106,75,78
Aransas,54,85,87,81,58,54,61,68,45,43,49,51,55,34,41,54,48,62,54,17,39,29,7,21
Archer,9,9,16,13,7,14,6,4,5,16,8,7,6,15,9,8,7,8,6,8,3,8,4,1
Armstrong,3,5,3,3,0,2,4,6,7,7,13,5,13,0,3,3,5,0,1,1,2,1,0,0
Atascosa,72,67,52,83,72,63,80,107,89,83,75,79,86,89,81,111,83,98,73,83,63,61,54,76
Austin,33,42,32,39,42,49,47,64,42,50,61,56,45,56,409,142,89,60,60,51,36,42,35,32
Bailey,10,3,3,14,12,9,6,159,175,281,5,12,4,7,3,10,6,7,4,4,3,1,1,4
Bandera,26,37,32,36,36,34,26,22,28,24,26,26,28,31,28,19,27,35,27,17,19,22,11,18
Bastrop,87,123,109,100,124,112,96,150,257,185,166,137,116,115,100,108,126,126,115,146,135,110,107,105
Baylor,3,12,10,21,29,4,3,7,7,4,9,6,4,6,9,11,5,4,3,6,4,2,1,3
Bee,78,56,89,79,118,74,78,67,77,57,68,68,64,44,56,52,56,58,44,21,44,49,19,46
Bell,966,857,893,"1,005","1,095",936,893,912,759,"1,109",992,"1,023",972,891,906,832,968,"1,048","1,096","1,037","1,053",922,823,790
Bexar,"7,246","6,452","6,407","6,508","6,449","6,650","7,857","8,056","7,905","7,969","7,577","7,246","6,714","6,727","7,463","7,372","7,313","6,798","6,893","5,916","5,562","5,524","5,134","5,296"
Blanco,21,18,13,19,22,7,13,17,11,12,16,22,19,15,15,25,16,18,13,20,11,8,8,6
Borden,0,7,1,2,3,2,1,2,4,2,0,2,1,3,1,1,2,1,1,1,3,0,0,0
