county,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Beaver,1,0,3,1,2,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,3
Box Elder,21,19,36,26,21,27,32,24,19,22,21,26,29,29,37,31,27,33,32,14,26,28
Cache,71,84,80,79,76,62,68,81,62,70,71,80,76,79,97,74,67,73,92,74,73,80
Carbon,23,21,30,18,14,9,20,266,18,24,25,24,17,16,27,21,18,14,17,16,13,17
Daggett,1,0,2,0,0,0,1,0,1,1,2,0,0,1,0,0,0,2,0,1,1,0
Davis,268,256,265,243,281,264,242,311,288,258,291,285,240,271,278,239,229,205,213,217,230,217
Duchesne,7,6,9,10,7,8,11,4,9,8,11,13,8,5,18,12,10,12,10,12,7,4
Emery,3,4,5,1,3,2,5,6,6,1,3,3,4,6,6,6,2,1,2,3,8,1
Garfield,1,0,0,1,0,1,0,2,2,2,0,1,0,2,3,1,0,0,1,1,1,4
Grand,6,3,4,0,3,1,2,2,4,1,6,2,5,3,3,2,2,2,2,1,1,6
Iron,8,4,2,1,5,1,1,3,4,3,3,2,3,6,6,2,4,1,3,4,3,6
Juab,5,1,6,0,4,4,4,4,4,4,4,0,2,8,3,2,2,1,2,3,3,7
Kane,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Millard,3,6,6,4,7,8,5,5,3,4,1,4,2,5,4,4,3,5,5,4,3,3
Morgan,5,4,5,0,3,3,2,3,3,4,1,3,2,1,6,6,2,3,1,1,1,4
Piute,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0
Rich,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,2,1,3,3,0,1
Salt Lake,"2,149","2,091","2,129","2,032","2,149","2,294","2,162","2,142","2,190","2,104","2,174","2,232","2,262","2,052","2,169","1,898","1,929","1,815","1,689","1,834","1,666","1,569"
San Juan,0,4,0,0,1,0,0,1,2,0,0,1,1,0,1,0,1,2,0,2,2,0
Sanpete,7,6,7,11,7,5,14,14,6,10,7,7,12,7,12,14,8,7,3,10,8,8
Sevier,9,3,4,6,8,4,5,3,5,13,8,8,12,5,8,9,10,9,11,6,7,9
Summit,79,93,97,88,90,84,81,78,95,87,99,98,91,90,80,69,76,60,72,73,67,60
Tooele,51,40,49,55,47,58,73,72,67,90,58,58,59,46,57,68,52,50,49,48,44,49
Uintah,13,9,5,10,18,10,13,17,20,20,29,25,34,36,27,11,27,20,13,17,24,12
Utah,252,186,203,243,234,208,240,243,246,254,276,295,309,316,299,297,263,271,271,330,323,379
Wasatch,8,11,15,12,22,21,27,14,26,19,24,33,33,19,21,33,23,23,25,19,22,25
Washington,6,3,1,3,4,2,2,1,6,8,5,5,6,6,7,8,9,6,6,11,15,13
Wayne,1,1,0,0,0,4,1,1,2,1,1,2,2,0,1,3,1,2,0,1,2,1
Weber,295,285,273,316,273,290,287,280,289,271,324,303,299,260,273,269,251,275,245,279,257,251
UTAH TOTAL,"3,282","3,140","3,237","3,160","3,279","3,372","3,300","3,338","3,379","3,279","3,444","3,516","3,510","3,270","3,446","3,081","3,018","2,893","2,767","2,986","2,808","2,759"
