county,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Accomack,35,73,64,66,87,83,99,69,71,72,79,78,75,83,82,91,73,66,49,39,49,18,44,49
Albemarle,218,165,191,158,253,168,82,116,90,139,140,111,111,141,126,111,140,128,101,181,225,30,37,45
Alexandria (ind. city),"1,468","1,292","1,352","1,559","1,429","1,541","1,606","1,498","1,308","1,079","1,215",970,"1,324","1,533","1,343","1,176","1,136",968,881,783,740,722,692,643
Alleghany,16,32,26,25,17,4,4,13,7,8,11,6,12,9,7,7,3,8,7,7,7,8,7,6
Amelia,22,34,32,29,24,35,29,16,32,26,34,32,23,31,26,29,26,20,22,28,23,16,7,17
Amherst,94,80,105,103,76,83,60,63,61,64,62,69,51,50,46,56,56,56,46,30,46,23,18,22
Appomattox,31,31,29,28,31,24,20,28,27,22,23,27,19,11,28,20,16,13,25,12,12,15,6,11
Arlington,810,713,736,799,930,911,879,736,747,641,561,606,651,674,563,548,525,484,410,425,388,314,328,295
Augusta,91,110,132,134,96,81,55,72,38,50,75,84,64,74,88,61,54,65,62,65,42,10,11,15
Bath,8,5,12,12,7,7,9,14,7,6,9,11,6,10,11,4,6,7,7,7,11,1,5,3
Bedford,64,86,100,100,99,79,71,71,83,58,66,72,66,63,56,54,57,44,43,63,54,38,48,56
Bedford (ind. city),57,31,22,29,25,30,38,24,28,39,37,40,35,27,38,27,26,18,18,0,x,x,x,x
Bland,7,8,4,6,3,2,3,1,8,2,3,2,2,1,2,1,2,5,1,3,0,0,0,1
Botetourt,41,37,46,38,53,51,50,41,51,59,57,65,69,56,45,51,34,42,40,40,27,21,36,21
Bristol (ind. city),31,3,5,3,3,5,2,4,1,3,8,25,10,7,10,1,3,5,5,0,4,2,0,3
Brunswick,49,54,55,64,61,54,47,48,50,55,71,78,72,56,75,75,50,58,24,19,22,24,15,31
Buchanan,18,19,12,10,1,0,2,1,3,3,4,9,2,6,7,4,3,3,1,2,2,3,2,3
Buckingham,27,31,22,23,31,28,26,20,18,20,26,33,26,34,34,42,18,18,26,21,9,12,6,10
Buena Vista (ind. city),10,7,6,7,10,24,13,21,14,10,7,6,13,7,11,7,4,11,9,5,4,7,3,4
Campbell,119,105,89,96,130,113,84,107,80,77,89,111,77,61,73,66,52,46,38,33,37,23,17,29
Caroline,82,70,79,81,91,79,48,86,73,77,81,97,90,86,68,73,75,60,65,60,49,53,43,53
Carroll,47,36,43,30,20,11,16,19,14,14,18,15,17,26,12,18,6,11,7,10,4,1,2,4
Charles City,14,26,26,27,25,28,4,19,27,25,19,25,20,30,24,18,16,12,17,17,16,10,7,9
Charlotte,33,25,38,31,33,25,22,24,19,32,39,26,29,18,20,22,12,15,17,14,22,14,5,19
Charlottesville (ind. city),295,285,235,260,169,302,304,219,276,310,321,374,323,292,363,347,290,278,215,128,125,205,34,82
Chesapeake (ind. city),709,814,751,758,827,771,743,874,823,932,884,985,"1,015",949,931,903,868,732,783,685,631,636,678,664
Chesterfield,809,780,950,901,987,844,540,663,568,650,706,682,894,739,528,514,525,528,648,690,609,437,321,470
Clarke,20,20,17,14,17,16,13,7,7,9,7,6,6,9,11,16,7,8,5,4,6,3,3,5
Clifton Forge (ind. city),2,10,8,4,12,13,14,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Colonial Heights (ind. city),95,107,90,91,102,109,91,106,120,111,128,117,107,103,87,79,102,95,78,42,77,71,39,77
Covington (ind. city),18,9,15,17,15,18,19,13,15,19,21,21,17,23,12,12,16,17,22,14,14,11,6,13
Craig,6,7,5,7,3,5,7,2,9,2,8,3,3,5,2,3,2,3,1,4,0,4,3,3
Culpeper,104,92,91,89,95,87,102,84,89,77,119,99,115,133,130,125,129,109,93,79,80,69,44,57
Cumberland,15,22,15,32,20,30,18,17,17,22,26,24,16,13,18,16,12,6,9,13,6,10,5,5
Danville (ind. city),113,104,115,74,210,171,144,137,221,253,155,231,62,78,82,52,8,13,10,2,10,9,6,79
Dickenson,14,7,0,2,1,3,1,0,3,4,4,5,9,6,9,6,3,2,3,0,1,0,0,0
Dinwiddie,43,40,62,66,84,37,33,35,38,39,44,28,22,31,41,35,34,30,39,42,44,29,22,26
Emporia (ind. city),38,39,41,28,31,39,41,40,45,46,41,41,39,43,48,33,33,36,42,28,4,35,16,21
Essex,27,39,32,35,30,27,35,30,27,29,24,37,31,35,50,38,29,22,20,20,12,15,11,28
