county,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Adams,25,25,28,36,35,31,34,34,31,28,32,30,38,26,39,16,23,24,24,20
Asotin,55,43,40,43,47,43,56,47,43,48,45,49,42,53,46,40,38,34,14,27
Benton,469,439,437,447,431,454,499,435,463,417,457,418,415,414,385,340,314,329,348,346
Chelan,196,164,178,141,190,159,152,184,152,152,187,164,124,119,120,85,107,88,114,100
Clallam,176,170,158,169,174,163,163,144,170,145,168,165,142,124,152,125,121,125,121,112
Clark,"1,129","1,147","1,290","1,262","1,403","1,321","1,278","1,240","1,277","1,290","1,203","1,273","1,230","1,178","1,096",833,913,896,926,883
Columbia,9,7,12,6,8,9,6,4,0,8,4,6,5,3,5,2,0,6,4,4
Cowlitz,235,255,241,280,304,271,269,231,227,269,217,231,238,195,172,175,156,175,173,153
Douglas,55,53,59,60,64,44,60,62,59,70,95,52,74,62,60,52,38,45,31,26
Ferry,13,12,16,12,12,16,14,7,9,7,11,14,17,14,5,12,9,5,9,11
Franklin,146,165,165,160,137,167,221,179,186,196,192,206,190,229,211,164,201,139,151,160
Garfield,1,1,2,0,4,2,1,1,2,0,2,3,0,0,1,2,0,2,2,0
Grant,187,163,157,144,172,167,162,152,125,145,133,184,156,166,169,153,126,120,122,120
Grays Harbor,229,248,215,239,224,222,243,235,207,181,180,186,202,168,169,165,115,129,115,136
Island,207,210,199,238,218,226,213,209,201,190,193,186,188,170,139,167,117,121,133,133
Jefferson,91,85,76,86,76,70,68,55,57,52,62,79,43,66,53,52,55,60,43,40
King,"11,004","10,211","10,126","10,045","9,618","9,427","9,341","8,976","8,652","8,862","9,052","8,773","8,120","7,554","7,269","6,520","6,308","6,477","6,244","6,227"
Kitsap,914,783,913,831,928,903,833,835,789,800,786,669,728,643,649,588,539,518,557,525
Kittitas,152,120,148,127,142,115,113,134,99,108,112,124,109,112,93,82,69,74,75,76
Klickitat,26,43,44,38,44,27,35,22,22,34,29,24,28,20,34,22,20,19,21,23
Lewis,220,223,221,193,221,221,210,202,228,173,217,206,183,194,196,157,154,151,180,149
Lincoln,9,9,15,18,12,16,13,14,10,9,10,8,10,6,11,1,8,10,8,12
Mason,167,154,144,170,149,187,164,166,154,149,157,155,138,166,141,109,146,131,116,112
Okanogan,99,91,93,101,93,107,100,92,81,77,94,83,81,63,64,74,67,58,43,51
Pacific,41,47,46,51,41,46,41,50,44,47,36,47,35,37,33,28,23,24,26,23
Pend Oreille,23,23,21,29,27,28,20,8,15,21,16,19,15,20,23,10,18,8,14,12
Pierce,"3,945","3,626","3,838","3,894","3,944","3,847","3,729","3,665","3,709","3,852","3,791","3,855","3,564","3,263","3,112","2,833","2,794","2,785","2,701","2,704"
San Juan,26,45,47,49,27,32,33,44,37,35,45,38,31,11,18,17,14,22,27,30
Skagit,278,357,346,328,274,235,316,325,377,352,335,332,322,300,237,241,262,235,256,227
Skamania,18,19,12,20,16,10,16,12,14,15,17,10,14,10,6,14,9,5,14,12
Snohomish,"2,640","2,606","2,562","2,683","2,819","2,738","2,612","2,728","2,668","2,776","2,783","2,778","2,440","2,164","2,041","1,932","1,787","1,847","1,804","1,854"
Spokane,"1,460","1,407","1,389","1,460","1,598","1,568","1,385","1,476","1,406","1,517","1,373","1,311","1,219","1,122","1,073","1,038",979,"1,038",962,994
Stevens,65,51,50,51,65,75,60,66,71,67,60,68,55,46,56,48,43,39,50,42
Thurston,941,939,935,963,927,970,951,876,898,966,943,914,892,825,760,714,630,624,678,674
Wahkiakum,1,3,4,9,2,3,1,3,5,4,5,10,5,4,4,4,3,5,1,5
Walla Walla,133,159,159,129,116,123,98,138,107,162,139,126,121,106,98,103,91,81,92,89
Whatcom,655,577,610,653,506,422,625,579,616,654,616,588,527,534,496,489,415,428,402,390
Whitman,140,128,135,128,130,144,117,163,109,121,118,103,81,118,79,202,72,98,86,83
Yakima,862,802,814,763,790,827,828,757,834,781,805,780,794,756,698,611,612,572,513,503
WASHINGTON UNKNOWN,13,3,20,7,10,10,26,18,8,10,15,12,26,5,35,37,35,5,8,5
WASHINGTON TOTAL,"27,055","25,613","25,965","26,063","25,998","25,446","25,106","24,568","24,162","24,790","24,735","24,279","22,642","21,066","20,048","18,257","17,431","17,552","17,208","17,093"
