county,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Adams,28,27,25,32,25,23,20,23,16,22,14,20,17,15,14,12,18,12,14,6,13,9,5,10
Ashland,?,?,?,?,?,?,?,?,?,?,?,5,?,?,?,?,?,?,?,?,?,?,0,0
Barron,5,?,10,2,2,1,1,2,2,3,6,5,2,2,1,1,3,2,?,?,?,?,1,1
Bayfield,?,?,3,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,1
Brown,487,456,523,532,478,510,477,446,404,442,362,389,470,420,388,414,363,373,344,289,205,234,199,168
Buffalo,?,?,?,?,?,?,?,?,2,2,3,2,3,2,2,?,?,?,?,2,0,0,0,1
Burnett,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,0,0
Calumet,38,42,50,39,35,36,35,39,39,45,35,35,50,31,25,27,41,24,23,22,14,11,16,14
Chippewa,13,11,15,10,9,5,?,3,2,3,9,8,6,1,7,6,2,4,0,7,?,?,7,1
Clark,17,24,27,15,21,11,11,12,16,15,10,16,11,7,5,14,16,11,6,8,11,9,9,9
Columbia,99,93,82,86,98,78,88,78,95,83,67,80,76,70,63,85,64,55,53,60,49,45,50,63
Crawford,24,13,19,26,16,13,12,16,14,19,15,13,5,7,12,13,9,7,6,8,9,9,9,1
Dane,"1,688","1,773","1,800","1,802","1,503","1,468","1,372","1,440","1,436","1,434","1,307","1,378","1,218","1,176","1,176","1,011",993,937,887,765,772,748,777,860
Dodge,112,110,123,108,88,99,100,99,123,115,84,90,112,87,108,109,81,80,90,55,44,47,52,61
Door,31,31,28,42,38,35,37,22,29,32,14,31,16,20,36,18,17,11,10,15,14,22,13,11
Douglas,?,?,4,4,?,?,?,?,?,?,1,2,2,1,?,?,?,?,?,?,0,0,0,0
Dunn,?,16,4,4,6,5,3,3,5,3,2,5,1,5,2,3,3,0,?,?,?,?,1,1
Eau Claire,31,32,27,35,16,6,9,11,12,10,21,14,15,10,17,7,10,11,10,2,4,6,10,15
Florence,5,5,2,2,1,2,1,3,3,3,2,1,1,3,4,2,3,1,2,?,?,?,0,1
Fond du Lac,155,149,160,131,134,131,101,120,107,113,108,103,101,103,107,97,89,84,63,58,68,47,57,74
Forest,10,5,11,7,9,4,11,2,8,4,6,15,7,8,8,8,12,7,9,11,5,?,1,1
Grant,93,68,68,67,54,41,50,47,32,57,41,33,37,41,35,35,37,32,27,16,20,17,22,24
Green,50,58,62,57,39,44,42,40,47,51,38,29,51,31,39,26,24,27,26,33,22,19,28,22
Green Lake,24,28,23,30,29,22,21,19,22,21,20,29,16,16,12,19,10,14,16,12,11,10,11,11
Iowa,33,32,24,21,29,23,28,21,18,22,20,17,21,18,21,18,19,22,15,15,5,14,8,20
Iron,?,?,4,5,2,0,3,2,0,?,?,?,1,2,2,?,?,?,?,?,?,?,0,0
Jackson,29,23,24,29,12,11,9,14,7,16,22,15,15,18,17,11,16,11,8,4,3,11,12,7
Jefferson,130,126,121,125,139,114,113,109,95,115,102,93,114,82,87,82,81,66,64,65,60,60,55,53
Juneau,36,49,43,36,30,34,41,33,15,39,25,33,22,26,21,19,15,11,16,14,8,11,12,16
Kenosha,409,409,477,432,372,331,315,303,256,258,263,230,211,153,142,198,205,151,171,157,136,121,143,149
Kewaunee,14,16,16,16,6,9,14,11,10,13,6,17,18,8,13,19,18,8,13,13,7,8,9,10
La Crosse,223,240,240,209,120,105,76,85,98,87,93,85,85,84,95,85,65,67,66,44,35,52,39,53
Lafayette,20,28,14,17,15,10,7,10,21,14,10,10,11,8,10,9,6,9,8,5,5,2,10,9
Langlade,24,17,20,10,15,18,13,14,12,13,18,12,10,10,12,11,12,17,7,9,4,6,7,6
Lincoln,30,37,19,25,20,16,26,18,23,27,14,26,17,12,12,11,15,16,12,12,7,12,10,17
Manitowoc,106,113,125,89,110,102,115,109,83,94,73,75,86,76,76,86,64,81,51,56,46,35,39,43
Marathon,225,233,224,219,176,162,147,130,131,137,131,124,111,129,102,134,112,114,91,74,86,69,72,52
Marinette,51,43,54,57,35,42,39,44,47,40,39,35,47,38,30,34,36,30,21,16,18,18,15,16
Marquette,19,25,28,25,22,31,25,27,17,26,15,19,20,28,19,18,14,7,10,14,11,5,11,17
Menominee,6,?,16,6,11,21,13,16,14,8,6,8,6,8,8,9,14,5,9,10,9,12,9,8
Milwaukee,"4,927","4,424","4,993","4,889","4,541","4,238","4,527","4,513","4,307","4,194","4,061","3,925","3,874","3,266","3,160","3,424","2,999","2,763","2,667","2,591","2,448","2,366","2,330","2,347"
Monroe,47,37,46,47,43,48,26,32,34,34,33,38,38,34,29,41,39,26,25,15,14,24,24,21
Oconto,31,37,41,50,30,28,30,37,29,31,30,23,22,19,32,27,27,25,21,17,20,15,18,14
Oneida,39,59,53,42,43,25,37,34,41,30,34,33,27,29,26,20,30,28,24,21,13,20,13,10
Outagamie,234,276,326,336,273,289,283,262,285,271,248,245,233,251,238,256,237,251,213,171,185,153,120,136
Ozaukee,149,146,124,134,141,100,113,106,87,116,102,117,116,67,85,77,74,65,66,83,43,64,50,40
Pepin,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,0
Pierce,?,?,2,2,2,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,0
Polk,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,0,1
Portage,119,111,149,132,107,98,112,80,81,93,103,108,89,60,78,81,87,76,80,60,47,52,53,48
Price,12,10,12,12,5,6,3,3,8,3,7,2,5,2,1,4,3,5,1,0,?,?,1,1
Racine,536,462,482,490,476,447,419,457,377,423,399,369,363,278,305,289,297,239,291,244,197,159,205,176
Richland,24,20,22,23,18,22,14,31,17,29,24,18,16,17,15,20,11,11,12,6,5,6,15,12
Rock,320,360,307,307,244,196,177,156,156,148,193,175,125,135,132,117,105,116,145,136,137,161,160,156
Rusk,5,?,2,7,2,2,1,2,1,2,1,2,1,2,0,?,?,?,?,?,?,?,1,0
Saint Croix,?,?,2,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,1
Sauk,123,107,112,84,84,92,103,99,117,97,88,95,80,99,100,96,79,81,76,76,76,54,39,50
Sawyer,?,6,2,2,?,?,?,?,?,?,1,2,2,1,?,?,?,?,?,?,?,?,1,1
Shawano,54,39,45,40,50,41,36,45,46,42,31,30,28,38,38,49,43,35,34,33,28,23,14,16
Sheboygan,184,150,203,196,188,169,196,160,188,143,152,124,146,127,82,126,98,98,100,95,55,83,71,81
Taylor,16,17,13,13,8,4,6,10,2,3,6,7,9,10,8,10,5,6,4,2,5,?,1,1
Trempealeau,20,21,27,15,12,6,10,7,8,10,10,6,11,9,7,9,11,6,9,7,1,5,8,1
Vernon,25,36,37,32,17,21,19,16,12,17,26,16,22,15,16,15,17,21,10,9,11,8,6,6
Vilas,29,20,29,30,27,19,17,20,17,28,25,16,18,12,20,17,24,22,16,10,7,6,8,12
Walworth,227,182,195,202,177,141,128,139,123,135,119,115,111,112,98,106,89,85,72,95,94,96,85,77
Washburn,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,1
Washington,189,184,214,169,152,173,158,158,144,149,137,149,152,116,109,138,139,117,105,93,72,90,92,79
Waukesha,687,556,597,575,520,503,511,528,534,522,499,470,481,375,354,391,365,319,300,338,215,172,238,283
Waupaca,56,60,79,62,65,70,55,57,48,51,52,48,45,35,29,32,37,32,30,30,36,27,29,23
Waushara,23,23,29,19,22,18,20,29,19,25,18,21,20,10,22,17,13,19,16,14,11,14,6,10
Winnebago,284,320,302,312,241,286,259,279,283,259,247,247,240,172,218,230,202,206,173,174,167,129,116,123
Wood,114,113,130,95,116,89,89,64,70,81,67,54,59,50,75,51,63,54,47,52,42,52,37,59
PROTECTED,51,24,18,2,3,8,5,8,10,5,4,9,7,2,3,5,10,6,7,2,10,13,8,28
WISCONSIN TOTAL,"12,790","12,132","13,108","12,675","11,322","10,703","10,729","10,703","10,305","10,327","9,719","9,566","9,352","8,099","8,008","8,299","7,591","7,019","6,692","6,251","5,640","5,461","5,472","5,640"
