"state","county","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","2017","2018","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1975","2019"
"AL","Autauga","107","95","111","83","108","87","105","67","91","104","72","80","93","71","87","83","75","54","74",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Baldwin","209","183","164","187","158","133","148","116","113","74","83","124","104","103","91","94","114","78","59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Barbour","52","63","53","67","56","58","43","34","27","35","43","47","39","25","14","15","14","9","38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Bibb","30","28","32","17","25","30","34","32","28","25","33","29","19","16","14","21","17","13","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Blount","56","66","61","55","47","51","38","48","44","40","48","49","44","46","44","30","33","25","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Bullock","36","33","26","43","34","40","40","31","32","21","30","16","23","22","16","24","17","17","24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Butler","34","41","50","44","38","28","39","36","23","25","34","32","23","25","22","26","26","25","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Calhoun","336","313","279","296","217","240","252","191","164","196","213","205","241","198","184","142","78","56","168",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Chambers","68","75","75","99","78","78","46","39","46","20","50","46","22","38","26","19","12","4","58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Cherokee","21","22","25","24","24","23","18","12","10","14","12","12","14","13","8","6","3","7","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Chilton","45","57","59","52","59","65","60","55","62","48","49","47","53","38","33","30","38","23","34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Choctaw","27","28","21","30","23","31","31","22","24","25","16","22","19","20","11","15","18","18","25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Clarke","43","52","40","52","43","35","40","42","32","33","34","34","32","38","26","29","29","18","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Clay","12","10","16","14","19","10","14","8","8","8","3","4","14","12","7","8","6","6","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Cleburne","17","17","14","16","14","26","13","17","3","8","5","18","9","13","11","3","6","1","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Coffee","70","71","72","74","70","57","64","64","77","61","60","54","48","32","43","31","21","25","36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Colbert","76","102","87","74","54","57","69","65","74","81","70","64","66","68","56","68","58","34","42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Conecuh","22","11","15","24","13","9","9","15","10","13","12","15","12","5","14","9","8","6","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Coosa","28","28","19","24","11","14","11","12","11","17","9","17","7","6","8","2","6","7","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Covington","36","43","39","32","16","34","30","22","30","28","25","20","26","12","19","15","10","9","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Crenshaw","20","21","23","21","22","14","17","23","27","13","23","21","16","19","16","15","11","7","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Cullman","88","69","59","75","73","67","63","65","72","63","66","60","73","40","60","66","57","56","49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Dale","92","78","65","83","84","104","68","72","53","56","58","59","51","55","42","34","25","27","28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Dallas","96","121","135","107","96","87","99","96","106","98","104","114","107","93","87","88","96","77","91",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Dekalb","77","72","66","66","66","45","56","61","52","61","49","51","37","42","30","30","24","17","35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Elmore","133","174","155","128","148","113","126","150","126","126","138","121","114","106","104","96","82","73","86",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Escambia","30","33","32","32","32","15","16","20","21","26","11","21","22","14","18","16","7","12","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Etowah","238","195","237","220","201","189","181","174","151","193","180","153","132","136","146","110","107","76","101",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Fayette","30","25","21","23","26","25","21","18","24","19","12","18","20","16","22","9","15","16","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Franklin","30","34","36","40","19","22","19","25","25","30","26","18","18","29","15","20","20","12","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Geneva","18","20","24","15","14","24","18","11","12","10","21","10","16","13","8","6","9","7","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Greene","49","31","37","29","39","31","38","32","37","29","44","41","24","26","24","22","27","15","26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Hale","46","57","57","46","34","44","49","33","40","53","39","53","37","43","51","37","46","24","35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Henry","28","22","24","27","16","24","24","23","13","22","19","16","19","17","19","10","11","4","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Houston","176","168","153","156","151","118","137","125","107","96","119","116","105","78","71","56","59","45","84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Jackson","65","65","64","43","66","59","49","23","32","37","53","40","44","34","42","34","32","24","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Jefferson","2,805","2,701","2,750","2,767","2,706","2,582","2,656","2,559","2,439","2,447","2,393","2,183","2,281","2,219","2,023","1,854","1,698","1,347","1,719",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Lamar","12","11","20","27","24","16","12","15","18","12","16","22","13","10","12","9","7","6","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Lauderdale","119","127","127","125","90","108","89","125","100","103","115","100","105","107","104","77","75","54","73",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Lawrence","51","37","54","55","45","30","38","25","33","46","42","30","44","32","29","35","30","27","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Lee","433","389","377","444","344","340","273","272","242","232","318","249","193","203","141","130","66","63","305",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Limestone","72","88","79","102","60","62","81","81","80","114","108","106","75","87","98","104","86","67","106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Lowndes","51","36","49","41","35","40","41","39","44","24","32","33","31","23","23","34","24","18","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Macon","131","141","134","141","148","108","104","97","91","101","95","100","71","56","55","57","52","35","55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Madison","837","851","845","853","731","644","799","904","831","907","969","907","871","802","828","790","802","619","661",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Marengo","52","53","44","48","56","52","42","37","34","39","35","31","46","29","41","37","39","25","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Marion","42","33","42","19","25","24","36","36","22","20","26","26","25","23","23","25","14","11","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Marshall","147","174","140","147","114","94","102","113","132","138","97","111","83","99","88","76","85","51","67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Mobile","1,353","1,318","1,363","1,344","984","908","902","832","839","662","626","873","818","818","739","646","649","391","336",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Monroe","32","30","38","39","18","22","28","20","25","27","31","16","17","11","16","15","12","7","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Montgomery","1,051","1,101","1,038","1,078","1,026","963","950","864","897","882","940","872","834","715","647","656","517","470","673",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Morgan","218","251","225","196","182","151","161","173","192","178","150","163","133","141","177","154","150","122","134",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
