"GEOID","NAME","Women","White","Black","Native.American","Asian","Hispanic","College.Grad","Median.Income"
"01001","Autauga County, Alabama",28172,42311,10196,226,444,1416,36466,53099
"01003","Baldwin County, Alabama",102139,172441,18594,1355,1338,8712,139946,51365
"01005","Barbour County, Alabama",12375,12430,12756,46,129,1147,18387,33956
"01007","Bibb County, Alabama",10488,17370,4788,81,14,502,15750,39776
"01009","Blount County, Alabama",29132,55073,905,201,92,5036,39472,46212
"01011","Bullock County, Alabama",4833,2301,7967,84,84,13,7333,29335
"01013","Butler County, Alabama",10758,10876,8875,15,203,253,13949,34315
"01015","Calhoun County, Alabama",60141,86777,23791,382,1079,3982,78661,41954
"01017","Chambers County, Alabama",17719,19417,13779,78,312,148,23854,36027
"01019","Cherokee County, Alabama",13014,24156,1209,152,109,405,18694,38925
"01021","Chilton County, Alabama",22258,36740,4418,134,191,3341,29735,42594
"01023","Choctaw County, Alabama",6938,7495,5658,2,6,74,9448,32622
"01025","Clarke County, Alabama",13109,13253,11304,8,114,43,17022,32735
"01027","Clay County, Alabama",6951,11177,1993,124,0,419,9446,38815
"01029","Cleburne County, Alabama",7568,14176,354,21,86,349,10366,36316
"01031","Coffee County, Alabama",25781,38945,8766,421,623,3344,34614,47872
"01033","Colbert County, Alabama",28106,43379,8532,328,255,1306,38271,43786
"01035","Conecuh County, Alabama",6669,6593,5880,19,14,224,8808,27609
"01037","Coosa County, Alabama",5509,7204,3516,8,0,140,7907,31910
"01039","Covington County, Alabama",19510,31881,4945,130,176,578,26492,37313
"01041","Crenshaw County, Alabama",7033,9935,3312,123,232,234,9551,37557
"01043","Cullman County, Alabama",41116,77946,899,425,497,3426,56323,39297
"01045","Dale County, Alabama",25164,36921,9756,295,508,2921,33363,44093
"01047","Dallas County, Alabama",22298,11884,28798,91,163,397,27038,28136
"01049","DeKalb County, Alabama",35803,61858,1082,979,214,9942,47440,38248
"01051","Elmore County, Alabama",41610,61018,17296,210,457,2268,54950,53398
"01053","Escambia County, Alabama",18485,23453,12267,1317,40,780,25762,32334
"01055","Etowah County, Alabama",53356,84024,15931,475,699,3752,71696,40478
"01057","Fayette County, Alabama",8472,14371,2104,0,45,144,11806,36205
"01059","Franklin County, Alabama",16020,28133,1427,313,102,5057,20928,36138
"01061","Geneva County, Alabama",13693,23235,2570,126,103,992,18805,36519
"01063","Greene County, Alabama",4495,1472,6977,35,14,53,5965,21339
"01065","Hale County, Alabama",8038,6062,8843,49,16,183,10229,33351
"01067","Henry County, Alabama",8886,12113,4793,0,0,435,12221,41045
"01069","Houston County, Alabama",54109,72332,27680,427,866,3311,70773,41945
"01071","Jackson County, Alabama",26845,47949,1733,448,196,1435,37119,38422
"01073","Jefferson County, Alabama",347125,345499,280248,1467,9932,24316,446097,47220
"01075","Lamar County, Alabama",7253,12315,1584,42,0,201,9998,34298
"01077","Lauderdale County, Alabama",48380,80627,9126,371,629,2217,63148,43657
"01079","Lawrence County, Alabama",17161,26108,3800,1653,31,691,23427,42339
"01081","Lee County, Alabama",77920,107682,35770,203,5576,5681,90099,45056
"01083","Limestone County, Alabama",45111,73517,11502,581,1125,5135,62036,51115
"01085","Lowndes County, Alabama",5520,2612,7886,8,0,50,7165,27914
"01087","Macon County, Alabama",10612,3106,16162,65,44,324,12414,32390
"01089","Madison County, Alabama",178888,240861,84657,2094,8574,16362,236871,60150
"01091","Marengo County, Alabama",10633,9167,10587,50,43,190,13679,30713
"01093","Marion County, Alabama",15281,28242,1012,115,98,726,21538,34074
"01095","Marshall County, Alabama",47937,87423,1981,567,556,12210,63366,39831
"01097","Mobile County, Alabama",215994,246794,146306,2568,8140,10957,274893,44263
"01099","Monroe County, Alabama",11453,12065,9405,251,50,136,14893,28182
"01101","Montgomery County, Alabama",119652,85928,129205,388,5109,7530,150072,45358
"01103","Morgan County, Alabama",60706,97880,14557,849,802,9339,82033,46883
"01105","Perry County, Alabama",5185,2962,6760,4,18,94,5941,24912
"01107","Pickens County, Alabama",10165,11254,8387,24,12,486,14084,31679
"01109","Pike County, Alabama",17412,19408,12514,215,704,730,19618,33193
"01111","Randolph County, Alabama",11590,17452,4429,74,51,661,15599,37496
"01113","Russell County, Alabama",30117,30392,24789,216,435,2974,38568,38400
"01115","St. Clair County, Alabama",43078,75738,8156,265,741,1961,60054,54042
"01117","Shelby County, Alabama",105853,167257,23898,446,4088,11861,139017,72310
"01119","Sumter County, Alabama",7150,3280,9523,41,375,39,8278,20428
"01121","Talladega County, Alabama",41715,52390,25996,253,442,1752,55993,37923
"01123","Tallapoosa County, Alabama",21563,28778,11248,144,208,988,28910,39395
"01125","Tuscaloosa County, Alabama",104799,132344,62793,287,3044,6666,123155,48022
"01127","Walker County, Alabama",33649,59932,3791,36,302,1483,45633,37025
"01129","Washington County, Alabama",8520,11082,4189,1341,110,219,11524,40293
"01131","Wilcox County, Alabama",5757,3050,8000,7,0,62,7441,24442
"01133","Winston County, Alabama",12199,23191,98,166,84,700,17274,33896
"02013","Aleutians East Borough, Alaska",1154,630,231,1119,974,331,2545,65926
"02016","Aleutians West Census Area, Alaska",2136,1763,315,745,2086,790,4153,86964
"02020","Anchorage Municipality, Alaska",146640,192329,16938,20963,26756,26091,191431,80862
"02050","Bethel Census Area, Alaska",8527,1976,135,14651,161,359,9503,53296
"02060","Bristol Bay Borough, Alaska",406,525,3,302,11,46,649,88000
"02068","Denali Borough, Alaska",983,1817,21,66,72,17,1503,81302
"02070","Dillingham Census Area, Alaska",2416,893,12,3596,108,147,2824,56055
"02090","Fairbanks North Star Borough, Alaska",46376,76617,4183,6547,3037,7486,61221,73831
"02100","Haines Borough, Alaska",1099,1970,1,123,85,41,1847,53125
"02105","Hoonah-Angoon Census Area, Alaska",1023,1070,77,678,48,105,1579,54091
"02110","Juneau City and Borough, Alaska",15876,22575,381,4009,2332,2048,22288,87436
"02122","Kenai Peninsula Borough, Alaska",27534,48208,345,4338,761,2214,39538,64891
"02130","Ketchikan Gateway Borough, Alaska",6677,9264,68,1834,1037,634,9428,64162
"02150","Kodiak Island Borough, Alaska",6580,7516,20,1908,3048,1211,8998,73068
"02158","Kusilvak Census Area, Alaska",3734,312,46,7128,31,107,3773,38160
"02164","Lake and Peninsula Borough, Alaska",691,300,11,976,40,29,835,43864
"02170","Matanuska-Susitna Borough, Alaska",47184,82571,1042,5100,1316,4463,62756,73908
"02180","Nome Census Area, Alaska",4562,1623,75,7174,127,212,5406,51563
"02185","North Slope Borough, Alaska",3567,3150,57,5022,584,371,6318,72027
"02188","Northwest Arctic Borough, Alaska",3542,890,43,6350,61,163,4042,61341
