"","GEOID","NAME","Women","White","Black","Native.American","Asian","Hispanic","College.Grad","Median.Income","state","county","state.abb","percentdem2008"
"1",1001,"Autauga County, Alabama",28172,42311,10196,226,444,1416,36466,53099,"Alabama","Autauga","AL",0.257730214457933
"2",1003,"Baldwin County, Alabama",102139,172441,18594,1355,1338,8712,139946,51365,"Alabama","Baldwin","AL",0.238119219289303
"3",1005,"Barbour County, Alabama",12375,12430,12756,46,129,1147,18387,33956,"Alabama","Barbour","AL",0.489853826311264
"4",1007,"Bibb County, Alabama",10488,17370,4788,81,14,502,15750,39776,"Alabama","Bibb","AL",0.265964831096714
"5",1009,"Blount County, Alabama",29132,55073,905,201,92,5036,39472,46212,"Alabama","Blount","AL",0.145135369019656
"6",1011,"Bullock County, Alabama",4833,2301,7967,84,84,13,7333,29335,"Alabama","Bullock","AL",0.740720221606648
"7",1013,"Butler County, Alabama",10758,10876,8875,15,203,253,13949,34315,"Alabama","Butler","AL",0.431352353486456
"8",1015,"Calhoun County, Alabama",60141,86777,23791,382,1079,3982,78661,41954,"Alabama","Calhoun","AL",0.331708703951911
"9",1017,"Chambers County, Alabama",17719,19417,13779,78,312,148,23854,36027,"Alabama","Chambers","AL",0.454600160470714
"10",1019,"Cherokee County, Alabama",13014,24156,1209,152,109,405,18694,38925,"Alabama","Cherokee","AL",0.236634171369933
"11",1021,"Chilton County, Alabama",22258,36740,4418,134,191,3341,29735,42594,"Alabama","Chilton","AL",0.20657857745291
"12",1023,"Choctaw County, Alabama",6938,7495,5658,2,6,74,9448,32622,"Alabama","Choctaw","AL",0.460602989612364
"13",1025,"Clarke County, Alabama",13109,13253,11304,8,114,43,17022,32735,"Alabama","Clarke","AL",0.440193524376628
"14",1027,"Clay County, Alabama",6951,11177,1993,124,0,419,9446,38815,"Alabama","Clay","AL",0.258102361050007
"15",1029,"Cleburne County, Alabama",7568,14176,354,21,86,349,10366,36316,"Alabama","Cleburne","AL",0.179913739987677
"16",1031,"Coffee County, Alabama",25781,38945,8766,421,623,3344,34614,47872,"Alabama","Coffee","AL",0.252335055643879
"17",1033,"Colbert County, Alabama",28106,43379,8532,328,255,1306,38271,43786,"Alabama","Colbert","AL",0.390572797166204
"18",1035,"Conecuh County, Alabama",6669,6593,5880,19,14,224,8808,27609,"Alabama","Conecuh","AL",0.493878726775169
"19",1037,"Coosa County, Alabama",5509,7204,3516,8,0,140,7907,31910,"Alabama","Coosa","AL",0.408592486068668
"20",1039,"Covington County, Alabama",19510,31881,4945,130,176,578,26492,37313,"Alabama","Covington","AL",0.205232153037309
"21",1041,"Crenshaw County, Alabama",7033,9935,3312,123,232,234,9551,37557,"Alabama","Crenshaw","AL",0.308059132093467
"22",1043,"Cullman County, Alabama",41116,77946,899,425,497,3426,56323,39297,"Alabama","Cullman","AL",0.166095453901714
"23",1045,"Dale County, Alabama",25164,36921,9756,295,508,2921,33363,44093,"Alabama","Dale","AL",0.272774327122153
"24",1047,"Dallas County, Alabama",22298,11884,28798,91,163,397,27038,28136,"Alabama","Dallas","AL",0.67072702858239
"25",1049,"DeKalb County, Alabama",35803,61858,1082,979,214,9942,47440,38248,"Alabama","DeKalb","AL",0.235602748282324
"26",1051,"Elmore County, Alabama",41610,61018,17296,210,457,2268,54950,53398,"Alabama","Elmore","AL",0.241905872067609
"27",1053,"Escambia County, Alabama",18485,23453,12267,1317,40,780,25762,32334,"Alabama","Escambia","AL",0.353550497478533
"28",1055,"Etowah County, Alabama",53356,84024,15931,475,699,3752,71696,40478,"Alabama","Etowah","AL",0.301696582247357
"29",1057,"Fayette County, Alabama",8472,14371,2104,0,45,144,11806,36205,"Alabama","Fayette","AL",0.250596958652759
"30",1059,"Franklin County, Alabama",16020,28133,1427,313,102,5057,20928,36138,"Alabama","Franklin","AL",0.296673223295989
"31",1061,"Geneva County, Alabama",13693,23235,2570,126,103,992,18805,36519,"Alabama","Geneva","AL",0.183065968945698
"32",1063,"Greene County, Alabama",4495,1472,6977,35,14,53,5965,21339,"Alabama","Greene","AL",0.830914231856739
"33",1065,"Hale County, Alabama",8038,6062,8843,49,16,183,10229,33351,"Alabama","Hale","AL",0.606525444363282
"34",1067,"Henry County, Alabama",8886,12113,4793,0,0,435,12221,41045,"Alabama","Henry","AL",0.348982423681776
"35",1069,"Houston County, Alabama",54109,72332,27680,427,866,3311,70773,41945,"Alabama","Houston","AL",0.292919611836588
"36",1071,"Jackson County, Alabama",26845,47949,1733,448,196,1435,37119,38422,"Alabama","Jackson","AL",0.305355945194979
"37",1073,"Jefferson County, Alabama",347125,345499,280248,1467,9932,24316,446097,47220,"Alabama","Jefferson","AL",0.521533699187502
"38",1075,"Lamar County, Alabama",7253,12315,1584,42,0,201,9998,34298,"Alabama","Lamar","AL",0.228127208480565
"39",1077,"Lauderdale County, Alabama",48380,80627,9126,371,629,2217,63148,43657,"Alabama","Lauderdale","AL",0.349805794667227
"40",1079,"Lawrence County, Alabama",17161,26108,3800,1653,31,691,23427,42339,"Alabama","Lawrence","AL",0.351771117166213
"41",1081,"Lee County, Alabama",77920,107682,35770,203,5576,5681,90099,45056,"Alabama","Lee","AL",0.395729406350667
"42",1083,"Limestone County, Alabama",45111,73517,11502,581,1125,5135,62036,51115,"Alabama","Limestone","AL",0.284224017167894
"43",1085,"Lowndes County, Alabama",5520,2612,7886,8,0,50,7165,27914,"Alabama","Lowndes","AL",0.74869469634515
"44",1087,"Macon County, Alabama",10612,3106,16162,65,44,324,12414,32390,"Alabama","Macon","AL",0.868805736875977
"45",1089,"Madison County, Alabama",178888,240861,84657,2094,8574,16362,236871,60150,"Alabama","Madison","AL",0.419342180131983
"46",1091,"Marengo County, Alabama",10633,9167,10587,50,43,190,13679,30713,"Alabama","Marengo","AL",0.516607096155523
"47",1093,"Marion County, Alabama",15281,28242,1012,115,98,726,21538,34074,"Alabama","Marion","AL",0.210441116956698
"48",1095,"Marshall County, Alabama",47937,87423,1981,567,556,12210,63366,39831,"Alabama","Marshall","AL",0.212205270457698
"49",1097,"Mobile County, Alabama",215994,246794,146306,2568,8140,10957,274893,44263,"Alabama","Mobile","AL",0.452977555339977
"50",1099,"Monroe County, Alabama",11453,12065,9405,251,50,136,14893,28182,"Alabama","Monroe","AL",0.446587273373622
"51",1101,"Montgomery County, Alabama",119652,85928,129205,388,5109,7530,150072,45358,"Alabama","Montgomery","AL",0.59350982881911
"52",1103,"Morgan County, Alabama",60706,97880,14557,849,802,9339,82033,46883,"Alabama","Morgan","AL",0.274919868624115
"53",1105,"Perry County, Alabama",5185,2962,6760,4,18,94,5941,24912,"Alabama","Perry","AL",0.723656437733398
"54",1107,"Pickens County, Alabama",10165,11254,8387,24,12,486,14084,31679,"Alabama","Pickens","AL",0.456342505215059
"55",1109,"Pike County, Alabama",17412,19408,12514,215,704,730,19618,33193,"Alabama","Pike","AL",0.421282694374776
"56",1111,"Randolph County, Alabama",11590,17452,4429,74,51,661,15599,37496,"Alabama","Randolph","AL",0.295069337442219
"57",1113,"Russell County, Alabama",30117,30392,24789,216,435,2974,38568,38400,"Alabama","Russell","AL",0.533174729051018
"58",1115,"St. Clair County, Alabama",43078,75738,8156,265,741,1961,60054,54042,"Alabama","St. Clair","AL",0.178684581084253
"59",1117,"Shelby County, Alabama",105853,167257,23898,446,4088,11861,139017,72310,"Alabama","Shelby","AL",0.227541012543715
"60",1119,"Sumter County, Alabama",7150,3280,9523,41,375,39,8278,20428,"Alabama","Sumter","AL",0.74985754985755
"61",1121,"Talladega County, Alabama",41715,52390,25996,253,442,1752,55993,37923,"Alabama","Talladega","AL",0.402847620161385
"62",1123,"Tallapoosa County, Alabama",21563,28778,11248,144,208,988,28910,39395,"Alabama","Tallapoosa","AL",0.313966133291906
"63",1125,"Tuscaloosa County, Alabama",104799,132344,62793,287,3044,6666,123155,48022,"Alabama","Tuscaloosa","AL",0.415602189781022
"64",1127,"Walker County, Alabama",33649,59932,3791,36,302,1483,45633,37025,"Alabama","Walker","AL",0.258969705430685
"65",1129,"Washington County, Alabama",8520,11082,4189,1341,110,219,11524,40293,"Alabama","Washington","AL",0.34951566951567
"66",1131,"Wilcox County, Alabama",5757,3050,8000,7,0,62,7441,24442,"Alabama","Wilcox","AL",0.710194025254081
"67",1133,"Winston County, Alabama",12199,23191,98,166,84,700,17274,33896,"Alabama","Winston","AL",0.175157013258897
"68",2013,"Aleutians East Borough, Alaska",1154,630,231,1119,974,331,2545,65926,"Alaska","Aleutians East Borough","AK",NA
"69",2016,"Aleutians West Census Area, Alaska",2136,1763,315,745,2086,790,4153,86964,"Alaska","Aleutians West Census Area","AK",NA
"70",2020,"Anchorage Municipality, Alaska",146640,192329,16938,20963,26756,26091,191431,80862,"Alaska","Anchorage Municipality","AK",NA
"71",2050,"Bethel Census Area, Alaska",8527,1976,135,14651,161,359,9503,53296,"Alaska","Bethel Census Area","AK",NA
"72",2060,"Bristol Bay Borough, Alaska",406,525,3,302,11,46,649,88000,"Alaska","Bristol Bay Borough","AK",NA
"73",2068,"Denali Borough, Alaska",983,1817,21,66,72,17,1503,81302,"Alaska","Denali Borough","AK",NA
"74",2070,"Dillingham Census Area, Alaska",2416,893,12,3596,108,147,2824,56055,"Alaska","Dillingham Census Area","AK",NA
"75",2090,"Fairbanks North Star Borough, Alaska",46376,76617,4183,6547,3037,7486,61221,73831,"Alaska","Fairbanks North Star Borough","AK",NA
"76",2100,"Haines Borough, Alaska",1099,1970,1,123,85,41,1847,53125,"Alaska","Haines Borough","AK",NA
"77",2105,"Hoonah-Angoon Census Area, Alaska",1023,1070,77,678,48,105,1579,54091,"Alaska","Hoonah-Angoon Census Area","AK",NA
"78",2110,"Juneau City and Borough, Alaska",15876,22575,381,4009,2332,2048,22288,87436,"Alaska","Juneau city and Borough","AK",NA
"79",2122,"Kenai Peninsula Borough, Alaska",27534,48208,345,4338,761,2214,39538,64891,"Alaska","Kenai Peninsula Borough","AK",NA
"80",2130,"Ketchikan Gateway Borough, Alaska",6677,9264,68,1834,1037,634,9428,64162,"Alaska","Ketchikan Gateway Borough","AK",NA
"81",2150,"Kodiak Island Borough, Alaska",6580,7516,20,1908,3048,1211,8998,73068,"Alaska","Kodiak Island Borough","AK",NA
"82",2158,"Kusilvak Census Area, Alaska",3734,312,46,7128,31,107,3773,38160,"Alaska","Kusilvak Census Area","AK",NA
"83",2164,"Lake and Peninsula Borough, Alaska",691,300,11,976,40,29,835,43864,"Alaska","Lake and Peninsula Borough","AK",NA
"84",2170,"Matanuska-Susitna Borough, Alaska",47184,82571,1042,5100,1316,4463,62756,73908,"Alaska","Matanuska-Susitna Borough","AK",NA
"85",2180,"Nome Census Area, Alaska",4562,1623,75,7174,127,212,5406,51563,"Alaska","Nome Census Area","AK",NA
"86",2185,"North Slope Borough, Alaska",3567,3150,57,5022,584,371,6318,72027,"Alaska","North Slope Borough","AK",NA
"87",2188,"Northwest Arctic Borough, Alaska",3542,890,43,6350,61,163,4042,61341,"Alaska","Northwest Arctic Borough","AK",NA
"88",2195,"Petersburg Borough, Alaska",1484,2391,75,241,143,331,2115,63940,"Alaska","Petersburg Borough","AK",NA
"89",2198,"Prince of Wales-Hyder Census Area, Alaska",2930,2941,13,2650,69,221,4325,51887,"Alaska","Prince of Wales-Hyder Census Area","AK",NA
"90",2220,"Sitka City and Borough, Alaska",4357,5744,195,1206,616,556,6296,70160,"Alaska","Sitka city and Borough","AK",NA
"91",2230,"Skagway Municipality, Alaska",473,815,11,59,76,64,807,64853,"Alaska","Skagway Municipality","AK",NA
"92",2240,"Southeast Fairbanks Census Area, Alaska",3094,5444,98,768,124,353,4495,63713,"Alaska","Southeast Fairbanks Census Area","AK",NA
"93",2261,"Valdez-Cordova Census Area, Alaska",4457,7023,12,1420,353,444,6265,82511,"Alaska","Valdez-Cordova Census Area","AK",NA
"94",2275,"Wrangell City and Borough, Alaska",1183,1621,7,462,83,72,1767,52986,"Alaska","Wrangell city and Borough","AK",NA
"95",2282,"Yakutat City and Borough, Alaska",300,290,7,201,38,18,451,66875,"Alaska","Yakutat city and Borough","AK",NA
"96",2290,"Yukon-Koyukuk Census Area, Alaska",2574,1250,21,3938,41,107,3541,38451,"Alaska","Yukon-Koyukuk Census Area","AK",NA
"97",4001,"Apache County, Arizona",36606,16307,361,52978,259,4303,43657,32460,"Arizona","Apache","AZ",0.634325282334515
"98",4003,"Cochise County, Arizona",62896,106136,5076,1496,2250,44097,88171,45383,"Arizona","Cochise","AZ",0.388017206063089
"99",4005,"Coconino County, Arizona",69835,87335,2136,37054,2430,18930,80322,51106,"Arizona","Coconino","AZ",0.578407919917562
"100",4007,"Gila County, Arizona",26747,41812,332,8249,418,9864,38557,40593,"Arizona","Gila","AZ",0.353020194331259
"101",4009,"Graham County, Arizona",17381,29600,741,4941,265,12046,22996,47422,"Arizona","Graham","AZ",0.290413925210294
"102",4011,"Greenlee County, Arizona",4319,8333,175,351,51,4290,5772,51813,"Arizona","Greenlee","AZ",0.39993134225884
"103",4012,"La Paz County, Arizona",9938,15274,77,2683,148,5316,15369,36321,"Arizona","La Paz","AZ",0.347442363112392
"104",4013,"Maricopa County, Arizona",2066732,3214001,216064,77142,157074,1238292,2672410,55676,"Arizona","Maricopa","AZ",0.441159534111572
"105",4015,"Mohave County, Arizona",101156,182395,2100,4332,2551,31987,151909,39856,"Arizona","Mohave","AZ",0.326780563567783
"106",4017,"Navajo County, Arizona",53938,51614,905,47599,659,11957,68065,36868,"Arizona","Navajo","AZ",0.435167597765363
"107",4019,"Pima County, Arizona",509770,775748,35337,32542,27297,362265,662883,46764,"Arizona","Pima","AZ",0.524248401232246
"108",4021,"Pinal County, Arizona",190133,317989,18223,20889,6974,116072,269816,51190,"Arizona","Pinal","AZ",0.42193682484292
"109",4023,"Santa Cruz County, Arizona",24263,39587,194,177,357,38736,28782,38941,"Arizona","Santa Cruz","AZ",0.652709915056754
"110",4025,"Yavapai County, Arizona",111681,201048,1159,3998,1874,30722,165655,46638,"Arizona","Yavapai","AZ",0.370193079640334
"111",4027,"Yuma County, Arizona",99076,147979,4230,2301,2622,125972,126271,41467,"Arizona","Yuma","AZ",0.42551874355153
"112",5001,"Arkansas County, Arkansas",9771,13483,4892,11,1,556,12745,37330,"Arkansas","Arkansas","AR",0.375322441960447
"113",5003,"Ashley County, Arkansas",10804,15049,5440,43,0,1080,14337,36352,"Arkansas","Ashley","AR",0.344364730386485
"114",5005,"Baxter County, Arkansas",21144,39668,101,218,227,836,31435,38115,"Arkansas","Baxter","AR",0.32726089785296
"115",5007,"Benton County, Arkansas",123738,216485,3634,3376,8713,39405,158777,59016,"Arkansas","Benton","AR",0.306692256122409
"116",5009,"Boone County, Arkansas",19016,36003,129,284,191,859,26136,38664,"Arkansas","Boone","AR",0.286609797078971
"117",5011,"Bradley County, Arkansas",5611,6833,3239,157,0,1573,7582,34665,"Arkansas","Bradley","AR",0.415738678544915
"118",5013,"Calhoun County, Arkansas",2531,3992,1140,6,11,198,3704,35446,"Arkansas","Calhoun","AR",0.311682453766351
"119",5015,"Carroll County, Arkansas",14051,25856,318,172,245,4021,19478,38145,"Arkansas","Carroll","AR",0.394366197183099
"120",5017,"Chicot County, Arkansas",5737,4778,6070,47,46,578,7728,29628,"Arkansas","Chicot","AR",0.584293394777266
"121",5019,"Clark County, Arkansas",11915,16387,5348,39,174,1013,13141,35595,"Arkansas","Clark","AR",0.46921046844073
"122",5021,"Clay County, Arkansas",7712,14632,76,62,26,275,10812,32404,"Arkansas","Clay","AR",0.407185628742515
"123",5023,"Cleburne County, Arkansas",12856,24850,143,103,147,615,18821,41717,"Arkansas","Cleburne","AR",0.260275180807903
"124",5025,"Cleveland County, Arkansas",4205,7299,885,19,9,189,5760,42429,"Arkansas","Cleveland","AR",0.259914407988588
"125",5027,"Columbia County, Arkansas",12654,14506,8420,76,256,619,15040,36507,"Arkansas","Columbia","AR",0.371835111948106
"126",5029,"Conway County, Arkansas",10754,17959,2490,112,16,790,14516,38266,"Arkansas","Conway","AR",0.386950110592283
"127",5031,"Craighead County, Arkansas",52756,83094,14233,657,1222,4856,65447,43892,"Arkansas","Craighead","AR",0.364699044174632
"128",5033,"Crawford County, Arkansas",31481,55876,825,1248,1086,4328,41418,41792,"Arkansas","Crawford","AR",0.255113968439509
"129",5035,"Crittenden County, Arkansas",26129,22338,25110,87,324,1151,31056,39407,"Arkansas","Crittenden","AR",0.565872363735963
"130",5037,"Cross County, Arkansas",8950,12940,4033,27,52,322,11608,39306,"Arkansas","Cross","AR",0.361851332398317
"131",5039,"Dallas County, Arkansas",3990,4256,3179,4,138,229,5399,35745,"Arkansas","Dallas","AR",0.44333936106088
"132",5041,"Desha County, Arkansas",6626,5993,5837,24,14,642,8010,26519,"Arkansas","Desha","AR",0.549166310389055
"133",5043,"Drew County, Arkansas",9654,12728,5369,16,23,551,11575,33092,"Arkansas","Drew","AR",0.39304084720121
"134",5045,"Faulkner County, Arkansas",61364,100659,13464,483,1498,4754,72992,50872,"Arkansas","Faulkner","AR",0.363170548094903
"135",5047,"Franklin County, Arkansas",9004,16789,164,423,64,501,12041,39482,"Arkansas","Franklin","AR",0.288648648648649
"136",5049,"Fulton County, Arkansas",6155,11760,9,91,18,158,8909,35593,"Arkansas","Fulton","AR",0.389007698887938
"137",5051,"Garland County, Arkansas",50244,83060,7959,708,691,5064,69592,40011,"Arkansas","Garland","AR",0.36366339577758
"138",5053,"Grant County, Arkansas",9179,16935,788,56,33,168,12376,49195,"Arkansas","Grant","AR",0.229942587958192
"139",5055,"Greene County, Arkansas",22187,41969,411,161,59,1144,29009,42755,"Arkansas","Greene","AR",0.333602703496915
"140",5057,"Hempstead County, Arkansas",11555,13986,6737,39,1,2782,14775,34072,"Arkansas","Hempstead","AR",0.390393250782419
"141",5059,"Hot Spring County, Arkansas",16208,28677,3770,118,85,1093,23482,42589,"Arkansas","Hot Spring","AR",0.358678377248013
"142",5061,"Howard County, Arkansas",6994,9094,2839,68,21,1538,9063,34672,"Arkansas","Howard","AR",0.360297152290549
"143",5063,"Independence County, Arkansas",19035,34268,722,143,318,2221,25007,37592,"Arkansas","Independence","AR",0.299861777380275
"144",5065,"Izard County, Arkansas",6481,13044,166,32,21,254,10025,35188,"Arkansas","Izard","AR",0.343426600229973
"145",5067,"Jackson County, Arkansas",8916,13874,2997,62,25,469,12561,31245,"Arkansas","Jackson","AR",0.395378000716589
"146",5069,"Jefferson County, Arkansas",36759,29613,40617,105,579,1369,48054,36377,"Arkansas","Jefferson","AR",0.621947522651487
"147",5071,"Johnson County, Arkansas",13097,24004,460,90,363,3474,17050,34031,"Arkansas","Johnson","AR",0.370904645476773
"148",5073,"Lafayette County, Arkansas",3629,4291,2763,0,31,71,5074,29882,"Arkansas","Lafayette","AR",0.390420399724328
"149",5075,"Lawrence County, Arkansas",8605,16436,122,119,14,209,11438,33381,"Arkansas","Lawrence","AR",0.36672384219554
"150",5077,"Lee County, Arkansas",4206,4090,5615,21,6,144,6939,25724,"Arkansas","Lee","AR",0.601381876162636
"151",5079,"Lincoln County, Arkansas",5313,9275,4337,66,0,501,10073,32369,"Arkansas","Lincoln","AR",0.388107126645483
"152",5081,"Little River County, Arkansas",6350,9285,2644,150,0,404,8921,35396,"Arkansas","Little River","AR",0.340256211180124
"153",5083,"Logan County, Arkansas",10974,20421,381,183,479,593,15278,36463,"Arkansas","Logan","AR",0.289110914379664
"154",5085,"Lonoke County, Arkansas",36203,63610,4201,331,537,2895,46472,56156,"Arkansas","Lonoke","AR",0.251379470114991
"155",5087,"Madison County, Arkansas",7843,14951,110,129,66,827,10820,39839,"Arkansas","Madison","AR",0.338811630847029
"156",5089,"Marion County, Arkansas",8299,15848,59,127,54,344,12503,33726,"Arkansas","Marion","AR",0.332867913990505
"157",5091,"Miller County, Arkansas",22089,31082,10991,283,57,1266,29461,39955,"Arkansas","Miller","AR",0.323242381995618
"158",5093,"Mississippi County, Arkansas",22719,27013,15404,33,91,1725,28100,35003,"Arkansas","Mississippi","AR",0.47587437544611
"159",5095,"Monroe County, Arkansas",4033,4226,3081,7,31,181,5247,31541,"Arkansas","Monroe","AR",0.468251667149899
"160",5097,"Montgomery County, Arkansas",4571,8434,53,205,82,355,6746,35103,"Arkansas","Montgomery","AR",0.301490889011596
"161",5099,"Nevada County, Arkansas",4179,5547,2945,19,114,26,6017,30750,"Arkansas","Nevada","AR",0.405502063273728
"162",5101,"Newton County, Arkansas",3975,7631,0,90,39,86,5893,33176,"Arkansas","Newton","AR",0.298484848484848
"163",5103,"Ouachita County, Arkansas",13081,14168,10072,47,16,494,17182,31233,"Arkansas","Ouachita","AR",0.436345381526104
"164",5105,"Perry County, Arkansas",5142,9547,275,30,11,243,7171,45819,"Arkansas","Perry","AR",0.315961673288151
