"Notes"	"State"	"State Code"	"County"	"County Code"	Deaths	Births	Death Rate
	"Alabama"	"01"	"Jefferson County, AL"	"01073"	102	8894	11.47
	"Alabama"	"01"	"Madison County, AL"	"01089"	28	4195	6.67
	"Alabama"	"01"	"Mobile County, AL"	"01097"	42	5707	7.36
	"Alabama"	"01"	"Unidentified Counties, AL"	"01999"	352	41254	8.53
	"Alaska"	"02"	"Anchorage Borough, AK"	"02020"	19	4575	4.15 (Unreliable)
	"Alaska"	"02"	"Unidentified Counties, AK"	"02999"	22	6896	3.19
	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	318	54348	5.85
	"Arizona"	"04"	"Pima County, AZ"	"04019"	74	12184	6.07
	"Arizona"	"04"	"Pinal County, AZ"	"04021"	Missing County	Missing County	Missing County
	"Arizona"	"04"	"Unidentified Counties, AZ"	"04999"	127	20945	6.06
	"Arkansas"	"05"	"Pulaski County, AR"	"05119"	33	5763	5.73
	"Arkansas"	"05"	"Unidentified Counties, AR"	"05999"	246	32777	7.51
	"California"	"06"	"Alameda County, CA"	"06001"	96	19306	4.97
	"California"	"06"	"Contra Costa County, CA"	"06013"	54	12358	4.37
	"California"	"06"	"Fresno County, CA"	"06019"	113	16283	6.94
	"California"	"06"	"Kern County, CA"	"06029"	65	14419	4.51
	"California"	"06"	"Los Angeles County, CA"	"06037"	609	133252	4.57
	"California"	"06"	"Marin County, CA"	"06041"	Missing County	Missing County	Missing County
	"California"	"06"	"Merced County, CA"	"06047"	Missing County	Missing County	Missing County
	"California"	"06"	"Monterey County, CA"	"06053"	29	6765	4.29
	"California"	"06"	"Orange County, CA"	"06059"	142	38250	3.71
	"California"	"06"	"Placer County, CA"	"06061"	Missing County	Missing County	Missing County
	"California"	"06"	"Riverside County, CA"	"06065"	158	30670	5.15
	"California"	"06"	"Sacramento County, CA"	"06067"	107	20056	5.34
	"California"	"06"	"San Bernardino County, CA"	"06071"	180	31368	5.74
	"California"	"06"	"San Diego County, CA"	"06073"	194	44867	4.32
	"California"	"06"	"San Francisco County, CA"	"06075"	29	8806	3.29
	"California"	"06"	"San Joaquin County, CA"	"06077"	64	10596	6.04
	"California"	"06"	"San Luis Obispo County, CA"	"06079"	Missing County	Missing County	Missing County
	"California"	"06"	"San Mateo County, CA"	"06081"	29	9194	3.15
	"California"	"06"	"Santa Barbara County, CA"	"06083"	27	5821	4.64
	"California"	"06"	"Santa Clara County, CA"	"06085"	68	23940	2.84
	"California"	"06"	"Santa Cruz County, CA"	"06087"	Suppressed	3192	Suppressed
	"California"	"06"	"Solano County, CA"	"06095"	28	5050	5.54
	"California"	"06"	"Sonoma County, CA"	"06097"	40	5393	7.42
	"California"	"06"	"Stanislaus County, CA"	"06099"	42	7806	5.38
	"California"	"06"	"Tulare County, CA"	"06107"	43	8155	5.27
	"California"	"06"	"Ventura County, CA"	"06111"	60	11150	5.38
	"California"	"06"	"Unidentified Counties, CA"	"06999"	231	43501	5.31
	"Colorado"	"08"	"Adams County, CO"	"08001"	34	6786	5.01
	"Colorado"	"08"	"Arapahoe County, CO"	"08005"	51	7512	6.79
	"Colorado"	"08"	"Boulder County, CO"	"08013"	21	3059	6.86
	"Colorado"	"08"	"Denver County, CO"	"08031"	66	10375	6.36
	"Colorado"	"08"	"Douglas County, CO"	"08035"	Missing County	Missing County	Missing County
	"Colorado"	"08"	"El Paso County, CO"	"08041"	62	9159	6.77
	"Colorado"	"08"	"Jefferson County, CO"	"08059"	29	5637	5.14
	"Colorado"	"08"	"Larimer County, CO"	"08069"	17	3351	5.07 (Unreliable)
	"Colorado"	"08"	"Weld County, CO"	"08123"	Missing County	Missing County	Missing County
	"Colorado"	"08"	"Unidentified Counties, CO"	"08999"	111	20476	5.42
	"Connecticut"	"09"	"Fairfield County, CT"	"09001"	53	10540	5.03
	"Connecticut"	"09"	"Hartford County, CT"	"09003"	54	9736	5.55
	"Connecticut"	"09"	"New Haven County, CT"	"09009"	56	9223	6.07
	"Connecticut"	"09"	"New London County, CT"	"09011"	11	2757	3.99 (Unreliable)
	"Connecticut"	"09"	"Unidentified Counties, CT"	"09999"	25	5452	4.59
	"Delaware"	"10"	"New Castle County, DE"	"10003"	57	6867	8.30
	"Delaware"	"10"	"Unidentified Counties, DE"	"10999"	28	4497	6.23
	"District of Columbia"	"11"	"District of Columbia, DC"	"11001"	70	9165	7.64
	"Florida"	"12"	"Brevard County, FL"	"12009"	31	4967	6.24
	"Florida"	"12"	"Broward County, FL"	"12011"	133	21349	6.23
	"Florida"	"12"	"Collier County, FL"	"12021"	19	3339	5.69 (Unreliable)
	"Florida"	"12"	"Duval County, FL"	"12031"	99	12618	7.85
	"Florida"	"12"	"Escambia County, FL"	"12033"	41	3925	10.45
	"Florida"	"12"	"Hillsborough County, FL"	"12057"	121	16412	7.37
	"Florida"	"12"	"Lake County, FL"	"12069"	Missing County	Missing County	Missing County
	"Florida"	"12"	"Lee County, FL"	"12071"	31	6321	4.90
	"Florida"	"12"	"Leon County, FL"	"12073"	Missing County	Missing County	Missing County
	"Florida"	"12"	"Manatee County, FL"	"12081"	22	3348	6.57
	"Florida"	"12"	"Marion County, FL"	"12083"	32	3402	9.41
	"Florida"	"12"	"Miami-Dade County, FL"	"12086"	138	31353	4.40
	"Florida"	"12"	"Orange County, FL"	"12095"	119	15191	7.83
	"Florida"	"12"	"Osceola County, FL"	"12097"	Missing County	Missing County	Missing County
	"Florida"	"12"	"Palm Beach County, FL"	"12099"	76	13834	5.49
	"Florida"	"12"	"Pasco County, FL"	"12101"	32	4801	6.67
