"Notes"	"State"	"State Code"	"County"	"County Code"	Deaths	Population	Crude Rate	% of Total Deaths
	"Alabama"	"01"	"Autauga County, AL"	"01001"	Suppressed	54571	Suppressed	Suppressed
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	Suppressed	182265	Suppressed	Suppressed
	"Alabama"	"01"	"Barbour County, AL"	"01005"	Suppressed	27457	Suppressed	Suppressed
	"Alabama"	"01"	"Bibb County, AL"	"01007"	Suppressed	22915	Suppressed	Suppressed
	"Alabama"	"01"	"Blount County, AL"	"01009"	Suppressed	57322	Suppressed	Suppressed
	"Alabama"	"01"	"Bullock County, AL"	"01011"	Suppressed	10914	Suppressed	Suppressed
	"Alabama"	"01"	"Butler County, AL"	"01013"	Suppressed	20947	Suppressed	Suppressed
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	Suppressed	118572	Suppressed	Suppressed
	"Alabama"	"01"	"Chambers County, AL"	"01017"	Suppressed	34215	Suppressed	Suppressed
	"Alabama"	"01"	"Cherokee County, AL"	"01019"	Suppressed	25989	Suppressed	Suppressed
	"Alabama"	"01"	"Chilton County, AL"	"01021"	Suppressed	43643	Suppressed	Suppressed
	"Alabama"	"01"	"Choctaw County, AL"	"01023"	Suppressed	13859	Suppressed	Suppressed
	"Alabama"	"01"	"Clarke County, AL"	"01025"	Suppressed	25833	Suppressed	Suppressed
	"Alabama"	"01"	"Clay County, AL"	"01027"	Suppressed	13932	Suppressed	Suppressed
	"Alabama"	"01"	"Cleburne County, AL"	"01029"	Suppressed	14972	Suppressed	Suppressed
	"Alabama"	"01"	"Coffee County, AL"	"01031"	Suppressed	49948	Suppressed	Suppressed
	"Alabama"	"01"	"Colbert County, AL"	"01033"	Suppressed	54428	Suppressed	Suppressed
	"Alabama"	"01"	"Conecuh County, AL"	"01035"	Suppressed	13228	Suppressed	Suppressed
	"Alabama"	"01"	"Coosa County, AL"	"01037"	Suppressed	11539	Suppressed	Suppressed
	"Alabama"	"01"	"Covington County, AL"	"01039"	Suppressed	37765	Suppressed	Suppressed
	"Alabama"	"01"	"Crenshaw County, AL"	"01041"	Suppressed	13906	Suppressed	Suppressed
	"Alabama"	"01"	"Cullman County, AL"	"01043"	Suppressed	80406	Suppressed	Suppressed
	"Alabama"	"01"	"Dale County, AL"	"01045"	Suppressed	50251	Suppressed	Suppressed
	"Alabama"	"01"	"Dallas County, AL"	"01047"	Suppressed	43820	Suppressed	Suppressed
	"Alabama"	"01"	"DeKalb County, AL"	"01049"	Suppressed	71109	Suppressed	Suppressed
	"Alabama"	"01"	"Elmore County, AL"	"01051"	Suppressed	79303	Suppressed	Suppressed
	"Alabama"	"01"	"Escambia County, AL"	"01053"	Suppressed	38319	Suppressed	Suppressed
	"Alabama"	"01"	"Etowah County, AL"	"01055"	Suppressed	104430	Suppressed	Suppressed
	"Alabama"	"01"	"Fayette County, AL"	"01057"	Suppressed	17241	Suppressed	Suppressed
	"Alabama"	"01"	"Franklin County, AL"	"01059"	Suppressed	31704	Suppressed	Suppressed
	"Alabama"	"01"	"Geneva County, AL"	"01061"	Suppressed	26790	Suppressed	Suppressed
	"Alabama"	"01"	"Greene County, AL"	"01063"	Suppressed	9045	Suppressed	Suppressed
	"Alabama"	"01"	"Hale County, AL"	"01065"	Suppressed	15760	Suppressed	Suppressed
	"Alabama"	"01"	"Henry County, AL"	"01067"	Suppressed	17302	Suppressed	Suppressed
