"","Jurisdiction","Effective Date","Valid Through Date","parentalconsent"
"1","Alabama",2018-12-01,2021-06-29,"1"
"2","Alabama",2021-06-30,2021-10-01,"1"
"3","Alaska",2018-12-01,2021-10-01,"0"
"4","Arizona",2018-12-01,2021-09-28,"1"
"5","Arizona",2021-09-29,2021-10-01,"1"
"6","Arkansas",2018-12-01,2020-08-06,"1"
"7","Arkansas",2020-08-07,2021-01-04,"1"
"8","Arkansas",2021-01-05,2021-10-01,"1"
"9","California",2018-12-01,2021-10-01,"1"
"10","Colorado",2018-12-01,2021-10-01,"0"
"11","Connecticut",2018-12-01,2021-10-01,"0"
"12","Delaware",2018-12-01,2021-10-01,"0"
"13","District of Columbia",2018-12-01,2021-10-01,"0"
"14","Florida",2018-12-01,2020-06-30,"0"
"15","Florida",2020-07-01,2021-10-01,"1"
"16","Georgia",2018-12-01,2020-06-30,"1"
"17","Georgia",2020-07-01,2021-10-01,"1"
"18","Hawaii",2018-12-01,2021-10-01,"0"
"19","Idaho",2018-12-01,2021-06-30,"1"
"20","Idaho",2021-07-01,2021-10-01,"1"
"21","Illinois",2018-12-01,2021-10-01,"0"
"22","Indiana",2018-12-01,2019-06-30,"1"
"23","Indiana",2019-07-01,2020-07-01,"1"
"24","Indiana",2020-07-02,2021-03-11,"1"
"25","Indiana",2021-03-12,2021-06-30,"1"
"26","Indiana",2021-07-01,2021-10-01,"1"
"27","Iowa",2018-12-01,2021-10-01,"0"
"28","Kansas",2018-12-01,2021-10-01,"1"
"29","Kentucky",2018-12-01,2021-10-01,"1"
"30","Louisiana",2018-12-01,2021-07-31,"1"
"31","Louisiana",2021-08-01,2021-10-01,"1"
"32","Louisiana",2021-08-01,2021-10-01,"1"
"33","Maine",2018-12-01,2019-09-18,"1"
"34","Maine",2019-09-19,2020-03-17,"1"
"35","Maine",2020-03-18,2021-10-01,"1"
"36","Maryland",2018-12-01,2021-10-01,"0"
"37","Massachusetts",2018-12-01,2020-12-28,"1"
"38","Massachusetts",2021-01-04,2021-10-01,"1"
"39","Michigan",2018-12-01,2021-10-01,"1"
"40","Minnesota",2018-12-01,2020-07-31,"0"
"41","Minnesota",2020-08-01,2021-10-01,"0"
"42","Mississippi",2018-12-01,2019-06-30,"1"
"43","Mississippi",2019-07-01,2021-10-01,"1"
"44","Missouri",2018-12-01,2019-05-23,"1"
"45","Missouri",2019-05-24,2021-10-01,"1"
"46","Montana",2018-12-01,2021-10-01,"1"
"47","Nebraska",2018-12-01,2021-10-01,"1"
"48","Nevada",2018-12-01,2021-10-01,"0"
"49","New Hampshire",2018-12-01,2021-10-01,"0"
"50","New Jersey",2018-12-01,2021-10-01,"0"
"51","New Mexico",2018-12-01,2021-06-17,"1"
"52","New Mexico",2021-06-18,2021-10-01,"0"
"53","New York",2018-12-01,2021-10-01,"0"
"54","North Carolina",2018-12-01,2021-10-01,"1"
"55","North Dakota",2018-12-01,2019-07-31,"1"
"56","North Dakota",2019-08-01,2021-06-30,"1"
"57","North Dakota",2021-07-01,2021-10-01,"1"
"58","Ohio",2018-12-01,2021-10-01,"1"
"59","Oklahoma",2018-12-01,2020-10-31,"1"
"60","Oklahoma",2020-11-01,2021-10-01,"1"
"61","Oregon",2018-12-01,2021-10-01,"0"
"62","Pennsylvania",2018-12-01,2021-10-01,"1"
"63","Rhode Island",2018-12-01,2021-10-01,"1"
"64","South Carolina",2018-12-01,2021-02-17,"1"
"65","South Carolina",2021-02-18,2021-10-01,"1"
"66","South Dakota",2018-12-01,2021-10-01,"0"
"67","Tennessee",2018-12-01,2020-07-12,"1"
"68","Tennessee",2020-07-13,2021-10-01,"1"
"69","Texas",2018-12-01,2019-08-31,"1"
"70","Texas",2019-09-01,2021-08-31,"1"
"71","Texas",2021-09-01,2021-10-01,"1"
"72","Utah",2018-12-01,2019-05-13,"1"
"73","Utah",2019-05-14,2021-08-31,"1"
"74","Utah",2021-09-01,2021-10-01,"1"
"75","Vermont",2018-12-01,2021-10-01,"0"
"76","Virginia",2018-12-01,2019-06-30,"1"
"77","Virginia",2019-07-01,2020-06-30,"1"
"78","Virginia",2020-07-01,2021-06-30,"1"
"79","Virginia",2021-07-01,2021-10-01,"1"
"80","Washington",2018-12-01,2021-10-01,"0"
"81","West Virginia",2018-12-01,2021-10-01,"0"
"82","Wisconsin",2018-12-01,2019-06-30,"1"
"83","Wisconsin",2019-07-01,2021-05-31,"1"
"84","Wisconsin",2021-06-01,2021-06-30,"1"
"85","Wisconsin",2021-07-01,2021-10-01,"1"
"86","Wyoming",2018-12-01,2021-10-01,"1"
