"","Jurisdiction","Effective Date","Valid Through Date","trapascreqs"
"1","Alabama",2016-08-01,2021-10-01,0
"2","Alaska",2016-08-01,2016-09-19,1
"3","Alaska",2016-09-20,2017-06-28,1
"4","Alaska",2017-06-29,2018-07-24,1
"5","Alaska",2018-07-25,2020-07-27,1
"6","Alaska",2020-07-28,2021-05-13,1
"7","Alaska",2021-05-14,2021-10-01,1
"8","Arizona",2016-08-01,2021-10-01,0
"9","Arkansas",2016-08-01,2021-10-01,0
"10","California",2016-08-01,2021-10-01,0
"11","Colorado",2016-08-01,2021-10-01,0
"12","Connecticut",2016-08-01,2021-10-01,0
"13","Delaware",2016-08-01,2021-10-01,0
"14","District of Columbia",2016-08-01,2021-10-01,0
"15","Florida",2016-08-01,2021-10-01,0
"16","Georgia",2016-08-01,2019-12-31,1
"17","Georgia",2020-01-01,2020-06-29,1
"18","Georgia",2020-06-30,2020-07-12,1
"19","Georgia",2020-07-13,2021-05-09,1
"20","Georgia",2021-05-10,2021-10-01,1
"21","Hawaii",2016-08-01,2021-10-01,0
"22","Idaho",2016-08-01,2021-10-01,0
"23","Illinois",2016-08-01,2016-09-20,1
"24","Illinois",2016-09-21,2017-12-31,1
"25","Illinois",2018-01-01,2019-06-11,1
"26","Illinois",2019-06-12,2021-10-01,0
"27","Indiana",2016-08-01,2018-06-30,1
"28","Indiana",2018-07-01,2019-06-30,1
"29","Indiana",2019-07-01,2021-06-30,1
"30","Indiana",2021-07-01,2021-08-09,1
"31","Indiana",2021-08-10,2021-09-07,1
"32","Indiana",2021-09-08,2021-10-01,1
"33","Iowa",2016-08-01,2021-10-01,0
"34","Kansas",2016-08-01,2021-10-01,0
"35","Kentucky",2016-08-01,2021-10-01,0
"36","Louisiana",2016-08-01,2021-10-01,0
"37","Maine",2016-08-01,2021-10-01,0
"38","Maryland",2016-08-01,2021-10-01,0
"39","Massachusetts",2016-08-01,2021-10-01,0
"40","Michigan",2016-08-01,2020-02-20,1
"41","Michigan",2020-02-21,2021-10-01,1
"42","Minnesota",2016-08-01,2021-10-01,0
"43","Mississippi",2016-08-01,2016-11-11,1
"44","Mississippi",2016-11-12,2017-06-30,1
"45","Mississippi",2017-07-01,2018-03-14,1
"46","Mississippi",2018-03-15,2019-12-12,1
"47","Mississippi",2019-12-13,2021-06-30,1
"48","Mississippi",2021-07-01,2021-10-01,1
"49","Missouri",2016-08-01,2017-04-18,1
"50","Missouri",2017-04-19,2017-10-23,1
"51","Missouri",2017-10-24,2018-09-09,1
"52","Missouri",2018-09-10,2021-10-01,1
"53","Montana",2016-08-01,2021-10-01,0
"54","Nebraska",2016-08-01,2021-10-01,0
"55","Nevada",2016-08-01,2021-10-01,0
"56","New Hampshire",2016-08-01,2021-10-01,0
"57","New Jersey",2016-08-01,2021-10-01,0
"58","New Mexico",2016-08-01,2021-10-01,0
"59","New York",2016-08-01,2021-10-01,0
"60","North Carolina",2016-08-01,2021-10-01,0
"61","North Dakota",2016-08-01,2021-10-01,0
"62","Ohio",2016-08-01,2017-09-28,0
"63","Ohio",2017-09-29,2018-01-23,0
"64","Ohio",2018-01-24,2019-04-04,0
"65","Ohio",2019-04-05,2019-10-16,0
"66","Ohio",2019-10-17,2020-05-17,0
"67","Ohio",2020-05-18,2021-09-29,0
"68","Ohio",2021-09-30,2021-10-01,0
"69","Oklahoma",2016-08-01,2021-10-01,0
"70","Oregon",2016-08-01,2021-10-01,0
"71","Pennsylvania",2016-08-01,2018-02-19,1
"72","Pennsylvania",2018-02-20,2021-10-01,1
"73","Rhode Island",2016-08-01,2017-01-02,1
"74","Rhode Island",2017-01-03,2018-03-21,1
"75","Rhode Island",2018-03-22,2018-04-03,1
"76","Rhode Island",2018-04-04,2021-10-01,1
"77","South Carolina",2016-08-01,2021-10-01,1
"78","South Dakota",2016-08-01,2021-10-01,0
"79","Tennessee",2016-08-01,2016-10-15,1
"80","Tennessee",2016-10-16,2017-04-13,1
"81","Tennessee",2017-04-14,2017-05-01,1
"82","Tennessee",2017-05-02,2017-06-30,1
"83","Tennessee",2017-07-01,2018-06-23,1
"84","Tennessee",2018-06-24,2018-10-07,1
"85","Tennessee",2018-10-08,2018-12-31,1
"86","Tennessee",2019-01-01,2019-06-05,1
"87","Tennessee",2019-06-06,2020-10-13,1
"88","Tennessee",2020-10-14,2021-04-12,1
"89","Tennessee",2021-04-13,2021-10-01,1
"90","Texas",2016-08-01,2017-08-31,1
"91","Texas",2017-09-01,2020-01-25,1
"92","Texas",2020-01-26,2020-03-26,1
"93","Texas",2020-03-27,2020-07-23,1
"94","Texas",2020-07-24,2020-09-22,1
"95","Texas",2020-09-23,2021-03-20,1
"96","Texas",2021-03-21,2021-10-01,1
"97","Utah",2016-08-01,2021-10-01,0
"98","Vermont",2016-08-01,2021-10-01,0
"99","Virginia",2016-08-01,2019-09-29,1
"100","Virginia",2019-09-30,2020-08-05,1
"101","Virginia",2020-08-06,2021-03-30,1
"102","Virginia",2021-03-31,2021-10-01,1
"103","Washington",2016-08-01,2021-10-01,0
"104","West Virginia",2016-08-01,2021-10-01,0
"105","Wisconsin",2016-08-01,2021-10-01,0
"106","Wyoming",2016-08-01,2021-10-01,0
